Steelers,1.4,0.1,2.6,42.8,1.0,1.4,0.3,13.3,211.0,110.0,321,15
Ravens,1.4,0.0,2.2,41.4,1.1,1.5,0.29,15.1,157.0,111.0,268,14
Rams,0.8,0.0,3.5,39.6,1.0,1.4,0.22,17.1,160.0,124.0,284,14
Jaguars,1.2,0.0,2.5,44.3,0.9,1.2,0.28,20.1,185.0,104.0,289,14
Colts,1.4,0.0,3.6,38.3,1.0,1.4,0.32,15.9,234.0,99.0,333,14
Eagles,1.1,0.0,2.3,39.3,0.9,1.3,0.32,13.4,222.0,81.0,303,14
Patriots,0.9,0.0,2.2,42.9,1.0,1.3,0.3,14.4,139.0,130.0,269,13
Browns,0.9,0.0,2.9,38.5,0.6,0.8,0.2,18.8,203.0,93.0,296,13
Buccaneers,0.8,0.0,2.0,39.6,1.0,1.4,0.24,17.0,186.0,82.0,268,13
Vikings,1.2,0.0,2.4,45.9,0.9,1.3,0.35,20.7,267.0,104.0,371,12
Raiders,1.2,0.0,1.8,39.9,1.2,1.7,0.31,20.6,231.0,107.0,338,12
Broncos,0.6,0.0,2.7,38.5,0.7,0.9,0.18,17.9,128.0,139.0,267,12
Bills,1.1,0.0,2.9,43.0,0.9,1.2,0.24,19.8,227.0,108.0,335,12
49ers,0.8,0.1,1.7,36.7,0.6,0.8,0.18,18.1,198.0,85.0,283,11
Cowboys,1.1,0.1,2.0,43.4,0.9,1.3,0.25,19.1,239.0,95.0,334,11
Packers,0.9,0.0,2.9,38.3,0.8,1.1,0.23,15.6,214.0,94.0,308,11
Titans,1.0,0.0,2.7,41.7,0.6,0.9,0.21,20.0,230.0,104.0,334,11
Panthers,0.7,0.1,2.5,47.1,0.8,1.1,0.23,19.4,246.0,84.0,330,11
Giants,1.0,0.0,2.0,43.6,0.8,1.1,0.22,20.3,207.0,100.0,307,10
Dolphins,0.9,0.0,1.8,41.9,0.8,1.1,0.23,17.6,211.0,111.0,322,10
Seahawks,0.8,0.0,2.3,39.8,0.6,0.8,0.21,18.4,201.0,102.0,303,10
Jets,0.8,0.0,2.1,38.2,0.7,0.9,0.21,18.3,225.0,83.0,308,10
Falcons,0.6,0.0,2.3,41.1,0.7,0.9,0.23,21.0,199.0,100.0,299,10
Cardinals,0.6,0.0,2.0,42.7,0.8,1.2,0.22,19.3,205.0,108.0,313,10
Chiefs,1.0,0.0,2.1,39.4,0.9,1.2,0.37,22.2,242.0,93.0,335,10
Bengals,0.7,0.0,2.6,45.4,0.5,0.7,0.17,25.3,241.0,128.0,369,8
Saints,0.8,0.1,1.8,44.4,1.1,1.5,0.24,29.6,255.0,127.0,382,7
Lions,0.4,0.0,2.0,44.2,0.5,0.7,0.22,24.8,275.0,108.0,383,7
Chargers,0.6,0.0,2.6,41.0,0.9,1.2,0.21,27.4,216.0,120.0,336,6
Bears,0.8,0.0,1.7,40.2,0.3,0.4,0.16,24.3,250.0,101.0,351,6
Texans,0.5,0.1,1.8,45.5,0.7,1.0,0.18,27.4,241.0,107.0,348,5
