Player,ATT,CMP,YD,TD,INT,RATE,ATT,YD,AVG,TD,TARGT,RECPT,YD,AVG,TD,FL,FPTS
Drew Brees,36.4,26.2,288.0,1.9,0.7,104.4,1.9,2.3,1.21,0.1,0.0,0.0,0.0,0.00,0.0,0.2,21
Cam Newton,32.9,18.5,224.0,1.5,1.2,77.3,7.0,38.5,5.50,0.3,0.0,0.0,0.0,0.00,0.0,0.2,20
Alex Smith,33.6,21.3,234.0,1.6,0.7,91.1,4.1,20.2,4.93,0.1,0.0,0.0,0.0,0.00,0.0,0.2,20
Jared Goff,33.6,21.1,234.0,1.7,0.9,89.1,1.8,3.3,1.83,0.1,0.0,0.0,0.0,0.00,0.0,0.3,18
Blake Bortles,33.2,19.6,212.0,1.5,1.0,80.4,4.0,22.8,5.70,0.1,0.0,0.0,0.0,0.00,0.0,0.2,18
Matt Ryan,33.9,21.6,256.0,1.4,0.9,89.3,2.1,8.3,3.95,0.0,0.0,0.0,0.0,0.00,0.0,0.2,17
Marcus Mariota,32.4,18.2,211.0,1.1,1.5,68.1,3.8,23.2,6.11,0.2,0.0,0.0,0.0,0.00,0.0,0.3,15
Tyrod Taylor,29.5,16.4,157.0,0.9,0.6,72.3,3.0,15.8,5.27,0.1,0.0,0.0,0.0,0.00,0.0,0.2,12
Matt Schaub,0.1,0.1,0.7,0.0,0.0,95.8,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0
Brad Kaaya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0
Matt Simms,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0
Alex Tanney,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0
Chase Daniel,0.0,0.0,0.1,0.0,0.0,98.8,0.0,-0.0,0.00,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0
Chad Henne,0.0,0.0,0.1,0.0,0.0,57.7,0.0,-0.0,0.00,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0
Patrick Mahomes,0.1,0.0,0.4,0.0,0.0,43.8,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0
Joe Webb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0
Ryan Nassib,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0
Derek Anderson,0.1,0.0,0.3,0.0,0.0,39.6,0.0,-0.0,0.00,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0
Nathan Peterman,0.1,0.0,0.3,0.0,0.0,39.6,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0
Brandon Allen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0
Brandon Weeden,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0
Garrett Gilbert,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0
Sean Mannion,0.1,0.0,0.3,0.0,0.0,39.6,0.0,-0.0,0.00,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0
Taysom Hill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0
