Player,Att,Yd,Avg,TD,Recpt,Yd,Avg,TD,FL,FPTS
Le'Veon Bell,23,83,3.6,0,4,31,6.7,0,0,15.4
Kareem Hunt,19,86,4.5,0,3,34,10.8,0,0,15.2
Todd Gurley,19,72,3.8,0,3,33,10.3,0,0,14.4
Tevin Coleman,16,71,4.3,0,2,29,12.9,0,0,13
Mark Ingram,17,79,4.6,0,3,25,7.1,0,0,13
Melvin Gordon,17,67,3.9,0,3,26,7.8,0,0,12.6
Alvin Kamara,7,36,4.8,0,5,50,9.3,0,0,11.8
Leonard Fournette,19,76,4.0,0,1,12,9.3,0,0,11.4
Ameer Abdullah,16,62,3.7,0,2,13,6.3,0,0,10.4
Jordan Howard,19,73,3.9,0,1,10,7.1,0,0,10.2
Lamar Miller,18,63,3.5,0,1,16,8.5,0,0,9.8
LeSean McCoy,15,69,4.3,0,3,22,6.0,0,0,9.4
Doug Martin,15,61,4.1,0,1,13,9.3,0,0,9.2
Isaiah Crowell,18,71,3.9,0,1,12,7.9,0,0,9
Adrian Peterson,22,67,3.0,0,1,9,7.2,0,0,8.2
DeMarco Murray,12,51,4.0,0,2,16,6.6,0,0,8
Jerick McKinnon,11,46,4.0,0,3,22,6.7,0,0,8
Jay Ajayi,14,65,4.5,0,1,7,5.6,0,0,8
Orleans Darkwa,16,70,4.2,0,1,7,7.0,0,0,8
Dion Lewis,12,54,4.2,0,1,9,7.5,0,0,7.8
Alfred Morris,14,60,4.2,0,1,8,6.3,0,0,7.6
Damien Williams,10,36,3.6,0,2,22,8.7,0,0,7.2
Joe Mixon,14,39,2.9,0,2,22,9.2,0,0,7.2
Danny Woodhead,5,20,3.8,0,4,33,8.0,0,0,7.2
Alex Collins,15,62,4.1,0,1,8,5.7,0,0,7
Samaje Perine,12,50,4.2,0,1,8,8.0,0,0,7
Kenyan Drake,11,43,3.6,0,1,11,6.2,0,0,6.8
Rex Burkhead,7,28,3.7,0,2,22,9.7,0,0,6.2
Marshawn Lynch,11,43,4.0,0,1,8,6.8,0,0,6.2
Latavius Murray,11,42,3.8,0,0,5,5.8,0,0,5.6
James White,4,16,3.7,0,4,36,8.6,0,0,5.6
C.J. Anderson,11,44,3.9,0,1,7,6.5,0,0,5.6
Theo Riddick,3,11,3.3,0,3,31,8.0,0,0,5.6
Eddie Lacy,13,49,3.8,0,1,8,6.8,0,0,5
Jamaal Williams,13,47,3.5,0,0,2,5.7,0,0,5
Derrick Henry,10,41,4.1,0,1,6,6.3,0,0,5
Duke Johnson,5,23,4.3,0,3,26,7.9,0,0,5
Austin Ekeler,5,17,3.5,0,2,21,9.9,0,0,4.8
Tarik Cohen,5,22,3.8,0,3,29,8.5,0,0,4.8
Devontae Booker,6,23,3.6,0,1,14,9.1,0,0,4
Charcandrick West,4,18,3.9,0,1,14,7.8,0,0,3.6
Rod Smith,8,31,3.8,0,0,4,6.8,0,0,3.4
Jalen Richard,4,21,4.5,0,1,18,10.1,0,0,3.4
Wayne Gallman,8,35,4.0,0,0,3,6.2,0,0,3.2
Giovani Bernard,5,18,3.2,0,1,17,9.4,0,0,3
Javorius Allen,4,14,3.5,0,2,12,5.8,0,0,3
LeGarrette Blount,4,20,4.7,0,0,1,6.0,0,0,3
Terron Ward,6,23,3.7,0,0,5,8.7,0,0,3
Jamaal Charles,6,26,4.0,0,1,6,6.2,0,0,2.8
DeAndre Washington,4,19,4.0,0,2,15,6.2,0,0,2.8
Devante Mays,5,21,3.9,0,0,2,7.3,0,0,2.4
Mike Tolbert,5,22,4.1,0,1,5,5.1,0,0,2.4
T.J. Yeldon,5,23,4.5,0,1,7,6.5,0,0,2.4
Chris Ivory,8,28,3.4,0,0,6,8.6,0,0,2.2
Corey Clement,3,11,3.9,0,0,1,7.5,0,0,2
Wendell Smallwood,3,11,3.8,0,0,6,7.2,0,0,1.4
Peyton Barber,4,17,3.7,0,0,2,6.7,0,0,1.4
James Conner,3,10,3.1,0,0,3,8.0,0,0,1.4
Corey Grant,4,14,3.7,0,0,3,6.5,0,0,1.4
Benny Cunningham,1,4,3.4,0,1,12,10.8,0,0,1.4
Shane Vereen,3,11,3.7,0,1,9,7.5,0,0,0.8
Kerwynn Williams,2,7,2.9,0,0,1,7.0,0,0,0.4
Zach Zenner,1,5,3.4,0,1,7,7.5,0,0,0.4
Byron Marshall,2,8,4.3,0,0,1,7.5,0,0,0.4
Lance Dunbar,3,9,3.1,0,1,9,9.3,0,0,0.4
George Winn,0,0,0.0,0,0,0,0.0,0,0,0
Brian Hill,0,1,2.3,0,0,0,7.0,0,0,0
Stevan Ridley,0,0,0.0,0,0,0,0.0,0,0,0
D.J. Foster,0,2,3.3,0,0,0,9.0,0,0,0
Andre Williams,0,0,0.0,0,0,0,0.0,0,0,0
Keith Smith,0,0,2.4,0,0,0,3.0,0,0,0
Cedric Peerman,0,0,0.0,0,0,0,0.0,0,0,0
Mike James,0,0,0.0,0,0,0,0.0,0,0,0
Jalston Fowler,0,0,1.5,0,0,0,5.0,0,0,0
C.J. Ham,0,0,0.0,0,0,0,0.0,0,0,0
Branden Oliver,0,2,3.9,0,0,0,7.0,0,0,0
Zach Line,0,0,3.5,0,0,1,14.0,0,0,0
Anthony Sherman,0,0,0.0,0,0,1,7.0,0,0,0
Tommy Bohanon,0,0,0.0,0,0,0,0.0,0,0,0
Terrell Watson,0,0,0.0,0,0,0,0.0,0,0,0
Mike Davis,0,1,2.4,0,0,1,5.5,0,0,0
Jamize Olawale,0,1,4.0,0,0,2,10.0,0,0,0
De'Angelo Henderson,0,1,3.0,0,0,0,7.0,0,0,0
Andy Janovich,0,0,4.0,0,0,0,6.0,0,0,0
Jonathan Williams,0,0,0.0,0,0,0,0.0,0,0,0
Ka'Deem Carey,0,1,3.8,0,0,0,8.6,0,0,0
Bobby Rainey,0,0,0.0,0,0,0,0.0,0,0,0
Keith Marshall,0,0,0.0,0,0,0,0.0,0,0,0
Brandon Wilson,0,0,0.0,0,0,0,0.0,0,0,0
Elijhaa Penny,0,0,0.0,0,0,0,0.0,0,0,0
John Kuhn,0,0,0.0,0,0,0,0.0,0,0,0
Jacquizz Rodgers,1,4,4.2,0,0,0,8.0,0,0,0
Akeem Hunt,0,1,4.3,0,0,0,3.0,0,0,0
Joe Banyard,0,0,0.0,0,0,0,0.0,0,0,0
Trey Edmunds,0,1,6.0,0,0,1,8.0,0,0,0
C.J. Spiller,0,0,0.0,0,0,0,0.0,0,0,0
Patrick DiMarco,0,0,-1.0,0,0,1,5.3,0,0,0
Taquan Mizzell,0,0,0.0,0,0,0,0.0,0,0,0
Tyler Gaffney,0,0,0.0,0,0,0,0.0,0,0,0
Michael Burton,0,0,3.0,0,0,0,7.0,0,0,0
Travaris Cadet,0,0,0.0,0,0,0,0.0,0,0,0
Derek Watt,0,0,1.0,0,0,1,15.0,0,0,0
Roosevelt Nix-Jones,0,0,0.0,0,0,0,4.4,0,0,0
Derrick Coleman,0,0,0.0,0,0,0,0.0,0,0,0
Kenjon Barner,0,0,4.0,0,0,0,5.1,0,0,0
Darren McFadden,2,8,4.2,0,0,1,11.0,0,0,0
