Player,ATT,CMP,YD,TD,INT,RATE,ATT,YD,AVG,TD,TARGT,RECPT,YD,AVG,TD,FL,FPTS
Rob Gronkowski,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,8.5,5.6,80.8,14.43,0.5,0.0,11
Ricky Seals-Jones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,6.6,3.4,51.6,15.18,0.5,0.0,8
Zach Ertz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,7.9,5.1,60.2,11.80,0.3,0.1,7
Evan Engram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,9.1,4.8,55.6,11.58,0.3,0.0,6
Travis Kelce,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,3.00,0.0,7.4,4.8,57.0,11.88,0.3,0.0,6
Marcedes Lewis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,4.1,2.5,32.4,12.96,0.6,0.0,6
Delanie Walker,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,4.00,0.0,6.1,4.2,51.9,12.36,0.2,0.1,6
Jared Cook,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,6.6,4.4,52.3,11.89,0.2,0.1,6
Vernon Davis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,6.4,4.2,57.9,13.79,0.2,0.1,6
Austin Hooper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,4.6,3.6,43.7,12.14,0.3,0.0,5
Hunter Henry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,4.9,3.4,45.8,13.47,0.3,0.0,5
Greg Olsen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,5.8,3.6,48.6,13.50,0.3,0.0,5
Jason Witten,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,5.6,4.4,44.4,10.09,0.3,0.1,5
Kyle Rudolph,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,5.5,3.8,34.1,8.97,0.4,0.0,5
Jimmy Graham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,6.0,3.6,38.9,10.81,0.4,0.0,5
Jack Doyle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,6.8,4.7,48.5,10.32,0.3,0.2,5
Cameron Brate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,4.4,2.9,30.3,10.45,0.3,0.0,4
Tyler Kroft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,5.3,3.8,35.2,9.26,0.3,0.0,4
Garrett Celek,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,3.5,2.2,26.8,12.18,0.4,0.0,4
O.J. Howard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,3.9,2.6,35.7,13.73,0.3,0.2,4
Ed Dickson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,3.4,2.2,34.2,15.55,0.2,0.0,4
Charles Clay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,4.5,3.2,33.2,10.38,0.2,0.0,4
Benjamin Watson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,4.9,3.8,31.5,8.29,0.2,0.0,4
George Kittle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,4.1,2.9,30.5,10.52,0.2,0.0,4
Michael Hoomanawanui,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,3.0,2.3,25.7,11.17,0.4,0.1,4
Julius Thomas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,4.7,3.2,30.8,9.62,0.2,0.0,4
Jesse James,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,4.3,3.1,30.8,9.94,0.2,0.0,4
Eric Ebron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,5.0,3.2,34.3,10.72,0.2,0.1,4
Austin Seferian-Jenkins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,5.9,3.6,35.8,9.94,0.2,0.1,4
Niles Paul,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,2.00,0.0,3.3,2.6,25.8,9.92,0.2,0.0,3
Antonio Gates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,3.7,2.3,26.3,11.43,0.2,0.0,3
David Njoku,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.00,0.0,4.0,2.4,27.9,11.62,0.2,0.0,3
Trey Burton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2.9,2.0,21.6,10.80,0.2,0.0,3
