Player,Recpt,Yd,Avg,TD,FL,FPTS
Rob Gronkowski,5,71,13.9,0,0,10.6
Travis Kelce,5,70,12.4,0,0,9.4
Jimmy Graham,4,50,12.4,0,0,6.6
Zach Ertz,4,52,10.9,0,0,6.2
Kyle Rudolph,4,41,9.8,0,0,5.8
Martellus Bennett,4,44,9.4,0,0,5.8
Austin Hooper,2,40,14.8,0,0,5.8
Jared Cook,4,48,11.1,0,0,5.6
Jack Doyle,4,49,10.7,0,0,5.6
Delanie Walker,4,49,11.8,0,0,5.2
Hunter Henry,2,35,12.8,0,0,5.2
Seth DeValve,2,42,16.3,0,0,5.2
Eric Ebron,4,41,9.4,0,0,5.2
Benjamin Watson,4,41,9.8,0,0,5
Charles Clay,3,32,9.6,0,0,4.8
Cameron Brate,3,34,11.5,0,0,4.8
Jesse James,3,32,9.4,0,0,4.8
Ed Dickson,3,39,12.5,0,0,4.8
Antonio Gates,2,30,11.1,0,0,4.6
George Kittle,3,33,8.8,0,0,4.2
Zach Miller,3,36,9.9,0,0,4.2
Evan Engram,3,35,10.1,0,0,4.2
Coby Fleener,4,39,9.6,0,0,4.2
Vernon Davis,2,39,13.5,0,0,3.6
A.J. Derby,3,33,10.2,0,0,3.4
Vance McDonald,1,23,14.7,0,0,3.2
Julius Thomas,3,29,10.0,0,0,3.2
Virgil Green,2,26,12.4,0,0,3.2
Jonnu Smith,2,20,10.4,0,0,3.2
David Njoku,2,29,10.0,0,0,3.2
Demetrius Harris,2,20,9.6,0,0,3.2
Will Tye,2,20,9.9,0,0,2.6
Tyler Kroft,1,20,10.8,0,0,2.6
O.J. Howard,2,23,10.1,0,0,2.6
Randall Telfer,2,27,10.5,0,0,2.6
Jerell Adams,2,20,10.3,0,0,2.6
Dion Sims,2,21,9.0,0,0,2.6
Ryan Griffin,3,27,9.0,0,0,2.4
Richard Rodgers,2,19,8.5,0,0,2.2
Austin Seferian-Jenkins,1,19,12.1,0,0,2.2
Tyler Higbee,1,15,10.9,0,0,1.6
Josh Hill,1,12,8.1,0,0,1.6
Trey Burton,2,18,8.8,0,0,1.6
Gerald Everett,0,11,14.2,0,0,1.6
Marcedes Lewis,2,18,9.0,0,0,1.6
Luke Willson,1,10,9.9,0,0,1.6
Adam Shaheen,1,17,8.9,0,0,1.6
Levine Toilolo,0,9,10.3,0,0,0.6
Lance Kendricks,0,6,9.6,0,0,0.6
Garrett Celek,0,5,9.7,0,0,0.6
Dwayne Allen,0,6,11.5,0,0,0.6
Nick Boyle,1,9,8.5,0,0,0.6
MarQueis Gray,0,5,13.8,0,0,0
Jason Witten,4,40,9.3,0,0,0
Geoff Swaim,0,2,8.7,0,0,0
Neal Sterling,0,4,8.4,0,0,0
Michael Hoomanawanui,0,2,5.5,0,0,0
Jim Dray,0,2,7.3,0,0,0
Eric Saubert,0,2,9.0,0,0,0
Jordan Leggett,0,2,8.0,0,0,0
Chris Gragg,0,0,0.0,0,0,0
Evan Baylis,0,1,8.5,0,0,0
RaShaun Allen,0,0,0.0,0,0,0
Ben Koyack,0,3,9.0,0,0,0
Alan Cross,0,0,0.0,0,0,0
C.J. Uzomah,0,6,8.9,0,0,0
Jeremy Sprinkle,0,2,9.0,0,0,0
Matt Lengel,0,0,0.0,0,0,0
Lee Smith,0,1,6.3,0,0,0
Jermaine Gresham,3,35,9.6,0,0,0
Jacob Hollister,0,2,8.3,0,0,0
Jeff Heuerman,0,6,15.0,0,0,0
Nick Vannett,0,3,10.3,0,0,0
David Morgan,0,1,8.5,0,0,0
Darrell Daniels,0,2,10.5,0,0,0
Niles Paul,0,1,9.5,0,0,0
Rhett Ellison,0,3,10.7,0,0,0
James O'Shaughnessy,0,1,13.0,0,0,0
Ross Travis,0,2,8.0,0,0,0
Brandon Williams,0,2,25.0,0,0,0
Sean McGrath,0,1,15.0,0,0,0
Phillip Supernaw,0,1,14.0,0,0,0
Darren Fells,0,3,9.8,0,0,0
Ifeanyi Momah,1,17,9.7,0,0,0
Anthony Fasano,0,3,10.0,0,0,0
Chris Manhertz,0,0,0.0,0,0,0
Clive Walford,0,5,11.8,0,0,0
Derek Carrier,0,1,9.0,0,0,0
Stephen Anderson,0,1,9.5,0,0,0
Nick O'Leary,0,2,14.5,0,0,0
Luke Stocker,0,2,5.0,0,0,0
Brent Celek,0,4,12.0,0,0,0
Logan Paulsen,0,1,5.3,0,0,0
Logan Thomas,0,1,7.5,0,0,0
Daniel Brown,0,3,7.8,0,0,0
Troy Niklas,1,15,9.8,0,0,0
Ryan Hewitt,0,1,13.0,0,0,0
Xavier Grimble,0,3,11.0,0,0,0
Michael Roberts,0,2,10.0,0,0,0
Khari Lee,0,1,6.5,0,0,0
Blake Bell,0,3,19.5,0,0,0
