Player,ATT,CMP,YD,TD,INT,RATE,ATT,YD,AVG,TD,TARGT,RECPT,YD,AVG,TD,FL,FPTS
Antonio Brown,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,4.00,0.0,12.7,8.6,136.0,15.81,0.8,0.1,17
Julio Jones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,10.2,7.0,106.0,15.14,0.4,0.0,12
A.J. Green,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,9.3,5.7,82.3,14.44,0.6,0.1,11
DeAndre Hopkins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,11.6,6.0,73.2,12.20,0.5,0.0,10
Doug Baldwin,0.0,0.0,0.0,0.0,0.0,0.0,0.1,-0.1,-1.00,0.0,8.8,6.0,75.9,12.65,0.4,0.0,9
Brandin Cooks,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.3,3.25,0.0,8.5,5.3,78.0,14.72,0.4,0.0,9
Emmanuel Sanders,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,4.00,0.0,8.9,5.2,71.0,13.65,0.4,0.1,9
Alshon Jeffery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,10.2,5.3,69.1,13.04,0.5,0.0,9
Demaryius Thomas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,9.5,6.1,74.8,12.26,0.4,0.2,9
Mike Evans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,10.4,5.6,70.8,12.64,0.3,0.0,8
Keenan Allen,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,4.00,0.0,9.9,6.5,78.0,12.00,0.3,0.0,8
Stefon Diggs,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.67,0.0,7.0,5.1,62.4,12.24,0.4,0.0,8
Larry Fitzgerald,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,10.0,6.8,70.3,10.34,0.3,0.2,8
Paul Richardson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.00,0.0,5.6,3.6,61.2,17.00,0.4,0.0,8
Devin Funchess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,7.0,3.9,58.1,14.90,0.5,0.0,8
Jarvis Landry,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.3,4.33,0.0,9.8,6.4,64.4,10.06,0.3,0.1,7
Jeremy Maclin,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.00,0.0,8.1,4.9,56.9,11.61,0.4,0.0,7
Sammy Watkins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,5.8,3.6,54.4,15.11,0.4,0.0,7
Josh Doctson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,7.3,3.8,57.7,15.18,0.4,0.0,7
Amari Cooper,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,2.00,0.0,8.5,4.4,52.9,12.02,0.4,0.0,7
Mike Wallace,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.7,7.00,0.0,6.2,3.5,50.1,14.31,0.4,0.0,7
Dez Bryant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,9.5,4.9,53.8,10.98,0.4,0.0,7
DeVante Parker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,8.5,5.2,68.4,13.15,0.2,0.0,7
Adam Thielen,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2.1,21.00,0.0,7.8,5.6,68.8,12.29,0.2,0.2,6
Danny Amendola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.00,0.0,6.3,5.0,55.4,11.08,0.3,0.0,6
Tyreek Hill,0.0,0.0,0.0,0.0,0.0,0.0,1.5,7.5,5.00,0.0,6.3,4.3,54.6,12.70,0.3,0.0,6
T.Y. Hilton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,7.7,4.0,57.9,14.47,0.3,0.1,6
Corey Davis,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,4.00,0.0,7.5,3.9,55.9,14.33,0.3,0.1,6
Golden Tate,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,2.50,0.0,7.1,5.1,53.1,10.41,0.3,0.1,6
Robby Anderson,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.7,7.00,0.0,7.3,3.8,48.1,12.66,0.4,0.0,6
Nelson Agholor,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,2.00,0.0,5.3,3.4,40.7,11.97,0.4,0.0,6
Marqise Lee,0.0,0.0,0.0,0.0,0.0,0.0,0.3,2.2,7.33,0.0,8.1,4.5,55.9,12.42,0.2,0.0,6
Michael Thomas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,7.9,5.4,59.5,11.02,0.2,0.0,6
Kenny Stills,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,5.5,3.3,44.1,13.36,0.3,0.0,5
Eric Decker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,5.5,3.6,48.8,13.56,0.3,0.0,5
Davante Adams,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,8.2,4.6,46.4,10.09,0.3,0.0,5
Jermaine Kearse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,6.5,3.8,43.8,11.53,0.3,0.0,5
Mohamed Sanu,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.5,5.00,0.0,5.8,4.4,49.7,11.30,0.3,0.0,5
Jordy Nelson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,7.8,4.4,41.6,9.45,0.3,0.0,5
Marvin Jones,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,4.00,0.0,6.5,3.5,46.1,13.17,0.3,0.0,5
Marquise Goodwin,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.7,8.50,0.0,4.7,2.4,51.0,21.25,0.1,0.0,5
Cooper Kupp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,6.8,4.1,48.9,11.93,0.3,0.1,5
Donte Moncrief,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.00,0.0,5.1,2.8,39.3,14.04,0.4,0.0,5
DeSean Jackson,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.6,6.00,0.0,7.0,3.7,46.8,12.65,0.2,0.0,5
Brian Quick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,4.4,2.7,41.4,15.33,0.2,0.0,5
Taylor Gabriel,0.0,0.0,0.0,0.0,0.0,0.0,0.3,2.1,7.00,0.0,4.4,3.1,41.1,13.26,0.2,0.0,5
Dede Westbrook,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,10.00,0.0,6.5,3.4,43.2,12.71,0.2,0.0,5
Martavis Bryant,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3.3,6.60,0.0,5.0,2.8,44.0,15.71,0.2,0.0,5
Terrance Williams,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,5.7,3.7,44.2,11.95,0.2,0.0,5
Ted Ginn,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3.1,6.20,0.0,4.7,3.3,41.3,12.52,0.2,0.0,5
Brandon LaFell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.00,0.0,6.1,3.7,42.9,11.59,0.2,0.0,5
Roger Lewis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,5.5,3.1,38.9,12.55,0.3,0.0,4
Justin Hardy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,3.3,2.4,30.0,12.50,0.3,0.0,4
Torrey Smith,0.0,0.0,0.0,0.0,0.0,0.0,0.1,-0.2,-2.00,0.0,4.8,2.7,35.9,13.30,0.3,0.0,4
Jamison Crowder,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.9,4.75,0.0,7.1,4.5,49.4,10.98,0.2,0.2,4
Tyler Lockett,0.0,0.0,0.0,0.0,0.0,0.0,0.6,4.4,7.33,0.0,5.5,3.5,47.2,13.49,0.1,0.0,4
J.D. McKissic,0.0,0.0,0.0,0.0,0.0,0.0,5.4,18.9,3.50,0.2,3.5,2.5,21.3,8.52,0.1,0.1,4
Tyrell Williams,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,4.7,2.9,41.9,14.45,0.1,0.1,4
Corey Coleman,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,5.00,0.0,7.5,3.9,37.5,9.62,0.2,0.0,4
Deonte Thompson,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.6,-3.00,0.0,4.1,2.2,33.2,15.09,0.2,0.0,4
Ryan Grant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,4.1,2.9,32.5,11.21,0.2,0.0,4
Kenny Golladay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.00,0.0,3.9,2.0,31.8,15.90,0.2,0.0,4
Russell Shepard,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.8,8.00,0.0,4.3,2.2,33.7,15.32,0.2,0.0,4
Jordan Matthews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,5.0,3.0,36.2,12.07,0.2,0.1,4
Travis Benjamin,0.0,0.0,0.0,0.0,0.0,0.0,0.6,4.5,7.50,0.0,3.8,2.3,31.5,13.70,0.2,0.1,4
Tavon Austin,0.0,0.0,0.0,0.0,0.0,0.0,3.4,21.2,6.24,0.1,3.3,1.9,19.9,10.47,0.1,0.2,3
Cole Beasley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.00,0.0,5.3,3.3,29.8,9.03,0.3,0.0,3
Travis Rudolph,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.6,6.00,0.0,4.5,2.8,36.5,13.04,0.1,0.0,3
