Stephen Gostkowski,2,2,2,9.9
Greg Zuerlein,2,2,3,9.9
Chris Boswell,2,2,2,9.6
Matt Prater,2,2,3,9.3
Kai Forbath,2,2,2,8.3
Josh Lambo,2,2,2,8.3
Matt Bryant,1,2,2,8.2
Ryan Succop,2,2,2,8.2
Stephen Hauschka,1,2,2,7.8
Wil Lutz,1,2,2,7.4
Chandler Catanzaro,1,2,2,7
Nick Rose,1,2,1,6.9
Aldrick Rosas,1,2,2,6.7
Blair Walsh,1,1,2,6.5
Mike Nugent,1,1,2,6.5
Connor Barth,1,1,1,5.8
Randy Bullock,1,1,1,5.7
Adam Vinatieri,1,1,1,5.6
Ka'imi Fairbairn,1,1,1,5.4
Nick Novak,1,1,1,5.4
Brandon McManus,1,1,1,5.4
Patrick Murray,1,1,1,5.3
Zane Gonzalez,1,1,1,4.8
Robbie Gould,1,1,1,4.7
Mason Crosby,1,1,1,4.4
Phil Dawson,0,1,1,4
Devon Bell,0,0,0,0
Nick Folk,0,0,0,0
Marshall Koehn,0,0,0,0
Mike Meyer,0,0,0,0
Andrew Franks,0,0,0,0
Cody Parkey,1,1,1,0
Roberto Aguayo,0,0,0,0
Shayne Graham,0,0,0,0
Younghoe Koo,0,0,0,0
Jordan Gay,0,0,0,0
John Lunsford,0,0,0,0
Graham Gano,2,2,2,0
Zach Hocker,0,0,0,0
Jason Myers,0,0,0,0
