Player,Recpt,Yd,Avg,TD,FL,FPTS
Antonio Brown,7,108,15.0,0,0,14.2
DeAndre Hopkins,7,103,13.4,0,0,14.2
Keenan Allen,6,86,13.1,0,0,11
Julio Jones,6,88,14.8,0,0,10.4
Larry Fitzgerald,7,82,10.4,0,0,10.2
Brandin Cooks,5,78,14.7,0,0,10
A.J. Green,5,76,13.3,0,0,9.8
Alshon Jeffery,5,75,12.9,0,0,9.4
Michael Crabtree,4,64,13.1,0,0,9
Davante Adams,5,65,11.4,0,0,9
Mike Evans,5,74,13.0,0,0,8.8
Dez Bryant,4,61,12.6,0,0,8.4
Tyreek Hill,4,60,13.2,0,0,8.4
T.Y. Hilton,4,64,14.4,0,0,8.2
Josh Doctson,4,57,14.1,0,0,8
Robby Anderson,4,59,13.1,0,0,8
Michael Thomas,6,64,10.4,0,0,7.8
Jamison Crowder,6,70,11.7,0,0,7.8
Golden Tate,5,62,10.8,0,0,7.6
Sammy Watkins,3,50,14.5,0,0,7.4
Nelson Agholor,4,51,13.0,0,0,7.4
Devin Funchess,3,50,13.6,0,0,7.4
Marvin Jones,4,58,13.9,0,0,7.4
Sterling Shepard,5,63,11.5,0,0,7.2
Jarvis Landry,6,65,10.1,0,0,7
Josh Gordon,5,67,13.1,0,0,7
Stefon Diggs,4,55,12.0,0,0,6.8
Adam Thielen,5,63,11.8,0,0,6.8
Jermaine Kearse,4,56,12.5,0,0,6.8
Danny Amendola,4,52,11.1,0,0,6.8
Emmanuel Sanders,3,51,13.4,0,0,6.8
Kenny Stills,4,52,13.2,0,0,6.6
Cooper Kupp,4,53,12.1,0,0,6.6
Demaryius Thomas,4,55,12.3,0,0,6.6
Chris Hogan,3,45,14.5,0,0,6.4
DeSean Jackson,4,53,13.2,0,0,6.2
Doug Baldwin,4,50,11.0,0,0,6.2
Marqise Lee,4,53,12.1,0,0,6.2
Terrance Williams,3,50,13.5,0,0,6.2
Chester Rogers,3,52,13.4,0,0,6.2
Jeremy Maclin,4,49,10.5,0,0,5.8
Dede Westbrook,4,46,11.6,0,0,5.8
Amari Cooper,3,48,14.2,0,0,5.8
Mike Wallace,3,40,10.4,0,0,5.8
Mohamed Sanu,3,42,11.0,0,0,5.8
Ryan Grant,3,42,11.1,0,0,5.8
Rishard Matthews,3,41,13.7,0,0,5.8
Ted Ginn,3,46,12.0,0,0,5.8
Marquise Goodwin,3,57,18.6,0,0,5.6
Jordy Nelson,3,36,9.6,0,0,5.4
Paul Richardson,2,40,14.1,0,0,5.2
Corey Coleman,4,49,12.3,0,0,5.2
Martavis Bryant,3,42,14.3,0,0,5.2
Brandon LaFell,3,40,10.8,0,0,5.2
J.J. Nelson,2,44,16.4,0,0,5
Will Fuller,2,37,13.9,0,0,4.8
Cole Beasley,3,32,10.2,0,0,4.8
Brandon Coleman,2,33,12.2,0,0,4.8
DeVante Parker,3,49,13.3,0,0,4.6
Kelvin Benjamin,2,34,13.4,0,0,4.2
Jaron Brown,2,36,14.7,0,0,4.2
Eric Decker,2,30,10.9,0,0,4.2
Randall Cobb,3,35,9.8,0,0,4.2
Albert Wilson,2,30,11.0,0,0,4.2
Louis Murphy,2,31,15.0,0,0,4.2
Torrey Smith,3,38,11.8,0,0,4.2
Tyrell Williams,2,38,16.1,0,0,4
Adam Humphries,3,38,9.8,0,0,4
Seth Roberts,2,33,12.5,0,0,4
Travis Benjamin,2,31,15.7,0,0,4
Bennie Fowler,1,22,13.0,0,0,3.8
Cordarrelle Patterson,1,22,12.3,0,0,3.6
Kendall Wright,2,31,12.2,0,0,3.6
Taylor Gabriel,2,30,12.3,0,0,3.6
Keelan Cole,2,34,13.8,0,0,3.6
Kenny Golladay,2,39,19.9,0,0,3.6
T.J. Jones,2,33,14.1,0,0,3.6
Trent Taylor,2,31,10.8,0,0,3.4
Roger Lewis,2,28,11.0,0,0,3.2
Zay Jones,2,28,12.8,0,0,3.2
