Player,Recpt,Yd,Avg,TD,FL,FPTS
Rob Gronkowski,5,80,14.4,0,0,11
Ricky Seals-Jones,3,51,15.2,0,0,8
Zach Ertz,5,60,11.8,0,0,7.6
Evan Engram,4,55,11.6,0,0,6.8
Travis Kelce,4,57,11.9,0,0,6.8
Marcedes Lewis,2,32,13.0,0,0,6.6
Delanie Walker,4,51,12.4,0,0,6
Jared Cook,4,52,11.9,0,0,6
Vernon Davis,4,57,13.8,0,0,6
Hunter Henry,3,45,13.5,0,0,5.8
Greg Olsen,3,48,13.5,0,0,5.8
Jason Witten,4,44,10.1,0,0,5.6
Kyle Rudolph,3,34,9.0,0,0,5.4
Jimmy Graham,3,38,10.8,0,0,5.4
Jack Doyle,4,48,10.3,0,0,5.4
Tyler Kroft,3,35,9.3,0,0,4.8
Garrett Celek,2,26,12.2,0,0,4.4
Charles Clay,3,33,10.4,0,0,4.2
George Kittle,2,30,10.5,0,0,4.2
Michael Hoomanawanui,2,25,11.2,0,0,4.2
Julius Thomas,3,30,9.6,0,0,4.2
Jesse James,3,30,9.9,0,0,4.2
Ed Dickson,2,34,15.5,0,0,4.2
Benjamin Watson,3,31,8.3,0,0,4.2
Austin Seferian-Jenkins,3,35,9.9,0,0,4
Eric Ebron,3,34,10.7,0,0,4
Antonio Gates,2,26,11.4,0,0,3.2
Trey Burton,2,21,10.8,0,0,3.2
Niles Paul,2,25,9.9,0,0,3.2
David Njoku,2,27,11.6,0,0,3.2
Josh Hill,2,29,10.9,0,0,2.8
Jonnu Smith,1,17,10.9,0,0,2.8
Lance Kendricks,2,23,10.2,0,0,2.6
Austin Traylor,1,23,12.5,0,0,2.6
Virgil Green,1,21,11.7,0,0,2.6
Stephen Anderson,2,26,11.0,0,0,2.6
Seth DeValve,2,28,12.8,0,0,2.4
Rhett Ellison,2,18,8.5,0,0,2.2
Darren Fells,1,15,9.9,0,0,2.2
Luke Willson,1,19,10.6,0,0,2.2
Tyler Higbee,1,18,11.8,0,0,1.6
Gerald Everett,1,15,11.0,0,0,1.6
Jeff Heuerman,1,15,11.7,0,0,1.6
Ifeanyi Momah,1,13,11.0,0,0,1.6
Jerell Adams,1,13,8.7,0,0,1.6
Dion Sims,1,18,10.8,0,0,1.6
Daniel Brown,1,10,9.8,0,0,1.6
Troy Niklas,1,12,10.3,0,0,1.6
Xavier Grimble,1,11,11.6,0,0,1.6
Demetrius Harris,1,16,9.3,0,0,1.6
Nick O'Leary,1,19,13.9,0,0,1.4
Eric Tomlinson,1,9,9.6,0,0,0.6
Richard Rodgers,1,9,9.0,0,0,0.6
Nick Vannett,0,9,10.7,0,0,0.6
Anthony Fasano,1,9,9.8,0,0,0.6
Luke Stocker,0,2,6.7,0,0,0.6
Logan Thomas,0,2,8.7,0,0,0.6
Dwayne Allen,0,9,10.4,0,0,0.6
Nick Boyle,1,9,8.1,0,0,0.6
Maxx Williams,1,9,8.1,0,0,0.4
MarQueis Gray,0,2,11.0,0,0,0
Geoff Swaim,0,3,12.0,0,0,0
Neal Sterling,0,3,9.0,0,0,0
Ben Braunecker,0,0,9.5,0,0,0
Cameron Brate,2,30,10.4,0,0,0
Henry Krieger-Coble,0,0,0.0,0,0,0
Will Tye,0,0,0.0,0,0,0
Jim Dray,0,2,9.7,0,0,0
Eric Saubert,0,2,9.3,0,0,0
Orson Charles,0,0,0.0,0,0,0
Jordan Leggett,0,0,0.0,0,0,0
Jeff Cumberland,0,0,0.0,0,0,0
Gavin Escobar,0,0,0.0,0,0,0
Chris Gragg,0,0,0.0,0,0,0
Evan Baylis,0,1,9.5,0,0,0
RaShaun Allen,0,0,0.0,0,0,0
Ben Koyack,0,3,11.0,0,0,0
Alan Cross,0,0,0.0,0,0,0
C.J. Uzomah,0,2,13.0,0,0,0
Jeremy Sprinkle,0,2,8.0,0,0,0
Matt Lengel,0,0,0.0,0,0,0
Levine Toilolo,0,1,18.0,0,0,0
Lee Smith,0,2,8.3,0,0,0
Jacob Hollister,0,1,9.5,0,0,0
David Morgan,0,2,7.3,0,0,0
Darrell Daniels,0,1,7.5,0,0,0
James O'Shaughnessy,0,2,11.0,0,0,0
Brandon Williams,0,3,10.7,0,0,0
Sean McGrath,0,2,10.5,0,0,0
Phillip Supernaw,0,1,9.0,0,0,0
O.J. Howard,2,35,13.7,0,0,0
A.J. Derby,0,0,0.0,0,0,0
Randall Telfer,0,2,11.5,0,0,0
Chris Manhertz,0,2,8.7,0,0,0
Austin Hooper,3,43,12.1,0,0,0
Garrett Griffin,0,0,0.0,0,0,0
Clive Walford,0,5,10.6,0,0,0
Derek Carrier,0,2,8.7,0,0,0
Brent Celek,0,4,11.5,0,0,0
Logan Paulsen,0,0,8.0,0,0,0
Ryan Hewitt,0,1,9.0,0,0,0
Michael Roberts,0,2,9.7,0,0,0
