Player,Recpt,Yd,Avg,TD,FL,FPTS
Keenan Allen,6,97,14.2,0,0,11.4
Michael Thomas,6,86,13.1,0,0,11
Larry Fitzgerald,7,83,10.9,0,0,10.2
DeAndre Hopkins,6,76,11.7,0,0,9.8
Devin Funchess,4,60,14.7,0,0,9.6
Michael Crabtree,5,65,11.0,0,0,9
Davante Adams,5,63,11.3,0,0,9
Dez Bryant,5,66,12.6,0,0,9
A.J. Green,6,75,12.3,0,0,9
Jordy Nelson,5,53,9.8,0,0,8.6
Stefon Diggs,5,60,12.1,0,0,8.4
JuJu Smith-Schuster,4,61,14.9,0,0,8.4
Marqise Lee,5,63,12.7,0,0,8.4
Brandin Cooks,4,68,14.3,0,0,8.4
Jarvis Landry,6,65,9.6,0,0,8.2
Doug Baldwin,4,60,12.8,0,0,7.8
Alshon Jeffery,4,61,14.3,0,0,7.8
Adam Thielen,5,69,12.1,0,0,7.6
Demaryius Thomas,5,68,13.3,0,0,7.6
Dede Westbrook,4,59,12.5,0,0,7.4
Robby Anderson,3,50,13.3,0,0,7.4
Jamison Crowder,5,60,11.4,0,0,7.4
Marvin Jones,3,50,13.2,0,0,7.4
Marquise Goodwin,3,67,18.9,0,0,7.2
Kenny Stills,4,51,12.6,0,0,7.2
T.Y. Hilton,3,52,13.9,0,0,7.2
Josh Doctson,3,47,13.5,0,0,7
Emmanuel Sanders,4,58,14.7,0,0,6.8
Tyreek Hill,4,52,12.8,0,0,6.8
Golden Tate,5,55,10.3,0,0,6.6
Sammy Watkins,3,45,14.7,0,0,6.4
Sterling Shepard,4,50,11.5,0,0,6.2
Terrance Williams,4,52,12.7,0,0,6.2
Josh Gordon,4,59,12.8,0,0,6.2
Cooper Kupp,4,52,13.1,0,0,6
Robert Woods,3,51,13.6,0,0,6
Jeremy Maclin,4,47,10.2,0,0,5.8
Paul Richardson,3,43,14.6,0,0,5.8
Jaron Brown,3,46,15.4,0,0,5.8
Randall Cobb,5,47,9.6,0,0,5.8
Jermaine Kearse,3,46,12.6,0,0,5.8
Mike Wallace,4,45,10.7,0,0,5.8
Rishard Matthews,3,48,14.6,0,0,5.8
Nelson Agholor,3,44,13.3,0,0,5.8
Kendall Wright,3,42,12.3,0,0,5.2
Corey Coleman,3,45,11.9,0,0,5.2
DeVante Parker,3,48,12.5,0,0,5.2
Danny Amendola,4,49,10.7,0,0,5.2
Chester Rogers,3,42,12.4,0,0,5.2
Tyrell Williams,2,48,18.5,0,0,5
J.J. Nelson,2,45,17.4,0,0,5
Will Fuller,2,33,12.0,0,0,4.8
Cole Beasley,3,35,9.9,0,0,4.8
Ryan Grant,3,36,11.5,0,0,4.8
Brandon Coleman,2,32,15.3,0,0,4.8
Eric Decker,3,37,12.0,0,0,4.2
Tommylee Lewis,2,31,13.8,0,0,4.2
Keelan Cole,1,32,17.0,0,0,4.2
Kenny Golladay,2,38,18.5,0,0,4.2
Dontrelle Inman,2,36,13.4,0,0,4.2
Seth Roberts,3,37,10.6,0,0,4
Travis Benjamin,2,33,16.0,0,0,4
Corey Davis,3,33,11.1,0,0,4
Trent Taylor,3,32,10.5,0,0,3.8
Chris Moore,2,27,12.4,0,0,3.8
Louis Murphy,2,29,14.8,0,0,3.8
Tyler Lockett,2,37,13.7,0,0,3.6
Martavis Bryant,2,30,13.4,0,0,3.6
Torrey Smith,2,36,13.4,0,0,3.6
Brandon LaFell,3,38,9.9,0,0,3.6
Johnny Holton,2,23,11.8,0,0,3.4
Willie Snead,2,32,14.3,0,0,3.4
Kelvin Benjamin,2,28,12.5,0,0,3.2
Zay Jones,2,23,11.8,0,0,3.2
Albert Wilson,2,28,11.0,0,0,3.2
Deonte Thompson,2,27,13.8,0,0,3.2
