Player,Att,Yd,Avg,TD,Recpt,Yd,Avg,TD,FL,FPTS
Ezekiel Elliott,20,97,4.7,0,2,28,9.8,0,0,15.6
Todd Gurley,19,68,3.6,0,3,34,9.8,0,0,14
Le'Veon Bell,18,79,4.2,0,4,31,6.8,0,0,14
Kareem Hunt,15,74,4.9,0,2,20,9.7,0,0,12.8
Leonard Fournette,19,80,4.2,0,2,17,8.1,0,0,11.8
Carlos Hyde,16,82,5.1,0,2,14,6.2,0,0,11.6
DeMarco Murray,15,72,4.8,0,2,16,6.1,0,0,10.8
Lamar Miller,17,66,3.9,0,2,20,9.4,0,0,10.8
Bilal Powell,14,64,4.3,0,3,20,6.6,0,0,10.8
Jordan Howard,16,72,4.4,0,2,16,7.1,0,0,10.6
Doug Martin,16,65,4.1,0,2,21,9.6,0,0,10.4
LeSean McCoy,16,68,4.1,0,3,26,6.8,0,0,9.8
Melvin Gordon,17,58,3.4,0,2,24,8.6,0,0,9.6
Mike Gillislee,16,54,3.4,0,0,6,7.8,0,0,9
Jay Ajayi,16,65,4.0,0,1,9,5.8,0,0,9
Ameer Abdullah,16,57,3.4,0,2,16,6.7,0,0,8.8
Christian McCaffrey,8,30,3.8,0,4,41,8.9,0,0,8.2
Tarik Cohen,7,36,4.8,0,4,30,7.2,0,0,8
Latavius Murray,14,56,3.9,0,1,7,5.9,0,0,7.8
Joe Mixon,14,54,3.8,0,2,19,7.7,0,0,7.6
Frank Gore,12,45,3.5,0,1,13,8.9,0,0,7.2
Jonathan Stewart,13,54,4.2,0,1,7,7.1,0,0,6.8
LeGarrette Blount,11,43,3.9,0,0,5,6.1,0,0,6.8
Isaiah Crowell,12,45,3.8,0,1,15,8.3,0,0,6.6
Elijah McGuire,9,42,4.3,0,1,10,9.6,0,0,6.6
Marshawn Lynch,13,48,3.7,0,1,7,7.0,0,0,6.2
Corey Clement,9,34,3.6,0,1,12,6.5,0,0,6.2
Aaron Jones,10,49,4.5,0,1,8,6.9,0,0,6.2
Wayne Gallman,11,44,3.8,0,0,5,7.2,0,0,5.6
James White,3,11,3.2,0,3,33,8.7,0,0,5.6
Derrick Henry,9,46,4.8,0,1,7,6.8,0,0,5.6
Terrance West,9,37,4.0,0,1,10,8.2,0,0,5.4
Chris Johnson,13,46,3.5,0,1,9,8.5,0,0,5.4
Theo Riddick,3,11,3.1,0,4,26,6.5,0,0,5.2
Duke Johnson,3,13,4.1,0,3,35,9.9,0,0,5.2
Giovani Bernard,5,22,3.9,0,2,26,10.9,0,0,5
D'Onta Foreman,8,35,4.0,0,1,11,11.0,0,0,5
Andre Ellington,5,15,3.2,0,3,36,10.1,0,0,5
Jerick McKinnon,7,26,3.7,0,2,12,6.0,0,0,4.6
Matt Breida,7,35,4.7,0,0,5,8.0,0,0,4
Thomas Rawls,8,33,4.0,0,1,7,7.1,0,0,4
Javorius Allen,6,25,4.0,0,2,17,6.6,0,0,4
Marlon Mack,4,16,3.4,0,1,14,10.6,0,0,3.6
Alex Collins,9,41,4.5,0,1,8,5.9,0,0,3.6
Orleans Darkwa,6,26,4.1,0,1,9,6.7,0,0,3.6
Eddie Lacy,8,32,3.8,0,1,7,7.1,0,0,3.4
Robert Turbin,5,16,3.2,0,1,9,6.2,0,0,3.2
Jamaal Williams,5,24,4.4,0,0,5,6.4,0,0,3
James Conner,6,25,4.0,0,0,5,7.1,0,0,3
Jalen Richard,4,18,4.7,0,1,11,8.6,0,0,3
Mike Tolbert,6,25,3.8,0,0,5,6.0,0,0,2.6
Shane Vereen,2,10,3.5,0,1,13,8.1,0,0,2.4
Austin Ekeler,4,13,3.3,0,1,15,8.3,0,0,2.4
Charcandrick West,4,21,4.5,0,0,6,7.4,0,0,2.4
Jacquizz Rodgers,5,23,4.4,0,0,7,10.3,0,0,2.4
Kerwynn Williams,3,12,4.0,0,0,3,8.0,0,0,2
Kenjon Barner,4,13,3.2,0,1,8,6.3,0,0,2
Fozzy Whittaker,2,10,3.8,0,0,7,9.1,0,0,2
Jamize Olawale,1,5,3.6,0,0,12,13.4,0,0,1.6
Kenyan Drake,3,12,3.3,0,0,6,6.8,0,0,1.6
Kyle Juszczyk,0,2,5.0,0,1,16,9.6,0,0,1.6
Jeremy Hill,5,19,3.6,0,0,4,6.4,0,0,1.4
Alfred Morris,3,15,4.8,0,0,5,7.2,0,0,1.4
DeAndre Washington,3,14,3.9,0,1,8,5.9,0,0,1.4
Alfred Blue,4,16,4.1,0,0,5,7.3,0,0,1.2
Dion Lewis,4,16,3.9,0,1,8,7.5,0,0,1.2
Damien Williams,1,5,3.2,0,0,8,9.7,0,0,1
Chris Ivory,5,19,3.9,0,0,4,7.8,0,0,1
Corey Grant,3,15,4.5,0,0,3,5.6,0,0,0.8
Benny Cunningham,1,4,4.1,0,1,12,8.4,0,0,0.8
Cameron Artis-Payne,2,8,4.0,0,0,1,11.0,0,0,0.6
Malcolm Brown,2,7,2.9,0,1,7,7.6,0,0,0.4
Charles Sims,1,5,3.8,0,1,10,9.3,0,0,0.4
George Winn,0,0,0.0,0,0,0,0.0,0,0,0
Tre Madden,0,0,0.0,0,0,0,0.0,0,0,0
Stevan Ridley,0,0,0.0,0,0,0,0.0,0,0,0
D.J. Foster,0,1,3.0,0,0,0,9.0,0,0,0
Keith Smith,0,0,2.3,0,0,0,2.0,0,0,0
Cedric Peerman,0,0,0.0,0,0,0,0.0,0,0,0
Mike James,0,0,0.0,0,0,0,0.0,0,0,0
Jalston Fowler,0,0,4.0,0,0,0,5.0,0,0,0
C.J. Ham,0,0,0.0,0,0,0,0.0,0,0,0
Devante Mays,0,2,3.8,0,0,1,10.0,0,0,0
Taiwan Jones,0,0,4.0,0,0,0,8.0,0,0,0
Anthony Sherman,0,0,0.0,0,0,0,4.5,0,0,0
Zach Zenner,1,3,3.4,0,0,1,9.5,0,0,0
Tommy Bohanon,0,0,0.0,0,0,0,0.0,0,0,0
Rod Smith,0,0,0.0,0,0,0,0.0,0,0,0
Terrell Watson,0,0,0.0,0,0,0,0.0,0,0,0
Alex Armah,0,0,0.0,0,0,0,0.0,0,0,0
Peyton Barber,0,3,4.7,0,0,0,4.0,0,0,0
Elijhaa Penny,0,0,0.0,0,0,0,0.0,0,0,0
Joe Williams,0,0,0.0,0,0,0,0.0,0,0,0
Brandon Wilds,0,0,0.0,0,0,0,0.0,0,0,0
Akeem Hunt,0,2,5.5,0,0,0,8.0,0,0,0
Joe Banyard,0,0,0.0,0,0,0,0.0,0,0,0
C.J. Spiller,0,0,3.0,0,0,1,8.5,0,0,0
Patrick DiMarco,0,0,-2.1,0,0,1,6.0,0,0,0
Taquan Mizzell,0,0,0.0,0,0,0,0.0,0,0,0
Matt Jones,1,4,3.8,0,0,1,18.0,0,0,0
Tyler Gaffney,0,0,0.0,0,0,0,0.0,0,0,0
Justin Davis,0,1,2.7,0,0,0,7.0,0,0,0
Michael Burton,0,0,4.0,0,0,0,6.0,0,0,0
Travaris Cadet,0,0,3.0,0,0,2,9.0,0,0,0
Derek Watt,0,0,1.0,0,0,2,20.0,0,0,0
Roosevelt Nix-Jones,0,0,0.0,0,0,0,3.0,0,0,0
Darren McFadden,1,4,4.6,0,0,1,9.5,0,0,0
Matt Dayes,0,1,3.7,0,0,0,5.0,0,0,0
Danny Vitale,0,0,4.0,0,0,0,7.0,0,0,0
Jay Prosch,0,0,3.5,0,0,0,6.6,0,0,0
Aaron Ripkowski,0,3,5.3,0,0,1,5.0,0,0,0
Joe Kerridge,0,0,0.0,0,0,0,0.0,0,0,0
Senorise Perry,0,0,0.0,0,0,0,0.0,0,0,0
Shane Smith,0,1,2.8,0,0,0,9.0,0,0,0
T.J. Yeldon,2,8,4.0,0,0,1,5.3,0,0,0
David Fluellen,0,2,3.8,0,0,0,6.0,0,0,0
Bishop Sankey,0,0,0.0,0,0,0,0.0,0,0,0
James Develin,0,0,3.4,0,0,1,9.0,0,0,0
Raheem Mostert,1,7,4.4,0,0,1,8.0,0,0,-0.4
