Player,Att,Yd,Avg,TD,Recpt,Yd,Avg,TD,FL,FPTS
Devonta Freeman,16,72,4.3,0,3,31,8.8,0,0,15.2
Kareem Hunt,17,86,5.0,0,3,24,8.0,0,0,14.2
Todd Gurley,18,72,3.9,0,3,28,8.7,0,0,13.8
Le'Veon Bell,18,85,4.6,0,4,32,6.9,0,0,13.8
Leonard Fournette,20,88,4.3,0,2,17,8.6,0,0,13.6
Melvin Gordon,18,70,3.8,0,3,29,9.0,0,0,13.2
Lamar Miller,17,65,3.7,0,2,26,9.0,0,0,12
Chris Thompson,7,37,4.9,0,3,44,12.3,0,0,11
Mark Ingram,14,54,3.9,0,4,30,7.7,0,0,10.2
Alvin Kamara,8,32,3.9,0,4,34,7.5,0,0,10
Ameer Abdullah,15,63,4.1,0,2,18,7.6,0,0,9.8
Carlos Hyde,14,64,4.6,0,2,10,5.4,0,0,9.2
C.J. Anderson,15,64,4.2,0,2,14,6.8,0,0,9.2
Marshawn Lynch,13,56,4.2,0,1,8,8.1,0,0,9
Jordan Howard,15,67,4.3,0,2,13,6.9,0,0,9
Jay Ajayi,16,71,4.3,0,1,8,5.1,0,0,9
Javorius Allen,13,51,3.9,0,3,17,5.4,0,0,8.8
Doug Martin,17,57,3.3,0,2,17,8.2,0,0,8
Isaiah Crowell,13,54,4.1,0,1,15,8.3,0,0,7.6
Ty Montgomery,8,35,4.4,0,3,24,7.3,0,0,7.2
Tevin Coleman,8,39,4.8,0,2,29,12.2,0,0,7.2
Jerick McKinnon,12,45,3.7,0,2,18,6.6,0,0,7.2
LeGarrette Blount,13,52,4.1,0,1,5,5.3,0,0,7.2
Adrian Peterson,14,49,3.3,0,1,11,7.1,0,0,7.2
Christian McCaffrey,8,32,3.9,0,3,36,9.4,0,0,7
Matt Forte,12,52,4.2,0,1,11,9.2,0,0,7
Samaje Perine,13,49,3.8,0,1,12,8.6,0,0,7
Mike Gillislee,12,40,3.3,0,0,4,7.8,0,0,6.8
Jonathan Stewart,14,57,3.9,0,1,7,6.9,0,0,6.6
Duke Johnson,3,15,4.2,0,4,45,10.6,0,0,6.6
Matt Breida,9,43,4.4,0,1,12,6.6,0,0,6
D'Onta Foreman,10,39,3.8,0,1,12,9.9,0,0,6
Tarik Cohen,6,30,4.7,0,4,26,6.6,0,0,5.8
Elijah McGuire,10,43,4.3,0,1,14,9.2,0,0,5.8
Corey Clement,10,37,3.7,0,1,11,6.2,0,0,5.6
Aaron Jones,9,44,4.6,0,1,7,7.5,0,0,5.6
Theo Riddick,3,11,3.6,0,4,34,8.2,0,0,5.6
Jamaal Charles,8,38,4.4,0,1,10,7.7,0,0,5
James White,3,12,3.2,0,3,32,8.6,0,0,5
Dion Lewis,8,30,3.8,0,1,10,7.7,0,0,5
Andre Ellington,4,13,3.2,0,4,38,9.0,0,0,5
Latavius Murray,10,34,3.4,0,0,5,6.1,0,0,4.6
Alex Collins,9,41,4.4,0,1,6,5.1,0,0,4.6
Jalen Richard,5,24,4.8,0,1,12,11.6,0,0,4.6
Charcandrick West,4,18,4.3,0,1,12,6.5,0,0,3.6
Wayne Gallman,11,34,2.9,0,0,4,5.4,0,0,3.4
Austin Ekeler,3,11,3.6,0,1,16,9.5,0,0,3
James Conner,5,24,4.4,0,0,5,8.1,0,0,2.4
Orleans Darkwa,7,24,3.2,0,1,6,5.2,0,0,2.4
Chris Ivory,7,29,4.0,0,0,4,8.0,0,0,2.2
Kenyan Drake,4,14,3.5,0,0,5,5.9,0,0,1.4
