Devon Bell,0,0,0,0
Mason Crosby,1,1,2,0
Matt Bryant,2,2,2,0
Nick Folk,0,0,0,0
Ka'imi Fairbairn,1,1,1,0
Kai Forbath,2,2,2,0
Chandler Catanzaro,1,1,1,0
Travis Coons,0,0,0,0
Patrick Murray,1,1,2,0
Marshall Koehn,0,0,0,0
Cairo Santos,0,0,0,0
Randy Bullock,1,1,1,0
Robbie Gould,2,2,2,0
Blair Walsh,1,2,2,0
Justin Tucker,2,2,2,0
Stephen Hauschka,1,1,1,0
Stephen Gostkowski,2,2,3,0
Adam Vinatieri,1,2,2,0
Mike Meyer,0,0,0,0
Ryan Succop,1,2,2,0
Wil Lutz,1,2,2,0
Brandon McManus,1,2,2,0
Giorgio Tavecchio,1,1,2,0
Andrew Franks,0,0,0,0
Cody Parkey,1,1,1,0
Dustin Hopkins,1,1,2,0
Jake Elliott,1,1,2,0
Roberto Aguayo,0,0,0,0
Zane Gonzalez,1,1,1,0
Shayne Graham,0,0,0,0
Chris Boswell,1,2,2,0
Matt Prater,2,2,2,0
Aldrick Rosas,1,1,1,0
Josh Lambo,1,1,2,0
Younghoe Koo,0,0,0,0
Jordan Gay,0,0,0,0
Connor Barth,0,0,0,0
Dan Bailey,1,1,2,0
Phil Dawson,1,1,1,0
John Lunsford,0,0,0,0
Graham Gano,1,1,2,0
Zach Hocker,0,0,0,0
Nick Rose,1,2,2,0
Mike Nugent,1,1,1,0
Jason Myers,0,0,0,0
Jon Brown,0,0,0,0
Sam Ficken,1,1,2,0
