Player,Att,Cmp,Yd,TD,INT,CmpPct,YAtt,Att,Yd,Avg,TD,FL,FPTS
Drew Brees,38,27,314,2,0,70.5,8.1,1,2,1.4,0,0,24.4
Tom Brady,39,27,320,2,0,68.9,8.2,2,4,1.8,0,0,24
Alex Smith,29,20,242,1,0,67.1,8.1,5,22,4.5,0,0,20.6
Kirk Cousins,36,24,284,1,0,66.4,7.8,2,11,4.2,0,0,20.6
Carson Wentz,36,24,262,1,0,67.0,7.1,4,19,4.6,0,0,20.4
Russell Wilson,35,23,244,1,1,64.6,6.9,5,30,5.4,0,0,19.8
Matthew Stafford,37,24,268,1,0,65.3,7.1,2,11,4.8,0,0,18.8
Dak Prescott,32,19,209,1,0,60.1,6.4,3,22,6.3,0,0,18.6
Philip Rivers,37,22,268,1,1,61.4,7.2,1,1,1.9,0,0,17.6
Matt Ryan,34,22,290,1,0,66.6,8.5,2,7,3.5,0,0,17.6
Ben Roethlisberger,36,21,256,1,1,59.3,7.0,1,2,1.1,0,0,17.4
Jay Cutler,34,23,252,1,0,67.7,7.3,1,5,3.4,0,0,16.6
Ryan Fitzpatrick,38,23,267,1,1,62.2,7.0,2,12,4.6,0,0,15.8
Derek Carr,36,23,263,1,0,63.9,7.2,1,4,2.6,0,0,15.8
Jared Goff,31,19,229,1,0,60.3,7.3,1,4,2.5,0,0,15.6
Case Keenum,31,21,217,1,0,66.8,6.8,0,3,4.0,0,0,15.4
Blaine Gabbert,35,19,245,1,1,55.6,6.9,5,23,4.2,0,0,15.4
Blake Bortles,25,15,170,1,0,60.3,6.7,4,26,5.4,0,0,15.2
Andy Dalton,32,19,207,1,0,60.3,6.5,3,6,2.2,0,0,13.6
Marcus Mariota,32,19,198,1,1,60.3,6.2,3,21,5.7,0,0,13.6
Joe Flacco,40,25,245,1,1,64.3,6.1,1,2,1.9,0,0,13
Eli Manning,32,18,202,1,1,55.7,6.3,1,2,2.6,0,0,12.2
Mitchell Trubisky,26,16,175,0,0,59.5,6.5,2,16,6.3,0,0,11.4
Brock Osweiler,29,16,174,1,1,57.6,6.0,0,0,2.5,0,0,9.6
Brett Hundley,28,15,155,0,2,54.9,5.4,2,15,6.6,0,0,8.8
Nathan Peterman,23,14,135,0,0,59.1,5.7,2,9,4.5,0,0,8.4
DeShone Kizer,24,12,124,0,1,53.8,5.2,5,27,4.9,0,0,7.8
Tom Savage,26,13,146,0,1,51.7,5.6,1,5,3.4,0,0,6.6
Tyrod Taylor,4,2,25,0,0,60.5,5.8,0,2,4.8,0,0,1.4
Teddy Bridgewater,1,1,11,0,0,64.7,6.8,0,0,3.6,0,0,0.6
Paxton Lynch,3,1,19,0,0,55.9,5.8,0,0,3.0,0,0,0.4
Davis Webb,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Alex Tanney,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Chase Daniel,0,0,0,0,0,80.0,8.4,0,0,-0.4,0,0,0
T.J. Yates,0,0,0,0,0,48.8,4.0,0,0,0.3,0,0,0
Geno Smith,0,0,0,0,0,53.3,6.0,0,0,4.6,0,0,0
Cooper Rush,0,0,0,0,0,55.6,5.3,0,0,4.1,0,0,0
Austin Davis,0,0,0,0,0,60.7,3.0,0,0,2.9,0,0,0
Landry Jones,0,0,0,0,0,100.0,7.0,0,0,-0.6,0,0,0
Kevin Hogan,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Trevor Siemian,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Jameill Showers,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Ryan Nassib,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Mike Glennon,0,0,1,0,0,50.0,5.5,0,0,1.1,0,0,0
Nate Sudfeld,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Brandon Weeden,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Connor Cook,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Sean Mannion,0,0,0,0,0,69.2,6.1,0,0,-1.2,0,0,0
Joshua Dobbs,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Jake Rudock,0,0,0,0,0,68.4,7.2,0,0,4.0,0,0,0
David Fales,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Cardale Jones,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Joe Callahan,0,0,0,0,0,56.2,5.6,0,0,3.5,0,0,0
Matt Schaub,0,0,0,0,0,100.0,8.0,0,0,1.3,0,0,0
Kyle Sloter,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Drew Stanton,0,0,1,0,0,50.0,6.0,0,0,0.3,0,0,0
Jeff Driskel,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Chad Henne,0,0,0,0,0,46.2,4.9,0,0,-0.1,0,0,0
Joe Webb,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Josh Woodrum,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Nick Foles,0,0,1,0,0,50.0,7.0,0,0,0.0,0,0,0
Kellen Clemens,0,0,0,0,0,61.9,7.6,0,0,0.2,0,0,0
Brian Hoyer,0,0,2,0,0,66.7,8.3,0,0,1.5,0,0,0
Taysom Hill,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
EJ Manuel,0,0,1,0,0,50.0,6.5,0,0,4.3,0,0,0
Josh Johnson,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Taylor Heinicke,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Ryan Mallett,0,0,1,0,0,50.0,5.0,0,0,-0.2,0,0,0
Matt Simms,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Patrick Mahomes,0,0,0,0,0,66.7,8.3,0,0,6.0,0,0,0
Colt McCoy,0,0,0,0,0,62.9,7.9,0,0,0.4,0,0,0
AJ McCarron,0,0,1,0,0,50.0,6.0,0,0,1.7,0,0,0
Connor Shaw,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Matt McGloin,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Brandon Allen,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Kellen Moore,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Mark Sanchez,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Ryan Griffin,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Matt Moore,0,0,2,0,0,66.7,6.7,0,0,-0.2,0,0,0
Matt Cassel,0,0,1,0,0,50.0,6.5,0,0,3.9,0,0,0
Cody Kessler,1,0,7,0,0,50.0,5.1,0,0,2.0,0,0,-0.2
