Player,Recpt,Yd,Avg,TD,FL,FPTS
Rob Gronkowski,6,82,13.1,0,0,11
Zach Ertz,6,65,10.8,0,0,8.8
Travis Kelce,5,60,12.1,0,0,8.4
Greg Olsen,4,63,13.6,0,0,7.8
Kyle Rudolph,4,46,10.1,0,0,7
Evan Engram,5,55,10.6,0,0,6.8
Cameron Brate,4,49,12.3,0,0,6.4
Benjamin Watson,3,40,10.8,0,0,6.4
Hunter Henry,3,43,13.2,0,0,5.8
Ricky Seals-Jones,2,40,14.3,0,0,5.8
Jack Doyle,4,48,10.1,0,0,5.4
Marcedes Lewis,2,31,12.5,0,0,5.4
Vernon Davis,4,51,13.0,0,0,5.2
Eric Ebron,3,40,10.6,0,0,5.2
Delanie Walker,4,45,11.4,0,0,4.8
Vance McDonald,2,33,15.9,0,0,4.8
Antonio Gates,2,31,11.3,0,0,4.8
Jimmy Graham,3,39,10.6,0,0,4.8
Tyler Kroft,3,35,10.1,0,0,4.8
Jason Witten,4,39,9.9,0,0,4.6
O.J. Howard,2,37,15.2,0,0,4.6
Jared Cook,3,41,11.7,0,0,4.4
Charles Clay,3,37,10.9,0,0,4.2
Julius Thomas,2,33,11.4,0,0,4.2
Jesse James,3,31,10.5,0,0,4.2
Austin Hooper,3,36,11.5,0,0,4.2
Austin Seferian-Jenkins,3,34,9.6,0,0,4
Adam Shaheen,1,19,11.2,0,0,4
Garrett Celek,1,23,12.4,0,0,3.8
Lance Kendricks,2,22,9.1,0,0,3.2
David Njoku,2,25,11.2,0,0,3.2
Jordan Reed,3,28,9.6,0,0,3
Josh Hill,2,24,8.8,0,0,2.8
George Kittle,2,25,10.4,0,0,2.6
Jermaine Gresham,2,23,10.6,0,0,2.6
Austin Traylor,1,21,11.3,0,0,2.6
Ed Dickson,1,27,15.9,0,0,2.6
Niles Paul,2,23,9.5,0,0,2.6
Virgil Green,1,22,11.6,0,0,2.6
C.J. Fiedorowicz,2,20,9.9,0,0,2.6
Stephen Anderson,2,27,11.9,0,0,2.6
Seth DeValve,2,28,12.3,0,0,2.4
Nick O'Leary,1,21,14.3,0,0,2.4
Darren Fells,1,18,10.4,0,0,2.2
Luke Willson,1,19,10.3,0,0,2.2
Jonnu Smith,1,14,10.2,0,0,2.2
Tyler Higbee,1,17,11.9,0,0,1.6
Trey Burton,1,15,9.9,0,0,1.6
Richard Rodgers,1,11,9.2,0,0,1.6
Gerald Everett,1,14,10.4,0,0,1.6
Jeff Heuerman,1,16,11.7,0,0,1.6
Rhett Ellison,2,19,8.3,0,0,1.6
Ross Travis,1,12,9.8,0,0,1.6
Anthony Fasano,1,18,9.6,0,0,1.6
Jerell Adams,1,13,8.3,0,0,1.6
Dion Sims,1,16,10.3,0,0,1.6
Daniel Brown,1,10,9.8,0,0,1.6
Xavier Grimble,1,12,12.5,0,0,1.6
Nick Boyle,1,11,9.8,0,0,1.6
Demetrius Harris,1,18,10.0,0,0,1.6
Maxx Williams,1,11,9.8,0,0,1.4
A.J. Derby,1,13,11.3,0,0,1.4
Michael Hoomanawanui,0,3,8.5,0,0,0.6
Eric Tomlinson,1,9,9.5,0,0,0.6
Nick Vannett,1,9,9.8,0,0,0.6
Luke Stocker,0,1,5.7,0,0,0.6
Dwayne Allen,0,9,10.1,0,0,0.6
MarQueis Gray,0,6,9.1,0,0,0
Geoff Swaim,0,3,11.3,0,0,0
Neal Sterling,0,2,13.0,0,0,0
Ben Braunecker,0,0,9.6,0,0,0
Henry Krieger-Coble,0,0,0.0,0,0,0
Will Tye,0,0,0.0,0,0,0
Jim Dray,0,2,9.3,0,0,0
Eric Saubert,0,2,12.5,0,0,0
Orson Charles,0,0,0.0,0,0,0
Jordan Leggett,0,0,0.0,0,0,0
Jeff Cumberland,0,0,0.0,0,0,0
Gavin Escobar,0,0,0.0,0,0,0
Chris Gragg,0,0,0.0,0,0,0
Evan Baylis,0,2,10.0,0,0,0
RaShaun Allen,0,0,0.0,0,0,0
Ben Koyack,0,3,10.7,0,0,0
Alan Cross,0,0,0.0,0,0,0
C.J. Uzomah,0,3,11.3,0,0,0
Jeremy Sprinkle,0,2,11.5,0,0,0
Matt Lengel,0,0,0.0,0,0,0
Levine Toilolo,0,1,16.0,0,0,0
Lee Smith,0,2,8.3,0,0,0
Jacob Hollister,0,1,14.0,0,0,0
David Morgan,0,2,7.7,0,0,0
Darrell Daniels,0,1,7.5,0,0,0
James O'Shaughnessy,0,2,11.0,0,0,0
Brandon Williams,0,3,10.7,0,0,0
Sean McGrath,0,1,16.0,0,0,0
Phillip Supernaw,0,1,8.0,0,0,0
Ifeanyi Momah,0,2,28.0,0,0,0
Randall Telfer,0,2,12.0,0,0,0
Chris Manhertz,0,2,9.0,0,0,0
Garrett Griffin,0,0,0.0,0,0,0
Clive Walford,0,5,10.4,0,0,0
Derek Carrier,0,2,8.0,0,0,0
Brent Celek,0,5,13.5,0,0,0
Logan Paulsen,0,0,8.0,0,0,0
Logan Thomas,0,2,9.3,0,0,0
Troy Niklas,0,4,10.0,0,0,0
Ryan Hewitt,0,1,9.5,0,0,0
Michael Roberts,0,3,10.0,0,0,0
Khari Lee,0,1,8.5,0,0,0
Blake Bell,0,5,12.5,0,0,0
