Player,Recpt,Yd,Avg,TD,FL,FPTS
Keenan Allen,7,108,14.0,0,0,13
Antonio Brown,6,95,15.0,0,0,12
Mike Evans,6,91,14.1,0,0,11.4
Julio Jones,5,89,15.4,0,0,10.4
DeAndre Hopkins,6,81,12.8,0,0,10.2
JuJu Smith-Schuster,4,70,16.3,0,0,10
A.J. Green,5,74,13.3,0,0,9.6
Adam Thielen,6,80,13.4,0,0,9.4
Davante Adams,5,61,11.4,0,0,9
Alshon Jeffery,5,68,13.3,0,0,9
Devin Funchess,4,61,15.3,0,0,9
Demaryius Thomas,5,71,13.0,0,0,8.6
Stefon Diggs,5,69,12.9,0,0,8.4
Brandin Cooks,5,66,13.0,0,0,8.4
Jordy Nelson,5,53,9.4,0,0,8
Doug Baldwin,4,60,12.3,0,0,7.8
Jarvis Landry,6,62,9.9,0,0,7.6
Golden Tate,6,64,10.6,0,0,7.6
Jeremy Maclin,4,57,12.3,0,0,7.4
Michael Crabtree,4,52,11.2,0,0,7.4
Chris Hogan,3,52,13.7,0,0,7.4
Mike Wallace,4,57,13.4,0,0,7.4
Dez Bryant,4,59,12.7,0,0,7.4
Robby Anderson,4,51,12.8,0,0,7.4
Tyreek Hill,4,56,13.4,0,0,7.4
Marvin Jones,4,58,13.8,0,0,7.4
Josh Gordon,5,62,12.3,0,0,7.2
Larry Fitzgerald,6,67,10.7,0,0,7
Nelson Agholor,3,47,13.1,0,0,7
Dede Westbrook,4,55,11.7,0,0,6.8
Randall Cobb,5,50,9.2,0,0,6.8
Michael Thomas,5,58,10.4,0,0,6.8
Martavis Bryant,4,56,14.2,0,0,6.8
Keelan Cole,3,56,18.9,0,0,6.8
T.Y. Hilton,3,51,13.3,0,0,6.6
Sammy Watkins,3,42,14.2,0,0,6.4
Josh Doctson,3,42,12.8,0,0,6.4
Marquise Goodwin,4,57,13.7,0,0,6.2
DeSean Jackson,4,52,13.0,0,0,6.2
Emmanuel Sanders,3,51,13.2,0,0,6.2
Tyrell Williams,2,53,18.4,0,0,6
Paul Richardson,3,45,14.1,0,0,5.8
Allen Hurns,3,48,13.2,0,0,5.8
Amari Cooper,4,49,12.4,0,0,5.8
Jermaine Kearse,3,45,12.0,0,0,5.8
Mohamed Sanu,3,44,11.5,0,0,5.8
Rishard Matthews,3,44,13.8,0,0,5.8
Ted Ginn,4,48,12.1,0,0,5.8
Jamison Crowder,5,56,11.1,0,0,5.8
Sterling Shepard,5,54,10.9,0,0,5.6
Kenny Stills,3,46,13.1,0,0,5.6
Cooper Kupp,3,49,12.9,0,0,5.6
Robert Woods,3,49,12.6,0,0,5.6
Kendall Wright,3,42,12.5,0,0,5.2
Corey Coleman,3,42,12.1,0,0,5.2
DeVante Parker,3,47,13.2,0,0,5.2
Jaydon Mickens,2,31,13.1,0,0,5.2
Marqise Lee,3,48,12.7,0,0,5.2
Danny Amendola,4,46,9.8,0,0,5.2
Chris Godwin,3,42,13.2,0,0,5.2
Terrance Williams,3,45,12.2,0,0,5.2
Kenny Golladay,2,44,17.2,0,0,5.2
Brandon LaFell,3,40,11.3,0,0,5.2
Adam Humphries,4,49,10.5,0,0,5
Will Fuller,3,38,12.8,0,0,4.8
Chris Moore,2,33,15.7,0,0,4.8
Tavarres King,2,33,12.5,0,0,4.8
Cole Beasley,3,30,9.4,0,0,4.8
Bennie Fowler,2,32,13.7,0,0,4.8
Damiere Byrd,2,31,13.0,0,0,4.8
Donte Moncrief,2,38,13.2,0,0,4.8
Phillip Dorsett,3,35,11.7,0,0,4.2
Kelvin Benjamin,3,38,12.7,0,0,4.2
Eric Decker,3,34,11.5,0,0,4.2
Albert Wilson,2,30,11.5,0,0,4.2
Ryan Grant,3,33,10.8,0,0,4.2
Torrey Smith,3,35,11.7,0,0,4.2
Russell Shepard,2,30,15.0,0,0,4.2
Travis Benjamin,2,36,15.8,0,0,4
J.D. McKissic,3,21,7.2,0,0,4
Jeremy Kerley,3,32,10.3,0,0,3.8
Justin Hardy,1,24,13.0,0,0,3.8
Kenny Britt,2,27,13.9,0,0,3.8
Taylor Gabriel,2,30,12.5,0,0,3.6
Tyler Lockett,2,37,12.9,0,0,3.6
Chester Rogers,3,37,12.0,0,0,3.6
Dontrelle Inman,2,31,13.2,0,0,3.6
J.J. Nelson,2,37,17.7,0,0,3.4
Geronimo Allison,2,30,11.4,0,0,3.4
Zay Jones,2,25,12.1,0,0,3.2
Louis Murphy,1,24,14.3,0,0,3.2
Brice Butler,1,24,17.6,0,0,3.2
Tavon Austin,1,16,11.4,0,0,2.8
Corey Davis,2,29,10.1,0,0,2.8
Brandon Coleman,2,26,12.5,0,0,2.8
Mike Williams,2,28,13.5,0,0,2.6
Roger Lewis,2,29,11.3,0,0,2.6
Kamar Aiken,2,23,11.7,0,0,2.6
Jaron Brown,1,28,15.2,0,0,2.6
Josh Bellamy,1,25,15.7,0,0,2.6
Jordan Taylor,2,27,13.5,0,0,2.6
Tommylee Lewis,2,24,11.4,0,0,2.6
Jarius Wright,1,21,11.8,0,0,2.6
Deonte Thompson,2,28,14.3,0,0,2.6
Laquon Treadwell,2,26,12.6,0,0,2.6
T.J. Jones,2,29,13.5,0,0,2.6
Demarcus Robinson,1,20,12.7,0,0,2.6
De'Anthony Thomas,1,20,12.7,0,0,2.6
Bruce Ellington,2,21,9.7,0,0,2.6
Alex Erickson,1,20,12.2,0,0,2.4
Eli Rogers,2,28,12.8,0,0,2.4
Seth Roberts,2,27,10.7,0,0,2.4
Jordan Matthews,2,27,11.6,0,0,2.4
Trent Taylor,2,26,10.2,0,0,2.2
Andre Holmes,1,13,12.1,0,0,2.2
Jakeem Grant,1,20,12.1,0,0,2.2
Willie Snead,2,27,11.6,0,0,2.2
Johnny Holton,1,15,11.9,0,0,2
Cordarrelle Patterson,1,18,10.8,0,0,1.6
Breshad Perriman,1,19,11.7,0,0,1.6
Marvin Hall,1,15,14.5,0,0,1.6
Josh Malone,0,10,12.9,0,0,1.6
Michael Floyd,1,15,12.5,0,0,1.6
Cody Latimer,1,19,13.1,0,0,1.6
Michael Campanaro,1,13,12.1,0,0,1.6
Tyler Boyd,1,15,9.8,0,0,1.6
Aldrick Robinson,1,16,12.3,0,0,1.6
Mack Hollins,1,17,12.6,0,0,1.6
