PLAYER,OPP,STATUS ET,TT,SCK,FF,FR,INT,ITD,FTD,PTS
Cardinals ,@Ind,W 16-13,0,3.2,1.3,0.7,1.5,0.2,0.1,10.3
Bengals ,Hou,L 9-13,0,3.1,1,0.5,1.3,0.1,0.1,9.3
Steelers ,Min,W 26-9,0,2.6,1.1,0.6,1.2,0.1,0.1,8.8
Raiders ,NYJ,W 45-20,0,3,1.7,0.8,1,0.1,0.1,8.3
Ravens ,Cle,W 24-10,0,2.3,1.1,0.6,1.1,0.1,0.1,8.1
Seahawks ,SF,W 12-9,0,2.4,1.2,0.6,1,0.1,0.1,8.1
Buccaneers ,Chi,W 29-7,0,3,1.4,0.7,0.9,0.1,0.1,7.6
Giants ,Det,L 10-24,0,2.5,1,0.5,0.8,0.1,0.1,7.5
Chargers ,Mia,L 17-19,0,2.7,1.5,0.8,0.9,0.1,0.1,7.4
Titans ,@Jax,W 37-16,0,2.8,1.3,0.6,0.9,0.1,0.1,7.4
Redskins ,@LAR,W 27-20,0,2.5,1.3,0.6,0.9,0.1,0.1,7.1
Texans ,@Cin,W 13-9,0,3,1,0.5,0.9,0.1,0.1,7
Dolphins ,@LAC,W 19-17,0,2.5,1.2,0.6,1.2,0.1,0.1,7
Panthers ,Buf,W 9-3,0,3.5,0.9,0.4,0.7,0.1,0.1,7
Jaguars ,Ten,L 16-37,0,2.2,1.3,0.7,0.8,0.1,0.1,6.7
Bears ,@TB,L 7-29,0,2.4,0.9,0.5,1.2,0.1,0.1,6.5
Chiefs ,Phi,W 27-20,0,2.6,1.4,0.7,0.9,0.1,0.1,6.5
Bills ,@Car,L 3-9,0,3,0.8,0.4,0.9,0.1,0.1,6.2
Lions ,@NYG,W 24-10,0,1.7,1,0.5,1.2,0.1,0.1,5.9
Rams ,Wsh,L 20-27,0,2.5,1.4,0.7,0.8,0.1,0.1,5.9
Broncos ,Dal,W 42-17,0,2.1,1.2,0.6,0.6,0.1,0.1,5.8
Vikings ,@Pit,L 9-26,0,2.2,0.9,0.5,1,0.1,0.1,5.8
Browns ,@Bal,L 10-24,0,1.6,1.1,0.6,1.1,0.1,0.1,5.6
Cowboys ,@Den,L 17-42,0,2.5,0.8,0.4,0.9,0.1,0.1,5.6
49ers ,@Sea,L 9-12,0,2.9,1,0.5,0.6,0.1,0.1,5.3
Falcons ,GB,W 34-23,0,2.5,0.9,0.5,0.6,0.1,0.1,5.1
Eagles ,@KC,L 20-27,0,2.7,1,0.5,0.5,0.1,0.1,5.1
Colts ,Ari,L 13-16,0,2.2,1.7,0.9,1,0.1,0.1,4.5
Packers ,@Atl,L 23-34,0,2.6,0.8,0.4,0.8,0.1,0.1,4.2
Jets ,@Oak,L 20-45,0,1.9,1.3,0.7,0.4,0,0.1,4.2
Patriots ,@NO,W 36-20,0,1.7,1.1,0.5,1.1,0.1,0.1,3.5
Saints ,NE,L 20-36,0,2,0.9,0.4,0.5,0.1,0.1,1.1
