PLAYER,OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
Steve Smith Sr.,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Andre Johnson,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Anquan Boldin,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Jason Witten,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Antonio Gates,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Larry Fitzgerald,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Kellen Winslow,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Steven Jackson,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Benjamin Watson,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Jerricho Cotchery,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Wes Welker,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Roddy White,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Vincent Jackson,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Frank Gore,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Alex Smith,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Darren Sproles*,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Joshua Cribbs,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Nate Washington,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Lance Moore,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
John Kuhn*,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Reggie Bush,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Vernon Davis,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
DeAngelo Williams,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Marcedes Lewis,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Greg Jennings,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Anthony Fasano,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Devin Hester,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Derek Hagan,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Owen Daniels,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Jason Avant,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Brandon Marshall*,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Delanie Walker,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Marques Colston,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Miles Austin,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Fred Jackson,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Daniel Fells,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Calvin Johnson,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Adrian Peterson*,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Ted Ginn Jr.,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Marshawn Lynch,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Eric Weems,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Darren McFadden,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Jonathan Stewart,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Chris Johnson,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Jordy Nelson*,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Eddie Royal,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Matt Forte*,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Jerome Simpson,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Fred Davis,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
DeSean Jackson*,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Martellus Bennett*,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Jamaal Charles*,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Harry Douglas*,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Craig Stevens,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Andre Jerome Caldwell,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Gary Barnidge,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Jerome Felton,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Jacob Tamme,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Tim Hightower,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Matthew Slater,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Kellen Davis,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Pierre Garcon*,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Stevie Johnson,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Justin Forsett,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Mike Tolbert,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Danny Amendola,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Matthew Mulligan,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Marcel Reece,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Danny Woodhead,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Donald Brown,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Arian Foster,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Rashad Jennings,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
David Johnson,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Jorvorskie Lane,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
LeSean McCoy,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Cedric Peerman*,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Marcus Thigpen,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
James Casey,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Chase Coffman,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Jared Cook,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Jeremy Maclin*,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Louis Murphy,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Hakeem Nicks,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Jordan Norwood,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Kevin Ogletree,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Brandon Tate,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Mike Wallace,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Julian Edelman*,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Zach Miller*,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Brandon Myers,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Darrel Young,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Antone Smith,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
C.J. Spiller*,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Ryan Mathews,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Dexter McCluster,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Ben Tate,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Toby Gerhart,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Boobie Dixon,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
LeGarrette Blount,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
