PLAYER,OPP,STATUS ET,1-39,40-49,50+,TOT,XP,PTS
Stephen Gostkowski,Atl,W 23-7,1.2/1.2,0.6/0.7,0.2/0.3,2/2.2,3.2/3.2,9.9
Jake Elliott,Wsh,W 34-24,1.4/1.5,0.6/0.8,0.3/0.4,2.2/2.6,2.3/2.4,9.7
Ryan Succop,@Cle,W 12-9,1.3/1.3,0.6/0.7,0.2/0.4,2.1/2.3,2.5/2.5,9.4
Greg Zuerlein*,Ari,W 33-0,1.3/1.4,0.6/0.7,0.2/0.4,2.1/2.5,2.3/2.5,9.2
Robbie Gould,Dal,L 10-40,1.2/1.3,0.6/0.7,0.2/0.4,2/2.3,1.9/1.9,8.7
Matt Bryant,@NE,L 7-23,1.1/1.1,0.5/0.6,0.2/0.3,1.8/2,2.5/2.5,8.7
Josh Lambo,@Ind,W 27-0,1.2/1.3,0.5/0.7,0.2/0.4,1.9/2.4,2.3/2.5,8.7
Harrison Butker,@Oak,L 30-31,1.1/1.2,0.5/0.7,0.2/0.3,1.9/2.2,2.4/2.5,8.6
Dan Bailey,@SF,W 40-10,1/1,0.5/0.6,0.2/0.3,1.7/1.9,2.9/2.9,8.5
Wil Lutz,@GB,W 26-17,1/1.1,0.5/0.6,0.2/0.3,1.7/2,2.7/2.9,8.2
Chris Boswell,Cin,W 29-14,1.1/1.2,0.5/0.6,0.2/0.3,1.9/2.1,1.9/1.9,8.2
Graham Gano,@Chi,L 3-17,1.2/1.2,0.5/0.7,0.2/0.3,1.9/2.3,2/2.1,8.2
Stephen Hauschka,TB,W 30-27,1.1/1.2,0.5/0.6,0.2/0.3,1.8/2.1,2.1/2.2,8
Brandon McManus,@LAC,L 0-21,1.1/1.2,0.5/0.7,0.2/0.3,1.8/2.2,1.9/2.1,7.9
Adam Vinatieri,Jax,L 0-27,1.1/1.1,0.5/0.6,0.2/0.3,1.8/2,1.8/1.8,7.9
Mason Crosby,NO,L 17-26,1/1.1,0.5/0.6,0.2/0.3,1.7/2,2.2/2.3,7.8
Justin Tucker,@Min,L 16-24,1.1/1.1,0.5/0.6,0.2/0.3,1.8/2.1,1.5/1.5,7.8
Blair Walsh,@NYG,W 24-7,1.1/1.2,0.5/0.6,0.2/0.3,1.7/2.1,2/2.1,7.7
Kai Forbath,Bal,W 24-16,1/1.1,0.5/0.6,0.2/0.3,1.7/2,2.1/2.2,7.6
