PLAYER,OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
Tom Brady,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Mike Vick,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Drew Brees,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Josh McCown*,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Shaun Hill,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Carson Palmer,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Tony Romo,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Eli Manning,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Philip Rivers,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Ben Roethlisberger,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Matt Schaub,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Luke McCown,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Alex Smith,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Aaron Rodgers*,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Dan Orlovsky,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Derek Anderson,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Matt Cassel,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Ryan Fitzpatrick,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Jay Cutler,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Kellen Clemens,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Tarvaris Jackson,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Charlie Whitehurst,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Bruce Gradkowski,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Drew Stanton,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Matt Moore*,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Matt Ryan,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Joe Flacco,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Chad Henne,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Josh Johnson,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Matt Flynn,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Chase Daniel,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Josh Freeman,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Brian Hoyer,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
