PLAYER,OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
Le'Veon Bell*,@Det,W 20-15,0/0,0,0,0,21.3,89,0.6,4.6,39.1,0.2,22.2
LeSean McCoy,Oak,W 34-14,0/0,0,0,0,19.5,87.8,0.5,5,42.1,0.2,21.9
Ezekiel Elliott,@Wsh,W 33-19,0/0,0,0,0,20.1,88.7,0.7,2.9,24.9,0.1,19
Mark Ingram,Chi,W 20-12,0/0,0,0,0,17.8,79.2,0.7,3.4,24.4,0.2,18.6
Kareem Hunt,Den,W 29-19,0/0,0,0,0,18.6,80,0.7,2.7,24.4,0.1,17.8
Melvin Gordon,@NE,L 13-21,0/0,0,0,0,14.5,59.9,0.4,4.4,36.7,0.2,17.6
Devonta Freeman,@NYJ,W 25-20,0/0,0,0,0,16,70.6,0.7,2.4,19.5,0.1,16.2
Christian McCaffrey,@TB,W 17-3,0/0,0,0,0,6.7,26.4,0.2,5.4,49.1,0.3,15.6
Jay Ajayi,SF,W 33-10,0/0,0,0,0,20.8,87.9,0.4,2,14.2,0.1,15
Alvin Kamara,Chi,W 20-12,0/0,0,0,0,9.5,40.7,0.4,3.9,32.3,0.2,14.5
Jordan Howard,@NO,L 12-20,0/0,0,0,0,17.3,80.6,0.4,1.4,12.4,0.1,13.6
Joe Mixon,Ind,W 24-23,0/0,0,0,0,14.2,57.2,0.5,2,18.6,0.1,13.1
Lamar Miller,@Sea,L 38-41,0/0,0,0,0,15.8,67.2,0.2,2.6,17.2,0.1,12.9
Chris Thompson*,Dal,L 19-33,0/0,0,0,0,7.7,37.3,0.2,3.6,33.2,0.2,12.6
Carlos Hyde,@Phi,L 10-33,0/0,0,0,0,11.9,50.5,0.3,3.2,22.4,0.1,12.5
Jerick McKinnon,@Cle,W 33-16,0/0,0,0,0,14.4,54.6,0.3,2.8,19.3,0.1,12.3
Doug Martin,Car,L 3-17,0/0,0,0,0,16.7,69.6,0.3,1.6,12.1,0.1,12.1
LeGarrette Blount,SF,W 33-10,0/0,0,0,0,16.2,66.8,0.6,0.7,6.2,0,12.1
Javorius Allen,Mia,W 40-0,0/0,0,0,0,9.3,34.6,0.3,3.5,25.6,0.1,11.7
DeAndre Washington,@Buf,L 14-34,0/0,0,0,0,10.5,43,0.3,2.6,18.3,0.1,11
Bilal Powell,Atl,L 20-25,0/0,0,0,0,9.7,44,0.3,2.5,18.1,0.1,10.8
Theo Riddick,Pit,L 15-20,0/0,0,0,0,2.9,11.6,0.1,4.5,32.7,0.3,10.8
Rob Kelley*,Dal,L 19-33,0/0,0,0,0,15.5,67,0.5,0.7,6.1,0,10.8
Alex Collins,Mia,W 40-0,0/0,0,0,0,16.8,71.2,0.4,1,7.8,0,10.6
Duke Johnson Jr.,Min,L 16-33,0/0,0,0,0,5.2,20.4,0.1,4.4,32.8,0.1,10.6
Tevin Coleman,@NYJ,W 25-20,0/0,0,0,0,7.9,34.9,0.3,2.5,22.2,0.1,10.6
Latavius Murray,@Cle,W 33-16,0/0,0,0,0,13,47.9,0.5,1.7,12.4,0,10.6
C.J. Anderson,@KC,L 19-29,0/0,0,0,0,13.5,59.8,0.3,1.4,11.4,0,10.5
Ameer Abdullah,Pit,L 15-20,0/0,0,0,0,13.1,57,0.2,1.6,12.4,0.1,10.4
Matt Forte*,Atl,L 20-25,0/0,0,0,0,7.2,29.8,0.2,3,25.6,0.1,10.4
James White*,LAC,W 21-13,0/0,0,0,0,3.2,13.7,0.1,3.9,31.9,0.2,10.4
Tarik Cohen,@NO,L 12-20,0/0,0,0,0,6.5,28.8,0.1,3.1,28.7,0.1,10.3
Jalen Richard,@Buf,L 14-34,0/0,0,0,0,9.1,39.2,0.3,2.3,18.4,0.1,10.1
Frank Gore,@Cin,L 23-24,0/0,0,0,0,12.9,50.7,0.3,1.5,11.6,0,9.6
Jonathan Stewart,@TB,W 17-3,0/0,0,0,0,14.6,59,0.4,0.7,6.2,0,9.6
Wendell Smallwood,SF,W 33-10,0/0,0,0,0,10,40.4,0.3,1.8,16.3,0.1,9.6
Isaiah Crowell,Min,L 16-33,0/0,0,0,0,12.5,46.9,0.2,1.8,12.7,0,9.1
Dion Lewis,LAC,W 21-13,0/0,0,0,0,11.2,52,0.3,0.8,5.9,0,8.9
Giovani Bernard,Ind,W 24-23,0/0,0,0,0,4.9,20.4,0.2,2.6,25,0.1,8.5
Marlon Mack,@Cin,L 23-24,0/0,0,0,0,7.3,29.7,0.2,2.1,15.9,0,8.1
