PLAYER,OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
Steve Smith Sr.,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Andre Johnson,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Anquan Boldin,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Larry Fitzgerald,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Jerricho Cotchery,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Wes Welker,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Roddy White,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Vincent Jackson,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Joshua Cribbs,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Nate Washington,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Lance Moore,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Greg Jennings,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Devin Hester,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Derek Hagan,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Jason Avant,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Brandon Marshall*,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Marques Colston,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Miles Austin,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Calvin Johnson,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Ted Ginn Jr.,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Dwayne Bowe,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Jacoby Jones,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
James Jones,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Eric Weems,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Jordy Nelson*,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Eddie Royal,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Jerome Simpson,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
DeSean Jackson*,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Harry Douglas,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Andre Jerome Caldwell,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Matthew Slater,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Pierre Garcon*,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Stevie Johnson,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Danny Amendola,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Kenny Britt,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Michael Crabtree,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Brandon Gibson,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Brian Hartline,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Percy Harvin*,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Darrius Heyward-Bey,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
