PLAYER,OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
Antonio Brown*,@KC,W 19-13,0/0,0,0,0,0.1,0.8,0,7.4,93.7,0.4,19.4
Julio Jones,Mia,L 17-20,0/0,0,0,0,0,0,0,5.9,87.8,0.4,17
Michael Thomas,Det,W 52-38,0/0,0,0,0,0,0,0,5.8,75.9,0.5,16.3
Mike Evans,@Ari,L 33-38,0/0,0,0,0,0,0,0,5.5,70.5,0.6,16.1
DeAndre Hopkins*,Cle,W 33-17,0/0,0,0,0,0,0,0,5.2,73.4,0.6,16.1
Jordy Nelson*,@Min,L 10-23,0/0,0,0,0,0,0,0,5.6,75.4,0.5,16.1
Keenan Allen,@Oak,W 17-16,0/0,0,0,0,0,0,0,6.1,73.7,0.4,15.7
Chris Hogan*,@NYJ,W 24-17,0/0,0,0,0,0.6,3.5,0,4.7,66.1,0.5,14.9
Adam Thielen,GB,W 23-10,0/0,0,0,0,0.3,1.6,0,5.3,73.9,0.3,14.8
Jarvis Landry,@Atl,W 20-17,0/0,0,0,0,0.2,1.3,0,6.4,67.3,0.2,14.8
Golden Tate,@NO,L 38-52,0/0,0,0,0,0.6,3.6,0,5.5,66.2,0.4,14.7
T.Y. Hilton,@Ten,L 22-36,0/0,0,0,0,0,0,0,5,75.4,0.3,14.3
Rishard Matthews,Ind,W 36-22,0/0,0,0,0,0,0,0,4.6,69.1,0.4,14.2
Pierre Garcon*,@Wsh,L 24-26,0/0,0,0,0,0,0,0,5.7,70.4,0.2,14
Larry Fitzgerald,TB,W 38-33,0/0,0,0,0,0,0,0,5.5,64,0.3,13.9
Tyreek Hill*,Pit,L 13-19,0/0,0,0,0,1.2,7.3,0.1,4.9,55.7,0.3,13.6
Brandin Cooks,@NYJ,W 24-17,0/0,0,0,0,0.6,3.3,0,4.4,61.9,0.4,13.3
Michael Crabtree,LAC,L 16-17,0/0,0,0,0,0,0,0,4.6,56.8,0.5,13.1
Alshon Jeffery,@Car,W 28-23,0/0,0,0,0,0,0,0,4.8,63.9,0.3,12.9
Demaryius Thomas,NYG,L 10-23,0/0,0,0,0,0,0,0,4.7,58.2,0.4,12.6
Davante Adams*,@Min,L 10-23,0/0,0,0,0,0,0,0,4.6,55,0.4,12.4
DeSean Jackson*,@Ari,L 33-38,0/0,0,0,0,0,0,0,4,64.9,0.3,12.3
Devin Funchess,Phi,L 23-28,0/0,0,0,0,0,0,0,4,60.4,0.4,12.2
Emmanuel Sanders*,NYG,L 10-23,0/0,0,0,0,0,0,0,4.5,57.5,0.3,12.2
Kelvin Benjamin,** BYE **,0/0,0,0,0,0,0,0,3.8,59.6,0.4,--
Randall Cobb,@Min,L 10-23,0/0,0,0,0,0.4,2.8,0,4.5,49.5,0.3,11.4
John Brown,TB,W 38-33,0/0,0,0,0,0.4,2.6,0,3.6,56.4,0.3,11.1
Will Fuller V,Cle,W 33-17,0/0,0,0,0,1,6,0,3.1,46.2,0.4,11
Taylor Gabriel,Mia,L 17-20,0/0,0,0,0,0.5,3.4,0,3.6,50.7,0.3,10.9
Terrelle Pryor Sr.*,SF,W 26-24,0/0,0,0,0,0.1,0.9,0,3.4,52.1,0.4,10.9
Amari Cooper,LAC,L 16-17,0/0,0,0,0,0,0,0,3.8,50.6,0.3,10.9
Jermaine Kearse,NE,L 17-24,0/0,0,0,0,0,0,0,3.7,51.6,0.3,10.8
Roger Lewis,@Den,W 23-10,0/0,0,0,0,0,0,0,4.1,50.1,0.3,10.6
Eric Decker,Ind,W 36-22,0/0,0,0,0,0,0,0,3.3,47.4,0.4,10.6
Marvin Jones Jr.,@NO,L 38-52,0/0,0,0,0,0,0,0,3.3,50.2,0.4,10.6
Danny Amendola,@NYJ,W 24-17,0/0,0,0,0,0.1,0.9,0,4.4,42.6,0.3,10.6
Robby Anderson,NE,L 17-24,0/0,0,0,0,0.2,1.3,0,3.5,53.1,0.3,10.5
Mike Wallace,Chi,L 24-27,0/0,0,0,0,0.3,1.8,0,3.6,49.1,0.3,10.3
Kenny Stills,@Atl,W 20-17,0/0,0,0,0,0,0,0,3.4,53.6,0.2,10.2
Marqise Lee*,LAR,L 17-27,0/0,0,0,0,0.6,3.8,0,3.5,43.9,0.2,9.9
Tyrell Williams,@Oak,W 17-16,0/0,0,0,0,0,0,0,3.3,48.7,0.3,9.8
Donte Moncrief*,@Ten,L 22-36,0/0,0,0,0,0.2,1.3,0,3.7,41.3,0.3,9.5
Jamison Crowder,SF,W 26-24,0/0,0,0,0,0.1,0.9,0,3.4,44.3,0.2,9.5
Martavis Bryant,@KC,W 19-13,0/0,0,0,0,0.5,3,0,3.1,43,0.3,9.4
Cooper Kupp,@Jax,W 27-17,0/0,0,0,0,0,0,0,3.7,41.4,0.3,9.4
Kendall Wright,@Bal,W 27-24,0/0,0,0,0,0.2,1.5,0,3.9,44.5,0.1,9.3
Ricardo Louis,@Hou,L 17-33,0/0,0,0,0,0,0,0,3.8,43.7,0.2,9.3
Michael Campanaro,Chi,L 24-27,0/0,0,0,0,0.6,3.6,0,3.5,38.9,0.2,9.3
Marquise Goodwin,@Wsh,L 24-26,0/0,0,0,0,0.1,0.7,0,3.3,48.7,0.2,9.3
Jaron Brown,TB,W 38-33,0/0,0,0,0,0.2,1.3,0,3.2,45.2,0.2,9.3
Willie Snead,Det,W 52-38,0/0,0,0,0,0,0,0,3.4,44.9,0.2,9.3
Tavarres King*,@Den,W 23-10,0/0,0,0,0,0,0,0,3.7,42.1,0.2,9
Allen Hurns,LAR,L 17-27,0/0,0,0,0,0,0,0,3.1,41.4,0.3,8.9
Robert Woods,@Jax,W 27-17,0/0,0,0,0,0,0,0,3.7,39.3,0.2,8.7
JuJu Smith-Schuster,@KC,W 19-13,0/0,0,0,0,0,0,0,3.2,37.8,0.3,8.6
Ted Ginn Jr.,Det,W 52-38,0/0,0,0,0,0.8,5.6,0,2.5,37.9,0.2,8.5
Sammy Watkins,@Jax,W 27-17,0/0,0,0,0,0,0,0,3.1,42.9,0.2,8.5
Michael Floyd,GB,W 23-10,0/0,0,0,0,0,0,0,2.6,42.5,0.3,8.4
Torrey Smith,@Car,W 28-23,0/0,0,0,0,0.1,0.8,0,2.7,42.1,0.2,8.3
Rashard Higgins,@Hou,L 17-33,0/0,0,0,0,0.2,1.4,0,3.3,36,0.2,8.1
Travis Benjamin,@Oak,W 17-16,0/0,0,0,0,0.1,0.7,0,2.7,40,0.2,8.1
TJ Jones*,@NO,L 38-52,0/0,0,0,0,0,0,0,2.8,39.6,0.2,8
Nelson Agholor,@Car,W 28-23,0/0,0,0,0,0.1,0.8,0,3.1,35.9,0.2,7.8
Breshad Perriman,Chi,L 24-27,0/0,0,0,0,0,0,0,2.7,36.6,0.2,7.6
Bennie Fowler III,NYG,L 10-23,0/0,0,0,0,0,0,0,2.8,35.1,0.2,7.6
Laquon Treadwell,GB,W 23-10,0/0,0,0,0,0,0,0,2.7,34.1,0.2,7.4
Travis Rudolph,@Den,W 23-10,0/0,0,0,0,0,0,0,2.9,33.7,0.2,7.4
Jeremy Kerley,NE,L 17-24,0/0,0,0,0,0,0,0,2.9,34.3,0.1,7.2
Trent Taylor,@Wsh,L 24-26,0/0,0,0,0,0.1,0.7,0,3,32.6,0.1,7.1
Taywan Taylor,Ind,W 36-22,0/0,0,0,0,0.6,3.7,0,2.2,30.3,0.2,7.1
Josh Doctson,SF,W 26-24,0/0,0,0,0,0,0,0,2.2,32.9,0.2,6.9
J.J. Nelson,TB,W 38-33,0/0,0,0,0,0,0,0,2.1,36.7,0.2,6.8
Adam Humphries,@Ari,L 33-38,0/0,0,0,0,0.3,1.6,0,2.8,29.4,0.2,6.8
Brandon Coleman,Det,W 52-38,0/0,0,0,0,0,0,0,2.1,30.3,0.2,6.6
Bryce Treggs,@Hou,L 17-33,0/0,0,0,0,0,0,0,2.6,30,0.1,6.5
Tre McBride III,NE,L 17-24,0/0,0,0,0,0,0,0,2.5,30,0.1,6.3
Leonte Carroo*,@Atl,W 20-17,0/0,0,0,0,0,0,0,2.4,30,0.2,6.3
Justin Hardy,Mia,L 17-20,0/0,0,0,0,0,0,0,2.3,26,0.2,6.3
Seth Roberts,LAC,L 16-17,0/0,0,0,0,0,0,0,2,26.6,0.2,6.2
Keelan Cole,LAR,L 17-27,0/0,0,0,0,0,0,0,2.2,26.7,0.2,5.9
Bruce Ellington*,Cle,W 33-17,0/0,0,0,0,0.3,2,0,1.8,25.3,0.2,5.8
Curtis Samuel*,Phi,L 23-28,0/0,0,0,0,0.8,3.8,0,1.9,24.1,0.1,5.5
Kasen Williams,@Hou,L 17-33,0/0,0,0,0,0,0,0,2.2,25,0.1,5.4
Chester Rogers,@Ten,L 22-36,0/0,0,0,0,0,0,0,2,25.5,0.1,5.2
Jakeem Grant,@Atl,W 20-17,0/0,0,0,0,0,0,0,1.8,22.5,0.1,4.9
Joshua Bellamy,@Bal,W 27-24,0/0,0,0,0,0,0,0,1.8,22.7,0.1,4.7
Tavon Austin,@Jax,W 27-17,0/0,0,0,0,2.4,17.1,0.1,1,11.2,0.1,4.6
