"Rank","Name","Pos","Tm","Opp","Game","Pass Yds","Pass TD","Int","Ru Yds","Ru TD","RecYds","Rec TD"
"1","Tom Brady","QB","NE","@BUF","Sun 1:00 PM","357.0","2.4","0.8","0.7","0.0","-0.1","0.0"
"2","Russell Wilson","QB","SEA","PHI","Sun 8:30 PM","260.2","1.6","1.0","29.0","0.3","0.0","0.0"
"3","Carson Wentz","QB","PHI","@SEA","Sun 8:30 PM","261.3","2.2","0.7","25.6","0.1","0.0","0.0"
"4","Philip Rivers","QB","LAC","CLE","Sun 4:05 PM","317.3","2.5","0.6","2.8","0.0","-0.2","0.0"
"5","Kirk Cousins","QB","WAS","@DAL","Thu 8:25 PM","310.1","2.1","0.7","9.0","0.1","0.0","0.0"
"6","Cam Newton","QB","CAR","@NO","Sun 4:25 PM","216.1","1.4","0.8","40.9","0.2","0.1","0.0"
"7","Jared Goff","QB","LA","@ARI","Sun 4:25 PM","286.2","1.8","0.8","16.0","0.2","0.0","0.0"
"8","Drew Brees","QB","NO","CAR","Sun 4:25 PM","285.0","2.2","0.9","8.8","0.1","0.0","0.0"
"9","Tyrod Taylor","QB","BUF","NE","Sun 1:00 PM","227.3","1.6","0.7","30.6","0.2","-0.1","0.0"
"10","Marcus Mariota","QB","TEN","HOU","Sun 1:00 PM","250.8","1.4","0.9","13.4","0.3","0.0","0.0"
"11","Josh McCown","QB","NYJ","KC","Sun 1:00 PM","258.2","2.3","1.0","8.3","0.1","0.0","0.0"
"12","Ben Roethlisberger","QB","PIT","@CIN","Mon 8:30 PM","304.1","2.2","0.8","2.7","0.1","0.0","0.0"
"13","Dak Prescott","QB","DAL","WAS","Thu 8:25 PM","215.4","1.4","0.8","33.8","0.2","0.0","0.0"
"14","Case Keenum","QB","MIN","@ATL","Sun 1:00 PM","236.5","1.8","0.5","9.1","0.2","0.0","0.0"
"15","Derek Carr","QB","OAK","NYG","Sun 4:25 PM","264.3","1.8","1.0","5.0","0.1","0.0","0.0"
"16","Matt Ryan","QB","ATL","MIN","Sun 1:00 PM","299.3","2.3","0.9","5.2","0.1","0.0","0.0"
"17","Jameis Winston","QB","TB","@GB","Sun 1:00 PM","282.9","1.9","0.6","6.2","0.0","0.0","0.0"
"18","Blake Bortles","QB","JAC","IND","Sun 1:00 PM","225.1","1.8","0.5","25.9","0.3","-0.1","0.0"
"19","Alex Smith","QB","KC","@NYJ","Sun 1:00 PM","237.6","1.6","0.6","15.1","0.2","0.0","0.0"
"20","Brett Hundley","QB","GB","TB","Sun 1:00 PM","212.3","1.0","0.7","23.7","0.2","0.6","0.0"
"21","Matthew Stafford","QB","DET","@BAL","Sun 1:00 PM","265.1","1.6","1.3","13.9","0.0","0.0","0.0"
"22","Trevor Siemian","QB","DEN","@MIA","Sun 1:00 PM","239.9","1.3","0.8","9.9","0.0","0.0","0.0"
"23","Blaine Gabbert","QB","ARI","LA","Sun 4:25 PM","233.7","1.0","1.2","2.7","0.1","0.0","0.0"
"24","Andy Dalton","QB","CIN","PIT","Mon 8:30 PM","240.9","1.5","1.3","6.2","0.1","0.0","0.0"
"25","Mitchell Trubisky","QB","CHI","SF","Sun 1:00 PM","191.2","1.2","0.9","19.8","0.2","0.0","0.0"
"26","Geno Smith","QB","NYG","@OAK","Sun 4:25 PM","215.1","1.1","1.0","5.0","0.1","0.2","0.0"
"27","Joe Flacco","QB","BAL","DET","Sun 1:00 PM","181.1","1.0","1.1","13.6","0.2","0.0","0.0"
"28","Jay Cutler","QB","MIA","DEN","Sun 1:00 PM","209.9","1.1","1.1","2.9","0.0","0.0","0.0"
"29","Jimmy Garoppolo","QB","SF","@CHI","Sun 1:00 PM","273.2","1.7","1.4","4.2","0.0","-0.2","0.0"
"30","Tom Savage","QB","HOU","@TEN","Sun 1:00 PM","220.8","1.2","0.7","6.1","0.0","0.0","0.0"
"31","Jacoby Brissett","QB","IND","@JAC","Sun 1:00 PM","216.5","1.2","1.3","20.5","0.1","-0.1","0.0"
"32","DeShone Kizer","QB","CLE","@LAC","Sun 4:05 PM","179.6","0.9","1.1","35.1","0.2","-0.1","0.0"
