"Rank","Name","Pos","Tm","Opp","Game","Pass Yds","Pass TD","Int","Ru Yds","Ru TD","RecYds","Rec TD"
"1","Le'Veon Bell","RB","PIT","BAL","Sun 8:30 PM","0.5","0.0","0.0","82.7","0.6","30.1","0.1"
"2","Todd Gurley","RB","LA","PHI","Sun 4:25 PM","0.0","0.0","0.0","73.6","0.7","37.1","0.1"
"3","Alvin Kamara","RB","NO","@ATL","Thu 8:25 PM","0.0","0.0","0.0","47.7","0.4","46.7","0.3"
"4","Melvin Gordon","RB","LAC","WAS","Sun 4:05 PM","0.4","0.0","0.0","69.7","0.5","34.6","0.2"
"5","LeSean McCoy","RB","BUF","IND","Sun 1:00 PM","0.3","0.0","0.0","80.1","0.6","29.8","0.1"
"6","Lamar Miller","RB","HOU","SF","Sun 1:00 PM","0.1","0.0","0.0","66.0","0.5","25.6","0.2"
"7","Leonard Fournette","RB","JAC","SEA","Sun 4:25 PM","0.0","0.0","0.0","62.2","0.5","20.8","0.1"
"8","Mark Ingram","RB","NO","@ATL","Thu 8:25 PM","0.0","0.0","0.0","68.4","0.6","18.6","0.0"
"9","Kareem Hunt","RB","KC","OAK","Sun 1:00 PM","0.0","0.0","0.0","60.6","0.4","31.7","0.2"
"10","Marshawn Lynch","RB","OAK","@KC","Sun 1:00 PM","0.0","0.0","0.0","58.0","0.3","27.3","0.1"
"11","Devonta Freeman","RB","ATL","NO","Thu 8:25 PM","0.0","0.0","0.0","65.8","0.8","17.6","0.0"
"12","Kenyan Drake","RB","MIA","NE","Mon 8:30 PM","0.0","0.0","0.0","55.1","0.4","18.0","0.0"
"13","Rex Burkhead","RB","NE","@MIA","Mon 8:30 PM","0.0","0.0","0.0","43.8","0.5","20.7","0.2"
"14","Alfred Morris","RB","DAL","@NYG","Sun 1:00 PM","0.0","0.0","0.0","58.7","0.7","19.6","0.1"
"15","Jamaal Williams","RB","GB","@CLE","Sun 1:00 PM","0.0","0.0","0.0","53.0","0.4","23.2","0.1"
"16","Carlos Hyde","RB","SF","@HOU","Sun 1:00 PM","0.0","0.0","0.0","57.9","0.2","31.1","0.1"
"17","Jordan Howard","RB","CHI","@CIN","Sun 1:00 PM","0.1","0.0","0.0","72.6","0.4","9.4","0.0"
"18","Dion Lewis","RB","NE","@MIA","Mon 8:30 PM","0.0","0.0","0.0","68.8","0.4","11.5","0.1"
"19","Frank Gore","RB","IND","@BUF","Sun 1:00 PM","0.0","0.0","0.0","59.6","0.5","21.0","0.0"
"20","Samaje Perine","RB","WAS","@LAC","Sun 4:05 PM","0.0","0.0","0.0","54.3","0.3","17.6","0.0"
"21","Latavius Murray","RB","MIN","@CAR","Sun 1:00 PM","0.0","0.0","0.0","54.1","0.4","11.0","0.0"
"22","Derrick Henry","RB","TEN","@ARI","Sun 4:05 PM","0.0","0.0","0.0","50.5","0.4","14.6","0.0"
"23","Tevin Coleman","RB","ATL","NO","Thu 8:25 PM","0.0","0.0","0.0","36.0","0.2","14.3","0.1"
"24","Alex Collins","RB","BAL","@PIT","Sun 8:30 PM","0.0","0.0","0.0","57.4","0.4","8.5","0.0"
"25","Mike Davis","RB","SEA","@JAC","Sun 4:25 PM","0.0","0.0","0.0","16.7","0.2","15.8","0.1"
"26","Orleans Darkwa","RB","NYG","DAL","Sun 1:00 PM","0.0","0.0","0.0","53.4","0.5","9.4","0.1"
"27","DeMarco Murray","RB","TEN","@ARI","Sun 4:05 PM","0.0","0.0","0.0","41.0","0.1","26.1","0.1"
"28","Christian McCaffrey","RB","CAR","MIN","Sun 1:00 PM","0.0","0.0","0.0","34.7","0.2","42.7","0.2"
"29","C.J. Anderson","RB","DEN","NYJ","Sun 4:05 PM","0.0","0.0","0.0","53.5","0.2","16.4","0.0"
"30","Giovani Bernard","RB","CIN","CHI","Sun 1:00 PM","0.0","0.0","0.0","55.6","0.2","39.2","0.3"
"31","Jerick McKinnon","RB","MIN","@CAR","Sun 1:00 PM","0.0","0.0","0.0","37.5","0.3","30.0","0.0"
"32","Theo Riddick","RB","DET","@TB","Sun 1:00 PM","0.0","0.0","0.0","30.2","0.1","36.2","0.0"
"33","Matt Forte","RB","NYJ","@DEN","Sun 4:05 PM","0.0","0.0","0.0","32.0","0.2","28.8","0.1"
"34","Rod Smith","RB","DAL","@NYG","Sun 1:00 PM","0.0","0.0","0.0","24.1","0.2","9.5","0.0"
"35","Jay Ajayi","RB","PHI","@LA","Sun 4:25 PM","0.0","0.0","0.0","47.0","0.4","9.6","0.0"
"36","Duke Johnson","RB","CLE","GB","Sun 1:00 PM","0.2","0.0","0.0","30.3","0.2","24.0","0.1"
"37","Isaiah Crowell","RB","CLE","GB","Sun 1:00 PM","0.2","0.0","0.0","49.6","0.3","16.9","0.1"
"38","Peyton Barber","RB","TB","DET","Sun 1:00 PM","0.0","0.0","0.0","23.3","0.1","17.4","0.1"
"39","Austin Ekeler","RB","LAC","WAS","Sun 4:05 PM","0.0","0.0","0.0","19.7","0.3","15.9","0.1"
"40","Marlon Mack","RB","IND","@BUF","Sun 1:00 PM","0.0","0.0","0.0","23.7","0.0","19.3","0.0"
"41","Bilal Powell","RB","NYJ","@DEN","Sun 4:05 PM","0.0","0.0","0.0","32.4","0.2","7.2","0.0"
"42","Jonathan Stewart","RB","CAR","MIN","Sun 1:00 PM","0.0","0.0","0.0","48.6","0.2","11.4","0.0"
"43","James White","RB","NE","@MIA","Mon 8:30 PM","0.0","0.0","0.0","7.4","0.1","10.3","0.1"
"44","LeGarrette Blount","RB","PHI","@LA","Sun 4:25 PM","0.0","0.0","0.0","38.2","0.3","21.3","0.1"
"45","Travaris Cadet","RB","BUF","IND","Sun 1:00 PM","-","-","-","-","-","-","-"
"46","Andre Ellington","RB","HOU","SF","Sun 1:00 PM","0.0","0.0","0.0","2.9","0.0","18.2","0.1"
"47","Tarik Cohen","RB","CHI","@CIN","Sun 1:00 PM","0.0","0.0","0.0","18.6","0.1","16.6","0.0"
"48","Kerwynn Williams","RB","ARI","TEN","Sun 4:05 PM","0.0","0.0","0.0","49.8","0.3","15.8","0.0"
"49","Devontae Booker","RB","DEN","NYJ","Sun 4:05 PM","0.0","0.0","0.0","18.7","0.1","14.5","0.1"
"50","Matt Breida","RB","SF","@HOU","Sun 1:00 PM","0.0","0.0","0.0","16.8","0.1","16.0","0.1"
