"Rank","Name","Pos","Tm","Opp","Game","Pass Yds","Pass TD","Int","Ru Yds","Ru TD","RecYds","Rec TD"
"1","Rob Gronkowski","TE","NE","HOU","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","66.5","0.9"
"2","Zach Ertz","TE","PHI","NYG","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","55.1","0.3"
"3","Travis Kelce","TE","KC","@LAC","Sun 4:25 PM","0.0","0.0","0.0","0.0","0.0","60.7","0.3"
"4","Jordan Reed","TE","WAS","OAK","Sun 8:30 PM","-","-","-","-","-","-","-"
"5","Delanie Walker","TE","TEN","SEA","Sun 4:05 PM","0.0","0.0","0.0","0.0","0.0","51.3","0.4"
"6","Martellus Bennett","TE","NE","HOU","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","48.0","0.3"
"7","Coby Fleener","TE","NO","@CAR","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","37.8","0.3"
"8","Jimmy Graham","TE","SEA","@TEN","Sun 4:05 PM","0.0","0.0","0.0","0.0","0.0","42.9","0.3"
"9","Eric Ebron","TE","DET","ATL","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","46.7","0.2"
"10","Jack Doyle","TE","IND","CLE","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","39.5","0.4"
"11","Kyle Rudolph","TE","MIN","TB","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","42.5","0.3"
"12","Zach Miller","TE","CHI","PIT","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","39.9","0.2"
"13","Jared Cook","TE","OAK","@WAS","Sun 8:30 PM","0.0","0.0","0.0","0.0","0.0","38.5","0.3"
"14","Jason Witten","TE","DAL","@ARI","Mon 8:30 PM","0.6","0.0","0.0","0.0","0.0","54.2","0.2"
"15","Charles Clay","TE","BUF","DEN","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","38.0","0.2"
"16","Evan Engram","TE","NYG","@PHI","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","37.0","0.3"
"17","Hunter Henry","TE","LAC","KC","Sun 4:25 PM","0.0","0.0","0.0","0.0","0.0","38.9","0.3"
"18","Julius Thomas","TE","MIA","@NYJ","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","44.1","0.1"
"19","Austin Seferian-Jenkins","TE","NYJ","MIA","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","18.6","0.3"
"20","Cameron Brate","TE","TB","@MIN","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","37.2","0.3"
"21","Austin Hooper","TE","ATL","@DET","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","32.0","0.4"
"22","Antonio Gates","TE","LAC","KC","Sun 4:25 PM","0.0","0.0","0.0","0.0","0.0","36.9","0.4"
"23","Ed Dickson","TE","CAR","NO","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","20.3","0.3"
"24","Benjamin Watson","TE","BAL","@JAC","Sun 9:30 AM","0.0","0.0","0.0","0.0","0.0","21.1","0.1"
