"Rank","Name","Pos","Tm","Opp","Game","Pass Yds","Pass TD","Int","Ru Yds","Ru TD","RecYds","Rec TD"
"1","Pittsburgh Steelers","DST","PIT","JAC","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2","Cincinnati Bengals","DST","CIN","BUF","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"3","Philadelphia Eagles","DST","PHI","ARI","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"4","Detroit Lions","DST","DET","CAR","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"5","New York Jets","DST","NYJ","@CLE","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"6","Oakland Raiders","DST","OAK","BAL","Sun 4:05 PM","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"7","New York Giants","DST","NYG","LAC","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"8","Kansas City Chiefs","DST","KC","@HOU","Sun 8:30 PM","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"9","Baltimore Ravens","DST","BAL","@OAK","Sun 4:05 PM","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"10","Minnesota Vikings","DST","MIN","@CHI","Mon 8:30 PM","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"11","Buffalo Bills","DST","BUF","@CIN","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"12","Seattle Seahawks","DST","SEA","@LA","Sun 4:05 PM","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"13","Houston Texans","DST","HOU","KC","Sun 8:30 PM","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"14","Los Angeles Rams","DST","LA","SEA","Sun 4:05 PM","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"15","Carolina Panthers","DST","CAR","@DET","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"16","Arizona Cardinals","DST","ARI","@PHI","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"17","Jacksonville Jaguars","DST","JAC","@PIT","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"18","Cleveland Browns","DST","CLE","NYJ","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19","Indianapolis Colts","DST","IND","SF","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"20","San Francisco 49ers","DST","SF","@IND","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
