"Rank","Name","Pos","Tm","Opp","Game","Pass Yds","Pass TD","Int","Ru Yds","Ru TD","RecYds","Rec TD"
"1","Michael Thomas","WR","NO","TB","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","83.7","0.7"
"2","Dez Bryant","WR","DAL","KC","Sun 4:25 PM","0.7","0.0","0.0","0.0","0.0","65.0","0.6"
"3","Tyreek Hill","WR","KC","@DAL","Sun 4:25 PM","0.0","0.0","0.0","1.1","0.0","73.3","0.5"
"4","Julio Jones","WR","ATL","@CAR","Sun 1:00 PM","0.0","0.0","0.0","0.5","0.0","84.8","0.5"
"5","Doug Baldwin","WR","SEA","WAS","Sun 4:05 PM","0.0","0.0","0.0","0.2","0.0","61.4","0.4"
"6","Mike Evans","WR","TB","@NO","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","94.2","0.6"
"7","Michael Crabtree","WR","OAK","@MIA","Sun 8:30 PM","0.0","0.0","0.0","0.0","0.0","68.2","0.6"
"8","Golden Tate","WR","DET","@GB","Mon 8:30 PM","0.0","0.0","0.0","0.3","0.0","64.2","0.3"
"9","A.J. Green","WR","CIN","@JAC","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","72.2","0.6"
"10","DeAndre Hopkins","WR","HOU","IND","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","80.1","0.5"
"11","Devin Funchess","WR","CAR","ATL","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","69.6","0.4"
"12","Amari Cooper","WR","OAK","@MIA","Sun 8:30 PM","1.1","0.1","0.0","0.7","0.0","67.6","0.5"
"13","T.Y. Hilton","WR","IND","@HOU","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","67.2","0.3"
"14","Demaryius Thomas","WR","DEN","@PHI","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","64.8","0.3"
"15","Larry Fitzgerald","WR","ARI","@SF","Sun 4:05 PM","0.0","0.0","0.0","0.0","0.0","63.9","0.4"
"16","Alshon Jeffery","WR","PHI","DEN","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","71.8","0.4"
"17","Marvin Jones","WR","DET","@GB","Mon 8:30 PM","0.0","0.0","0.0","0.0","0.0","54.4","0.3"
"18","Jarvis Landry","WR","MIA","OAK","Sun 8:30 PM","0.0","0.0","0.0","0.7","0.0","73.7","0.5"
"19","DeVante Parker","WR","MIA","OAK","Sun 8:30 PM","0.0","0.0","0.0","0.0","0.0","52.6","0.3"
"20","Ted Ginn","WR","NO","TB","Sun 1:00 PM","0.0","0.0","0.0","1.5","0.0","43.4","0.5"
"21","Robby Anderson","WR","NYJ","BUF","Thu 8:25 PM","0.0","0.0","0.0","0.1","0.0","58.3","0.3"
"22","Jordy Nelson","WR","GB","DET","Mon 8:30 PM","0.0","0.0","0.0","0.0","0.0","54.9","0.3"
"23","Emmanuel Sanders","WR","DEN","@PHI","Sun 1:00 PM","0.0","0.0","0.0","0.2","0.0","65.4","0.2"
"24","DeSean Jackson","WR","TB","@NO","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","47.4","0.3"
"25","Tyler Lockett","WR","SEA","WAS","Sun 4:05 PM","0.0","0.0","0.0","0.4","0.0","33.3","0.2"
"26","Paul Richardson","WR","SEA","WAS","Sun 4:05 PM","0.0","0.0","0.0","0.0","0.0","45.4","0.3"
"27","Sterling Shepard","WR","NYG","LA","Sun 1:00 PM","1.0","0.0","0.0","0.7","0.0","40.4","0.4"
"28","Cooper Kupp","WR","LA","@NYG","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","43.5","0.4"
"29","Sammy Watkins","WR","LA","@NYG","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","42.4","0.2"
"30","Jermaine Kearse","WR","NYJ","BUF","Thu 8:25 PM","0.0","0.0","0.0","0.0","0.0","46.3","0.4"
"31","Jeremy Maclin","WR","BAL","@TEN","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","58.9","0.3"
"32","Jordan Matthews","WR","BUF","@NYJ","Thu 8:25 PM","0.0","0.0","0.0","0.0","0.0","42.0","0.3"
"33","Josh Doctson","WR","WAS","@SEA","Sun 4:05 PM","0.0","0.0","0.0","0.0","0.0","48.0","0.1"
"34","Will Fuller","WR","HOU","IND","Sun 1:00 PM","0.0","0.0","0.0","0.3","0.0","47.5","0.4"
"35","Rishard Matthews","WR","TEN","BAL","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","41.8","0.3"
"36","Brandon Coleman","WR","NO","TB","Sun 1:00 PM","0.2","0.0","0.0","0.0","0.0","25.4","0.1"
"37","Robert Woods","WR","LA","@NYG","Sun 1:00 PM","0.0","0.0","0.0","0.1","0.0","40.7","0.2"
"38","Davante Adams","WR","GB","DET","Mon 8:30 PM","0.0","0.0","0.0","0.0","0.0","47.0","0.3"
"39","Mohamed Sanu","WR","ATL","@CAR","Sun 1:00 PM","0.0","0.0","0.0","0.1","0.0","43.3","0.1"
"40","Kenny Stills","WR","MIA","OAK","Sun 8:30 PM","0.0","0.0","0.0","0.0","0.0","37.2","0.3"
"41","Allen Hurns","WR","JAC","CIN","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","36.5","0.3"
"42","Nelson Agholor","WR","PHI","DEN","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","55.6","0.5"
"43","Marqise Lee","WR","JAC","CIN","Sun 1:00 PM","0.0","0.0","0.0","0.1","0.0","49.8","0.3"
"44","Cole Beasley","WR","DAL","KC","Sun 4:25 PM","0.5","0.0","0.0","0.0","0.0","21.3","0.1"
"45","Mike Wallace","WR","BAL","@TEN","Sun 1:00 PM","0.0","0.0","0.0","0.3","0.0","28.7","0.1"
"46","Eric Decker","WR","TEN","BAL","Sun 1:00 PM","0.0","0.0","0.0","0.1","0.0","27.0","0.1"
"47","Marquise Goodwin","WR","SF","ARI","Sun 4:05 PM","0.0","0.0","0.0","0.1","0.0","40.3","0.3"
"48","Russell Shepard","WR","CAR","ATL","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","25.4","0.1"
"49","Demarcus Robinson","WR","KC","@DAL","Sun 4:25 PM","0.0","0.0","0.0","0.0","0.0","23.3","0.2"
"50","Corey Davis","WR","TEN","BAL","Sun 1:00 PM","1.4","0.0","0.0","0.0","0.0","49.2","0.2"
