"Rank","Name","Pos","Tm","Opp","Game","Pass Yds","Pass TD","Int","Ru Yds","Ru TD","RecYds","Rec TD"
"1","Aaron Rodgers","QB","GB","CIN","Sun 4:25 PM","304.9","2.3","0.9","18.7","0.3","0.0","0.0"
"2","Kirk Cousins","QB","WAS","OAK","Sun 8:30 PM","252.8","2.2","0.7","6.4","0.1","0.0","0.0"
"3","Matt Ryan","QB","ATL","@DET","Sun 1:00 PM","263.6","2.2","0.4","9.0","0.2","0.0","0.0"
"4","Derek Carr","QB","OAK","@WAS","Sun 8:30 PM","310.0","2.1","0.6","1.8","0.1","-0.1","0.0"
"5","Tom Brady","QB","NE","HOU","Sun 1:00 PM","268.7","2.4","0.6","4.1","0.0","0.0","0.0"
"6","Cam Newton","QB","CAR","NO","Sun 1:00 PM","282.9","2.0","0.6","29.0","0.2","-0.1","0.0"
"7","Matthew Stafford","QB","DET","ATL","Sun 1:00 PM","270.5","1.6","0.9","13.2","0.2","0.0","0.0"
"8","Drew Brees","QB","NO","@CAR","Sun 1:00 PM","305.8","2.2","0.9","7.2","0.1","0.2","0.0"
"9","Russell Wilson","QB","SEA","@TEN","Sun 4:05 PM","278.6","1.8","0.8","16.6","0.2","0.0","0.0"
"10","Ben Roethlisberger","QB","PIT","@CHI","Sun 1:00 PM","250.6","1.8","0.7","11.3","0.1","0.0","0.0"
"11","Dak Prescott","QB","DAL","@ARI","Mon 8:30 PM","235.5","1.5","0.6","17.4","0.2","0.0","0.0"
"12","Carson Palmer","QB","ARI","DAL","Mon 8:30 PM","254.3","1.6","1.1","5.8","0.0","0.0","0.0"
"13","Carson Wentz","QB","PHI","NYG","Sun 1:00 PM","241.7","1.8","1.1","11.2","0.1","0.0","0.0"
"14","Marcus Mariota","QB","TEN","SEA","Sun 4:05 PM","238.2","1.6","0.9","17.6","0.2","0.0","0.0"
"15","Jameis Winston","QB","TB","@MIN","Sun 1:00 PM","294.0","1.6","1.3","7.5","0.0","0.0","0.0"
"16","Jay Cutler","QB","MIA","@NYJ","Sun 1:00 PM","234.2","1.4","0.7","2.8","0.0","0.0","0.0"
"17","Alex Smith","QB","KC","@LAC","Sun 4:25 PM","235.7","1.7","0.7","8.2","0.2","0.0","0.0"
"18","Trevor Siemian","QB","DEN","@BUF","Sun 1:00 PM","250.9","1.6","0.9","9.2","0.1","0.1","0.0"
"19","DeShone Kizer","QB","CLE","@IND","Sun 1:00 PM","255.9","1.5","0.7","20.7","0.2","-0.2","0.0"
"20","Andy Dalton","QB","CIN","@GB","Sun 4:25 PM","243.9","1.5","0.9","12.8","0.1","-0.0","0.0"
"21","Philip Rivers","QB","LAC","KC","Sun 4:25 PM","271.1","1.8","1.1","10.2","0.1","0.0","0.0"
"22","Tyrod Taylor","QB","BUF","DEN","Sun 1:00 PM","180.1","1.1","0.6","37.2","0.2","-0.3","0.0"
"23","Eli Manning","QB","NYG","@PHI","Sun 1:00 PM","230.9","0.9","1.3","8.5","0.0","-0.1","0.0"
"24","Jacoby Brissett","QB","IND","CLE","Sun 1:00 PM","213.1","1.9","0.6","6.0","0.1","0.0","0.0"
"25","Joe Flacco","QB","BAL","@JAC","Sun 9:30 AM","240.4","1.1","1.1","8.8","0.0","0.0","0.0"
"26","Josh McCown","QB","NYJ","MIA","Sun 1:00 PM","221.5","1.4","1.3","9.3","0.2","1.0","0.0"
"27","Blake Bortles","QB","JAC","BAL","Sun 9:30 AM","233.5","1.2","1.4","15.8","0.1","0.0","0.0"
"28","Jared Goff","QB","LA","@SF","Thu 8:25 PM","255.0","1.6","1.0","6.8","0.1","0.0","0.0"
"29","Deshaun Watson","QB","HOU","@NE","Sun 1:00 PM","225.2","1.1","1.0","27.4","0.2","-0.1","0.0"
"30","Brian Hoyer","QB","NE","HOU","Sun 1:00 PM","252.9","1.7","1.1","3.7","0.0","0.0","0.0"
"31","Mike Glennon","QB","CHI","PIT","Sun 1:00 PM","240.1","1.8","1.0","7.2","0.0","0.4","0.0"
"32","Case Keenum","QB","MIN","TB","Sun 1:00 PM","205.7","1.1","1.2","5.9","0.0","0.0","0.0"
