"Rank","Name","Pos","Tm","Opp","Game","Pass Yds","Pass TD","Int","Ru Yds","Ru TD","RecYds","Rec TD"
"1","Kareem Hunt","RB","KC","WAS","Mon 8:30 PM","0.0","0.0","0.0","74.8","0.7","35.3","0.2"
"2","Le'Veon Bell","RB","PIT","@BAL","Sun 1:00 PM","0.0","0.0","0.0","83.4","0.7","41.7","0.2"
"3","Ezekiel Elliott","RB","DAL","LA","Sun 1:00 PM","0.0","0.0","0.0","97.8","1.0","22.5","0.1"
"4","Devonta Freeman","RB","ATL","BUF","Sun 1:00 PM","0.0","0.0","0.0","81.2","0.8","26.2","0.1"
"5","Leonard Fournette","RB","JAC","@NYJ","Sun 1:00 PM","0.0","0.0","0.0","72.3","0.4","25.1","0.1"
"6","Todd Gurley","RB","LA","@DAL","Sun 1:00 PM","0.4","0.0","0.0","78.9","0.5","28.9","0.1"
"7","Ty Montgomery","RB","GB","CHI","Thu 8:25 PM","0.0","0.0","0.0","69.8","0.8","33.2","0.2"
"8","Dalvin Cook","RB","MIN","DET","Sun 1:00 PM","0.0","0.0","0.0","62.4","0.4","22.5","0.1"
"9","LeSean McCoy","RB","BUF","@ATL","Sun 1:00 PM","0.0","0.0","0.0","88.0","0.7","28.0","0.1"
"10","Jay Ajayi","RB","PHI","@LAC","Sun 4:05 PM","0.0","0.0","0.0","83.1","1.0","12.3","0.0"
"11","Melvin Gordon","RB","LAC","PHI","Sun 4:05 PM","0.0","0.0","0.0","76.9","0.6","31.3","0.1"
"12","Chris Carson","RB","SEA","IND","Sun 8:30 PM","0.0","0.0","0.0","47.9","0.4","21.0","0.1"
"13","Joe Mixon","RB","CIN","@CLE","Sun 1:00 PM","0.0","0.0","0.0","35.6","0.2","25.5","0.2"
"14","C.J. Anderson","RB","DEN","OAK","Sun 4:25 PM","0.0","0.0","0.0","71.8","0.4","24.9","0.1"
"15","Carlos Hyde","RB","SF","@ARI","Sun 4:05 PM","0.5","0.0","0.0","69.9","0.3","16.8","0.0"
"16","DeMarco Murray","RB","TEN","@HOU","Sun 1:00 PM","0.2","0.0","0.0","69.7","0.5","21.9","0.1"
"17","Mike Gillislee","RB","NE","CAR","Sun 1:00 PM","0.0","0.0","0.0","49.5","0.4","16.1","0.1"
"18","Bilal Powell","RB","NYJ","JAC","Sun 1:00 PM","0.0","0.0","0.0","52.0","0.3","17.6","0.1"
"19","Jordan Howard","RB","CHI","@GB","Thu 8:25 PM","0.0","0.0","0.0","62.9","0.5","29.3","0.1"
"20","Christian McCaffrey","RB","CAR","@NE","Sun 1:00 PM","0.6","0.0","0.0","47.3","0.2","34.5","0.2"
"21","Jacquizz Rodgers","RB","TB","NYG","Sun 4:05 PM","0.0","0.0","0.0","52.8","0.2","14.7","0.1"
"22","Tarik Cohen","RB","CHI","@GB","Thu 8:25 PM","0.0","0.0","0.0","21.5","0.2","33.7","0.2"
"23","Javorius Allen","RB","BAL","PIT","Sun 1:00 PM","0.7","0.0","0.0","48.8","0.4","17.2","0.0"
"24","Lamar Miller","RB","HOU","TEN","Sun 1:00 PM","0.0","0.0","0.0","64.6","0.4","22.2","0.1"
"25","Marshawn Lynch","RB","OAK","@DEN","Sun 4:25 PM","0.0","0.0","0.0","45.7","0.3","24.0","0.1"
"26","Mark Ingram","RB","NO","@MIA","Sun 9:30 AM","0.0","0.0","0.0","42.1","0.2","28.9","0.1"
"27","Isaiah Crowell","RB","CLE","CIN","Sun 1:00 PM","0.0","0.0","0.0","57.9","0.4","21.7","0.1"
"28","Tevin Coleman","RB","ATL","BUF","Sun 1:00 PM","0.0","0.0","0.0","38.5","0.3","21.1","0.1"
"29","Chris Thompson","RB","WAS","@KC","Mon 8:30 PM","0.0","0.0","0.0","24.0","0.2","38.8","0.2"
"30","Ameer Abdullah","RB","DET","@MIN","Sun 1:00 PM","0.0","0.0","0.0","45.3","0.2","29.5","0.1"
"31","Frank Gore","RB","IND","@SEA","Sun 8:30 PM","0.0","0.0","0.0","54.7","0.3","21.1","0.1"
"32","Jonathan Stewart","RB","CAR","@NE","Sun 1:00 PM","0.0","0.0","0.0","57.5","0.3","15.6","0.0"
"33","James White","RB","NE","CAR","Sun 1:00 PM","0.0","0.0","0.0","18.3","0.1","27.5","0.2"
"34","Derrick Henry","RB","TEN","@HOU","Sun 1:00 PM","0.0","0.0","0.0","27.7","0.2","11.2","0.0"
"35","Andre Ellington","RB","HOU","TEN","Sun 1:00 PM","0.0","0.0","0.0","21.4","0.1","35.3","0.1"
"36","LeGarrette Blount","RB","PHI","@LAC","Sun 4:05 PM","0.1","0.0","0.0","40.3","0.1","10.7","0.0"
"37","Wendell Smallwood","RB","PHI","@LAC","Sun 4:05 PM","0.0","0.0","0.0","42.5","0.3","13.9","0.0"
"38","Jamaal Charles","RB","DEN","OAK","Sun 4:25 PM","0.0","0.0","0.0","34.3","0.2","11.0","0.0"
"39","Duke Johnson","RB","CLE","CIN","Sun 1:00 PM","0.0","0.0","0.0","14.3","0.1","43.9","0.2"
"40","Theo Riddick","RB","DET","@MIN","Sun 1:00 PM","0.0","0.0","0.0","20.1","0.1","24.3","0.1"
"41","Alvin Kamara","RB","NO","@MIA","Sun 9:30 AM","0.0","0.0","0.0","19.5","0.1","20.6","0.1"
"42","Paul Perkins","RB","NYG","@TB","Sun 4:05 PM","0.1","0.0","0.0","22.4","0.1","16.9","0.1"
"43","Chris Johnson","RB","ARI","SF","Sun 4:05 PM","0.0","0.0","0.0","40.8","0.2","18.3","0.0"
"44","Terrance West","RB","BAL","PIT","Sun 1:00 PM","0.0","0.0","0.0","32.9","0.3","12.7","0.0"
"45","Jalen Richard","RB","OAK","@DEN","Sun 4:25 PM","0.4","0.0","0.0","18.6","0.2","13.0","0.0"
"46","Elijah McGuire","RB","NYJ","JAC","Sun 1:00 PM","0.0","0.0","0.0","10.7","0.1","6.5","0.0"
"47","Matt Breida","RB","SF","@ARI","Sun 4:05 PM","0.0","0.0","0.0","22.1","0.1","18.1","0.0"
"48","Chris Ivory","RB","JAC","@NYJ","Sun 1:00 PM","0.0","0.0","0.0","29.4","0.1","21.3","0.1"
"49","Shane Vereen","RB","NYG","@TB","Sun 4:05 PM","0.0","0.0","0.0","16.2","0.1","21.9","0.0"
"50","Mike Tolbert","RB","BUF","@ATL","Sun 1:00 PM","-","-","-","-","-","-","-"
