"Rank","Name","Pos","Tm","Opp","Game","Pass Yds","Pass TD","Int","Ru Yds","Ru TD","RecYds","Rec TD"
"1","Rob Gronkowski","TE","NE","@DEN","Sun 8:30 PM","0.0","0.0","0.0","0.0","0.0","79.9","0.7"
"2","Evan Engram","TE","NYG","@SF","Sun 4:25 PM","0.0","0.0","0.0","0.0","0.0","52.9","0.5"
"3","Jimmy Graham","TE","SEA","@ARI","Thu 8:25 PM","0.0","0.0","0.0","0.0","0.0","49.4","0.3"
"4","Cameron Brate","TE","TB","NYJ","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","33.4","0.3"
"5","Delanie Walker","TE","TEN","CIN","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","45.7","0.3"
"6","Jack Doyle","TE","IND","PIT","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","52.1","0.2"
"7","Charles Clay","TE","BUF","NO","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","36.0","0.3"
"8","Hunter Henry","TE","LAC","@JAC","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","36.3","0.3"
"9","Austin Seferian-Jenkins","TE","NYJ","@TB","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","34.4","0.4"
"10","Kyle Rudolph","TE","MIN","@WAS","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","45.4","0.3"
"11","Austin Hooper","TE","ATL","DAL","Sun 4:25 PM","0.0","0.0","0.0","0.0","0.0","34.4","0.3"
"12","Tyler Kroft","TE","CIN","@TEN","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","36.5","0.3"
"13","Vernon Davis","TE","WAS","MIN","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","54.2","0.2"
"14","Ed Dickson","TE","CAR","MIA","Mon 8:30 PM","0.0","0.0","0.0","0.0","0.0","17.0","0.3"
"15","Jason Witten","TE","DAL","@ATL","Sun 4:25 PM","0.0","0.0","0.0","0.0","0.0","49.6","0.2"
"16","Garrett Celek","TE","SF","NYG","Sun 4:25 PM","0.0","0.0","0.0","0.0","0.0","27.2","0.3"
"17","Julius Thomas","TE","MIA","@CAR","Mon 8:30 PM","0.0","0.0","0.0","0.0","0.0","29.0","0.1"
"18","Eric Ebron","TE","DET","CLE","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","31.9","0.2"
"19","O.J. Howard","TE","TB","NYJ","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","15.7","0.2"
"20","A.J. Derby","TE","MIA","@CAR","Mon 8:30 PM","0.0","0.0","0.0","0.0","0.0","20.2","0.1"
