"Rank","Name","Pos","Tm","Opp","Game","Pass Yds","Pass TD","Int","Ru Yds","Ru TD","RecYds","Rec TD"
"1","Keenan Allen","WR","LAC","@NYJ","Sun 1:00 PM","0.0","0.0","0.0","0.3","0.0","91.2","0.6"
"2","JuJu Smith-Schuster","WR","PIT","@HOU","Mon 4:30 PM","0.0","0.0","0.0","0.0","0.0","67.7","0.4"
"3","DeAndre Hopkins","WR","HOU","PIT","Mon 4:30 PM","0.0","0.0","0.0","0.0","0.0","90.5","0.7"
"4","Julio Jones","WR","ATL","@NO","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","88.7","0.6"
"5","Adam Thielen","WR","MIN","@GB","Sat 8:30 PM","0.0","0.0","0.0","0.3","0.0","80.7","0.7"
"6","Mike Evans","WR","TB","@CAR","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","87.8","0.5"
"7","Michael Thomas","WR","NO","ATL","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","82.5","0.8"
"8","A.J. Green","WR","CIN","DET","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","78.8","0.5"
"9","Larry Fitzgerald","WR","ARI","NYG","Sun 4:25 PM","0.0","0.0","0.0","0.0","0.0","73.5","0.4"
"10","Tyreek Hill","WR","KC","MIA","Sun 1:00 PM","0.0","0.0","0.0","1.1","0.0","75.9","0.7"
"11","Martavis Bryant","WR","PIT","@HOU","Mon 4:30 PM","0.4","0.0","0.0","0.4","0.0","61.5","0.3"
"12","Marvin Jones","WR","DET","@CIN","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","70.4","0.5"
"13","Devin Funchess","WR","CAR","TB","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","75.7","0.5"
"14","Doug Baldwin","WR","SEA","@DAL","Sun 4:25 PM","0.0","0.0","0.0","0.8","0.0","76.3","0.5"
"15","Michael Crabtree","WR","OAK","@PHI","Mon 8:30 PM","0.0","0.0","0.0","0.0","0.0","68.7","0.4"
"16","Stefon Diggs","WR","MIN","@GB","Sat 8:30 PM","0.0","0.0","0.0","0.9","0.0","72.8","0.6"
"17","Brandin Cooks","WR","NE","BUF","Sun 1:00 PM","0.0","0.0","0.0","1.0","0.0","79.4","0.6"
"18","Alshon Jeffery","WR","PHI","OAK","Mon 8:30 PM","0.2","0.0","0.0","0.0","0.0","69.0","0.6"
"19","Dez Bryant","WR","DAL","SEA","Sun 4:25 PM","0.0","0.0","0.0","2.3","0.0","59.4","0.4"
"20","Demaryius Thomas","WR","DEN","@WAS","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","77.2","0.3"
"21","Golden Tate","WR","DET","@CIN","Sun 1:00 PM","0.0","0.0","0.0","2.7","0.0","62.5","0.4"
"22","Jarvis Landry","WR","MIA","@KC","Sun 1:00 PM","0.0","0.0","0.0","0.8","0.0","71.2","0.3"
"23","Mike Wallace","WR","BAL","IND","Sat 4:30 PM","0.0","0.0","0.0","1.4","0.0","54.5","0.4"
"24","Dede Westbrook","WR","JAC","@SF","Sun 4:05 PM","0.0","0.0","0.0","0.0","0.0","58.8","0.5"
"25","Sterling Shepard","WR","NYG","@ARI","Sun 4:25 PM","0.0","0.0","0.0","-0.2","0.0","66.6","0.4"
"26","Robert Woods","WR","LA","@TEN","Sun 1:00 PM","0.0","0.0","0.0","1.0","0.0","55.9","0.4"
"27","Jamison Crowder","WR","WAS","DEN","Sun 1:00 PM","0.0","0.0","0.0","0.5","0.0","58.6","0.4"
"28","Marquise Goodwin","WR","SF","JAC","Sun 4:05 PM","0.0","0.0","0.0","0.0","0.0","75.6","0.4"
"29","Josh Gordon","WR","CLE","@CHI","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","56.3","0.5"
"30","Nelson Agholor","WR","PHI","OAK","Mon 8:30 PM","0.0","0.0","0.0","0.0","0.0","49.7","0.4"
"31","Rishard Matthews","WR","TEN","LA","Sun 1:00 PM","0.0","0.0","0.0","0.1","0.0","48.7","0.4"
"32","Sammy Watkins","WR","LA","@TEN","Sun 1:00 PM","0.2","0.0","0.0","0.0","0.0","43.2","0.4"
"33","Cooper Kupp","WR","LA","@TEN","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","51.2","0.4"
"34","Mohamed Sanu","WR","ATL","@NO","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","49.6","0.2"
"35","Keelan Cole","WR","JAC","@SF","Sun 4:05 PM","0.2","0.0","0.0","0.0","0.0","50.4","0.6"
"36","T.Y. Hilton","WR","IND","@BAL","Sat 4:30 PM","0.0","0.0","0.0","0.0","0.0","63.4","0.4"
"37","Paul Richardson","WR","SEA","@DAL","Sun 4:25 PM","0.0","0.0","0.0","0.0","0.0","55.2","0.4"
"38","Robby Anderson","WR","NYJ","LAC","Sun 1:00 PM","0.0","0.0","0.0","0.9","0.0","58.6","0.4"
"39","Kenny Stills","WR","MIA","@KC","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","66.4","0.2"
"40","Tyrell Williams","WR","LAC","@NYJ","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","41.2","0.3"
"41","Josh Doctson","WR","WAS","DEN","Sun 1:00 PM","0.0","0.0","0.0","-0.3","0.0","34.3","0.2"
"42","Tyler Lockett","WR","SEA","@DAL","Sun 4:25 PM","0.0","0.0","0.0","-0.1","0.0","44.1","0.3"
"43","Kendall Wright","WR","CHI","CLE","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","44.2","0.3"
"44","Amari Cooper","WR","OAK","@PHI","Mon 8:30 PM","0.0","0.0","0.0","0.2","0.0","38.7","0.3"
"45","Terrance Williams","WR","DAL","SEA","Sun 4:25 PM","0.0","0.0","0.0","0.1","0.0","22.2","0.2"
"46","Brandon LaFell","WR","CIN","DET","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","32.9","0.0"
"47","DeVante Parker","WR","MIA","@KC","Sun 1:00 PM","0.0","0.0","0.0","0.0","0.0","47.9","0.2"
"48","Jordy Nelson","WR","GB","MIN","Sat 8:30 PM","0.0","0.0","0.0","0.1","0.0","47.3","0.1"
"49","J.J. Nelson","WR","ARI","NYG","Sun 4:25 PM","0.0","0.0","0.0","0.6","0.0","24.4","0.1"
"50","Will Fuller","WR","HOU","PIT","Mon 4:30 PM","0.0","0.0","0.0","0.7","0.0","36.4","0.3"
