Rk,Player,Pos,Week,Team,Opp,FG Made,FG Att,Pct,Long,XP Made,XP Att,Fantasy Points
1,Matt Bryant,K,1,ATL,CHI,1.5,1.6,100.0,0.0,3.1,3.1,7.60
2,Graham Gano,K,1,CAR,SF,1.5,1.7,100.0,0.0,2.8,2.8,7.30
3,Kai Forbath,K,1,MIN,NO,1.5,1.5,100.0,0.0,2.7,2.7,7.20
4,Mason Crosby,K,1,GB,SEA,1.4,1.6,50.0,0.0,2.8,2.8,7.00
5,Dan Bailey,K,1,DAL,NYG,1.5,1.6,100.0,0.0,2.5,2.5,7.00
6,Chris Boswell,K,1,PIT,CLE,1.4,1.6,50.0,0.0,2.8,2.8,7.00
7,Stephen Gostkowski,K,1,NE,KC,1.3,1.4,100.0,0.0,3.0,3.0,6.90
8,Randy Bullock,K,1,CIN,BAL,1.4,1.5,50.0,0.0,2.6,2.6,6.80
9,Ryan Succop,K,1,TEN,OAK,1.3,1.3,100.0,0.0,2.7,2.7,6.60
10,Brandon McManus,K,1,DEN,LAC,1.5,1.6,100.0,0.0,2.1,2.1,6.60
11,Matt Prater,K,1,DET,ARI,1.4,1.5,50.0,0.0,2.3,2.3,6.50
12,Caleb Sturgis,K,1,PHI,WAS,1.4,1.6,50.0,0.0,2.3,2.3,6.50
13,Adam Vinatieri,K,1,IND,LAR,1.4,1.5,50.0,0.0,2.0,2.0,6.20
14,Ka'imi Fairbairn,K,1,HOU,JAX,1.4,1.5,50.0,0.0,2.0,2.0,6.20
15,Blair Walsh,K,1,SEA,GB,1.2,1.3,100.0,0.0,2.4,2.4,6.00
16,Phil Dawson,K,1,ARI,DET,1.0,1.1,100.0,0.0,2.9,2.9,5.90
17,Steven Hauschka,K,1,BUF,NYJ,1.1,1.2,100.0,0.0,2.4,2.4,5.70
18,Greg Zuerlein,K,1,LAR,IND,1.1,1.2,100.0,0.0,2.1,2.1,5.40
19,Justin Tucker,K,1,BAL,CIN,1.1,1.1,100.0,0.0,2.0,2.0,5.30
20,Cairo Santos,K,1,KC,NE,1.1,1.2,100.0,0.0,2.0,2.0,5.30
21,Dustin Hopkins,K,1,WAS,PHI,0.9,1.1,100.0,0.0,2.5,2.5,5.20
22,Jason Myers,K,1,JAX,HOU,1.1,1.2,100.0,0.0,1.8,1.8,5.10
23,Aldrick Rosas,K,1,NYG,DAL,1.0,1.1,100.0,0.0,2.1,2.1,5.10
24,Wil Lutz,K,1,NO,MIN,0.9,1.0,100.0,0.0,2.3,2.3,5.00
25,Giorgio Tavecchio,K,1,OAK,TEN,0.9,1.1,100.0,0.0,2.3,2.3,5.00
26,Connor Barth,K,1,CHI,ATL,0.8,0.9,100.0,0.0,2.0,2.0,4.40
27,Zane Gonzalez,K,1,CLE,PIT,0.9,1.0,100.0,0.0,1.5,1.5,4.20
28,Robbie Gould,K,1,SF,CAR,0.7,0.8,100.0,0.0,2.0,2.0,4.10
29,Chandler Catanzaro,K,1,NYJ,BUF,0.8,0.9,100.0,0.0,1.7,1.7,4.10
30,Younghoe Koo,K,1,LAC,DEN,0.6,0.7,100.0,0.0,2.2,2.2,4.00
31,Sebastian Janikowski,K,1,OAK,TEN,0.0,0.0,0.0,0.0,0.0,0.0,0.00
32,Harrison Butker,K,1,CAR,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.00
33,Jake Elliott,K,1,CIN,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.00
