Rk,Player,Pos,Week,Team,Opp,Att,Yds,Yds/Att,TD,Targets,Rec,Yds,TD,Fum,Lost,Fantasy Points
1,Le'Veon Bell,RB,15,PIT,NE,17.9,82.9,4.6,0.5,7.6,5.2,39.9,0.2,0.0,0.0,16.48
2,Mark Ingram,RB,15,NO,NYJ,15.7,76.2,4.8,0.8,4.1,3.0,21.9,0.1,0.0,0.0,15.21
3,Todd Gurley,RB,15,LAR,SEA,17.0,71.9,4.2,0.6,5.3,3.9,33.9,0.1,0.0,0.0,14.78
4,LeSean McCoy,RB,15,BUF,MIA,18.1,82.8,4.6,0.5,4.6,3.4,25.3,0.1,0.0,0.0,14.41
5,Alvin Kamara,RB,15,NO,NYJ,9.3,48.6,5.4,0.5,6.7,5.1,46.8,0.3,0.0,0.0,14.34
6,Devonta Freeman,RB,15,ATL,TB,16.3,75.5,4.8,0.6,3.6,2.7,24.2,0.1,0.0,0.0,14.17
7,Melvin Gordon,RB,15,LAC,KC,17.4,70.5,4.1,0.4,4.3,2.9,21.9,0.1,0.0,0.0,12.24
8,Jordan Howard,RB,15,CHI,DET,17.7,79.7,4.4,0.5,1.8,1.3,10.7,0.0,0.0,0.0,12.04
9,Kareem Hunt,RB,15,KC,LAC,14.8,69.9,4.7,0.3,3.8,2.7,23.3,0.1,0.0,0.0,11.72
10,Kenyan Drake,RB,15,MIA,BUF,16.4,66.2,4.1,0.3,5.5,3.7,26.9,0.1,0.0,0.0,11.71
11,Alex Collins,RB,15,BAL,CLE,15.4,69.8,4.7,0.5,2.3,1.7,12.8,0.0,0.0,0.0,11.26
12,Carlos Hyde,RB,15,SF,TEN,13.7,56.9,4.1,0.4,4.6,3.3,23.4,0.1,0.0,0.0,11.03
13,Latavius Murray,RB,15,MIN,CIN,15.0,64.8,4.3,0.6,1.6,1.2,9.3,0.0,0.0,0.0,11.01
14,Christian McCaffrey,RB,15,CAR,GB,8.1,30.5,3.8,0.3,7.4,5.3,42.4,0.3,0.0,0.0,10.89
15,Chris Ivory,RB,15,JAX,HOU,13.0,56.1,4.3,0.5,3.1,2.2,16.2,0.1,0.0,0.0,10.83
16,Samaje Perine,RB,15,WAS,ARI,17.4,63.5,3.8,0.4,3.3,2.5,19.5,0.0,0.0,0.0,10.70
17,Marshawn Lynch,RB,15,OAK,DAL,15.3,62.4,4.1,0.5,2.8,2.0,14.6,0.0,0.0,0.0,10.70
18,Jamaal Williams,RB,15,GB,CAR,13.4,55.2,4.2,0.4,3.3,2.5,21.5,0.1,0.0,0.0,10.67
19,Alfred Morris,RB,15,DAL,OAK,14.4,67.0,4.8,0.5,1.3,1.0,7.2,0.0,0.0,0.0,10.42
20,Dion Lewis,RB,15,NE,PIT,11.9,56.7,4.8,0.4,2.9,2.0,14.6,0.1,0.0,0.0,10.13
21,Rex Burkhead,RB,15,NE,PIT,7.7,36.8,4.6,0.4,4.5,3.1,25.0,0.2,0.0,0.0,9.78
22,DeMarco Murray,RB,15,TEN,SF,12.2,45.9,3.8,0.4,3.6,2.8,19.8,0.1,0.0,0.0,9.57
23,Frank Gore,RB,15,IND,DEN,17.0,58.2,3.4,0.4,2.4,1.8,13.4,0.0,0.0,0.0,9.56
24,Lamar Miller,RB,15,HOU,JAX,15.5,58.2,3.6,0.3,3.3,2.4,16.4,0.0,0.0,0.0,9.26
25,Jerick McKinnon,RB,15,MIN,CIN,11.1,46.6,4.3,0.3,4.6,3.1,20.9,0.1,0.0,0.0,9.15
26,Mike Davis,RB,15,SEA,LAR,14.9,61.1,4.1,0.3,2.4,1.6,11.8,0.0,0.0,0.0,9.09
27,Kerwynn Williams,RB,15,ARI,WAS,14.9,60.9,4.1,0.3,2.0,1.5,11.2,0.0,0.0,0.0,9.01
28,Jay Ajayi,RB,15,PHI,NYG,13.5,60.8,4.4,0.3,1.9,1.4,10.5,0.0,0.0,0.0,8.93
29,Isaiah Crowell,RB,15,CLE,BAL,15.9,59.0,3.7,0.3,2.5,1.7,11.3,0.0,0.0,0.0,8.83
30,Giovani Bernard,RB,15,CIN,MIN,12.0,46.8,3.9,0.2,3.8,2.8,22.8,0.1,0.0,0.0,8.76
31,CJ Anderson,RB,15,DEN,IND,14.6,56.5,3.7,0.3,2.5,1.8,12.3,0.0,0.0,0.0,8.68
32,Theo Riddick,RB,15,DET,CHI,7.5,29.7,3.8,0.2,5.8,3.9,33.1,0.2,0.0,0.0,8.68
33,Derrick Henry,RB,15,TEN,SF,12.3,52.6,4.4,0.4,1.6,1.1,8.3,0.0,0.0,0.0,8.49
34,Jonathan Stewart,RB,15,CAR,GB,13.1,55.6,4.3,0.4,0.7,0.5,3.4,0.0,0.0,0.0,8.30
35,Rod Smith,RB,15,DAL,OAK,9.3,38.1,4.2,0.3,2.6,2.0,14.2,0.1,0.0,0.0,7.63
36,Duke Johnson,RB,15,CLE,BAL,6.3,24.5,4.0,0.1,5.6,4.1,35.4,0.1,0.0,0.0,7.19
37,TJ Yeldon,RB,15,JAX,HOU,8.2,33.9,4.2,0.2,3.8,2.6,19.7,0.1,0.0,0.0,7.16
38,Bilal Powell,RB,15,NYJ,NO,10.7,42.5,3.8,0.2,3.0,2.1,15.5,0.0,0.0,0.0,7.00
39,Peyton Barber,RB,15,TB,ATL,9.5,40.6,4.1,0.4,1.2,0.9,5.4,0.0,0.0,0.0,7.00
40,Matt Forte,RB,15,NYJ,NO,8.0,30.4,3.8,0.2,3.6,2.5,21.4,0.1,0.0,0.0,6.98
41,Marlon Mack,RB,15,IND,DEN,7.9,28.8,3.6,0.2,2.6,1.8,15.4,0.1,0.0,0.0,6.22
42,Wayne Gallman,RB,15,NYG,PHI,9.3,34.6,3.9,0.2,2.9,2.0,15.1,0.0,0.0,0.0,6.17
43,LeGarrette Blount,RB,15,PHI,NYG,9.4,41.2,4.6,0.3,0.3,0.2,1.9,0.0,0.0,0.0,6.11
44,Tarik Cohen,RB,15,CHI,DET,5.1,23.6,4.8,0.1,3.7,2.7,24.1,0.1,0.0,0.0,5.97
45,Devontae Booker,RB,15,DEN,IND,6.2,25.9,4.3,0.1,3.0,2.1,17.0,0.1,0.0,0.0,5.49
46,Austin Ekeler,RB,15,LAC,KC,5.3,22.6,4.6,0.1,3.0,2.2,19.7,0.1,0.0,0.0,5.43
47,Danny Woodhead,RB,15,BAL,CLE,3.8,14.6,3.8,0.1,4.7,3.4,27.0,0.1,0.0,0.0,5.36
48,Orleans Darkwa,RB,15,NYG,PHI,9.0,32.1,3.6,0.2,1.9,1.3,8.9,0.0,0.0,0.0,5.30
49,Corey Clement,RB,15,PHI,NYG,5.1,22.6,4.6,0.2,1.2,0.9,8.3,0.1,0.0,0.0,4.89
50,JD McKissic,RB,15,SEA,LAR,3.3,15.6,5.3,0.1,4.6,2.7,23.2,0.1,0.1,0.1,4.88
