Rk,Player,Pos,Week,Team,Opp,Targets,Rec,Pct,Yds,TD,Long,Yds/Target,Yds/Rec,Rush,Yds,TD,Fum,Lost,Fantasy Points
1,Rob Gronkowski,TE,17,NE,NYJ,9.2,5.4,55.6,79.1,0.7,0.0,8.8,15.8,0.0,0.0,0.0,0.0,0.0,12.11
2,Greg Olsen,TE,17,CAR,ATL,7.5,4.3,50.0,53.2,0.3,0.0,6.6,13.2,0.0,0.0,0.0,0.0,0.0,7.12
3,Jack Doyle,TE,17,IND,HOU,7.8,4.9,62.5,51.5,0.3,0.0,6.5,10.4,0.0,0.0,0.0,0.0,0.0,6.95
4,Jimmy Graham,TE,17,SEA,ARI,5.3,3.6,80.0,39.1,0.5,0.0,7.8,9.8,0.0,0.0,0.0,0.0,0.0,6.91
5,Eric Ebron,TE,17,DET,GB,5.3,3.9,80.0,47.2,0.3,0.0,9.4,11.8,0.0,0.1,0.0,0.0,0.0,6.53
6,Antonio Gates,TE,17,LAC,OAK,5.1,3.3,60.0,37.6,0.4,0.0,7.6,12.7,0.0,0.0,0.0,0.0,0.0,6.16
7,Charles Clay,TE,17,BUF,MIA,5.7,4.1,66.7,43.5,0.3,0.0,7.3,11.0,0.0,0.0,0.0,0.0,0.0,6.15
8,Delanie Walker,TE,17,TEN,JAX,5.8,4.3,66.7,50.3,0.2,0.0,8.3,12.5,0.0,0.0,0.0,0.1,0.1,6.03
9,Vernon Davis,TE,17,WAS,NYG,5.3,3.2,60.0,42.1,0.3,0.0,8.4,14.0,0.0,0.0,0.0,0.0,0.0,6.01
10,Kyle Rudolph,TE,17,MIN,CHI,6.0,3.4,50.0,34.4,0.4,0.0,5.7,11.3,0.0,0.0,0.0,0.0,0.0,5.84
11,Cameron Brate,TE,17,TB,NO,4.4,3.0,75.0,36.6,0.3,0.0,9.2,12.3,0.0,0.0,0.0,0.0,0.0,5.46
12,Jason Witten,TE,17,DAL,PHI,6.1,3.5,66.7,32.1,0.3,0.0,5.3,8.0,0.0,0.0,0.0,0.0,0.0,5.01
13,Benjamin Watson,TE,17,BAL,CIN,4.9,3.3,60.0,31.3,0.3,0.0,6.2,10.3,0.0,0.0,0.0,0.0,0.0,4.93
14,Jared Cook,TE,17,OAK,LAC,4.2,3.1,75.0,35.3,0.2,0.0,8.8,11.7,0.0,0.0,0.0,0.0,0.0,4.73
15,Austin Hooper,TE,17,ATL,CAR,4.1,3.1,75.0,33.0,0.2,0.0,8.2,11.0,0.0,0.0,0.0,0.0,0.0,4.50
16,Trey Burton,TE,17,PHI,DAL,3.3,2.3,66.7,25.3,0.3,0.0,8.3,12.5,0.0,0.0,0.0,0.0,0.0,4.33
17,Stephen Anderson,TE,17,HOU,IND,3.4,2.4,66.7,29.4,0.2,0.0,9.7,14.5,0.0,0.1,0.0,0.0,0.0,4.15
18,Demetrius Harris,TE,17,KC,DEN,4.1,2.7,75.0,28.9,0.2,0.0,7.2,9.7,0.0,0.0,0.0,0.0,0.0,4.09
19,Zach Ertz,TE,17,PHI,DAL,4.5,2.6,75.0,28.3,0.2,0.0,7.0,9.3,0.0,0.0,0.0,0.0,0.0,4.03
20,Vance McDonald,TE,17,PIT,CLE,3.9,2.2,50.0,27.4,0.2,0.0,6.8,13.5,0.0,0.0,0.0,0.0,0.0,3.94
21,George Kittle,TE,17,SF,LAR,4.0,2.4,50.0,26.6,0.2,0.0,6.8,13.5,0.0,0.0,0.0,0.0,0.0,3.86
22,David Njoku,TE,17,CLE,PIT,3.0,2.3,66.7,26.1,0.2,0.0,8.7,13.0,0.0,0.1,0.0,0.0,0.0,3.82
23,Tyler Kroft,TE,17,CIN,BAL,3.9,2.5,50.0,25.1,0.2,0.0,6.2,12.5,0.0,0.0,0.0,0.0,0.0,3.71
24,AJ Derby,TE,17,MIA,BUF,3.1,2.3,66.7,24.5,0.2,0.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,3.65
25,Garrett Celek,TE,17,SF,LAR,3.2,1.9,66.7,22.6,0.2,0.0,7.7,11.5,0.0,0.0,0.0,0.0,0.0,3.46
26,Lance Kendricks,TE,17,GB,DET,3.9,2.2,50.0,22.1,0.2,0.0,5.5,11.0,0.0,0.0,0.0,0.0,0.0,3.41
27,Ricky Seals-Jones,TE,17,ARI,SEA,2.7,2.1,66.7,25.2,0.1,0.0,8.3,12.5,0.0,0.1,0.0,0.0,0.0,3.13
28,Jesse James,TE,17,PIT,CLE,2.6,1.9,66.7,19.1,0.2,0.0,6.3,9.5,0.0,0.1,0.0,0.0,0.0,3.12
29,Gerald Everett,TE,17,LAR,SF,2.4,1.4,50.0,18.1,0.2,0.0,9.0,18.0,0.0,0.0,0.0,0.0,0.0,3.01
