Rk,Player,Pos,Week,Team,Opp,Targets,Rec,Pct,Yds,TD,Long,Yds/Target,Yds/Rec,Rush,Yds,TD,Fum,Lost,Fantasy Points
1,Antonio Brown,WR,11,PIT,TEN,9.9,6.1,60.0,87.8,0.6,0.0,8.8,14.7,0.0,0.0,0.0,0.0,0.0,12.38
2,Mike Evans,WR,11,TB,MIA,8.1,5.4,62.5,76.2,0.5,0.0,9.5,15.2,0.0,0.0,0.0,0.0,0.0,10.62
3,Michael Thomas,WR,11,NO,WAS,9.5,6.2,60.0,75.1,0.5,0.0,7.5,12.5,0.0,0.0,0.0,0.0,0.0,10.51
4,Julio Jones,WR,11,ATL,SEA,7.6,5.3,62.5,78.3,0.4,0.0,9.8,15.6,0.0,0.0,0.0,0.0,0.0,10.23
5,Brandin Cooks,WR,11,NE,OAK,7.2,5.0,71.4,74.4,0.4,0.0,10.6,14.8,0.2,0.3,0.0,0.0,0.0,9.87
6,Doug Baldwin,WR,11,SEA,ATL,9.2,5.8,66.7,73.7,0.4,0.0,8.2,12.3,0.1,0.0,0.0,0.0,0.0,9.77
7,Adam Thielen,WR,11,MIN,LAR,7.0,5.2,71.4,72.1,0.4,0.0,10.3,14.4,0.0,0.1,0.0,0.0,0.0,9.62
8,AJ Green,WR,11,CIN,DEN,6.4,4.5,66.7,65.6,0.5,0.0,11.0,16.5,0.0,0.0,0.0,0.0,0.0,9.56
9,DeAndre Hopkins,WR,11,HOU,ARI,7.8,4.6,62.5,64.7,0.5,0.0,8.1,13.0,0.0,0.0,0.0,0.0,0.0,9.47
10,Dez Bryant,WR,11,DAL,PHI,7.6,5.0,62.5,64.0,0.5,0.0,8.0,12.8,0.0,0.0,0.0,0.0,0.0,9.40
11,Larry Fitzgerald,WR,11,ARI,HOU,8.1,5.9,75.0,65.5,0.4,0.0,8.2,11.0,0.0,0.0,0.0,0.0,0.0,8.95
12,Stefon Diggs,WR,11,MIN,LAR,7.4,4.3,57.1,63.6,0.4,0.0,9.1,16.0,0.3,0.6,0.0,0.0,0.0,8.82
