Chg,"Player
Sort First: 



		Last:",Team,Opp,FG Made,FG Miss,XP Made,XP Miss,FFPts
,Steve Hauschka,BUF,DEN,3,0,1,0,10.0
,Matt Bryant,ATL,@DET,2,0,3,0,9.0
,Mason Crosby,GB,CIN,2,0,3,0,9.0
,Jake Elliott,PHI,NYG,2,0,3,0,9.0
,Graham Gano,CAR,NO,2,0,3,0,9.0
,Stephen Gostkowski,NE,HOU,2,0,3,0,9.0
,Cody Parkey,MIA,@NYJ,2,0,3,0,9.0
,Cairo Santos,KC,@LAC,2,0,3,0,9.0
,Chris Boswell,PIT,@CHI,2,0,2,0,8.0
,Randy Bullock,CIN,@GB,2,0,2,0,8.0
,Chandler Catanzaro,NYJ,MIA,2,0,2,0,8.0
,Kai Forbath,MIN,TB,2,0,2,0,8.0
,Dustin Hopkins,WAS,OAK,2,0,2,0,8.0
,Jason Myers,JAC,BAL,2,0,2,0,8.0
,Matt Prater,DET,ATL,2,0,2,0,8.0
,Aldrick Rosas,NYG,@PHI,2,0,2,0,8.0
,Justin Tucker,BAL,@JAC,2,0,2,0,8.0
,Blair Walsh,SEA,@TEN,2,0,2,0,8.0
,Dan Bailey,DAL,@ARI,1,0,3,0,6.0
,Nick Folk,TB,@MIN,1,0,3,0,6.0
,Younghoe Koo,LAC,KC,1,0,3,0,6.0
,Wil Lutz,NO,@CAR,1,0,3,0,6.0
,Brandon McManus,DEN,@BUF,1,0,3,0,6.0
,Giorgio Tavecchio,OAK,@WAS,1,0,3,0,6.0
,Greg Zuerlein,LAR,@SF,1,0,3,0,6.0
,Connor Barth,CHI,PIT,1,0,2,0,5.0
,Phil Dawson,ARI,DAL,1,0,2,0,5.0
,Ka'imi Fairbairn,HOU,@NE,1,0,2,0,5.0
,Zane Gonzalez,CLE,@IND,1,0,2,0,5.0
,Ryan Succop,TEN,SEA,1,0,2,0,5.0
,Robbie Gould,SF,LAR,1,0,1,0,4.0
,Adam Vinatieri,IND,CLE,0,0,3,0,3.0
