Chg,"Player
Sort First: 



		Last:",Team,Opp,Comp,Att,Yard,TD,INT,Att,Yard,TD,FFPts
,Drew Brees,NO,@MIN,30,46,320,3,0,0,0,0,28.0
,Tom Brady,NE,KC,26,39,315,3,0,0,0,0,27.8
,Aaron Rodgers,GB,SEA,25,37,285,2,0,5,25,0,24.8
,Russell Wilson,SEA,@GB,23,35,265,2,0,7,35,0,24.8
,Marcus Mariota,TEN,OAK,20,34,255,2,0,6,35,0,24.3
,Andy Dalton,CIN,BAL,24,38,275,2,0,4,20,0,23.8
,Ben Roethlisberger,PIT,@CLE,26,43,295,2,1,4,5,0,23.3
,Brian Hoyer,SF,CAR,26,43,270,2,1,3,15,0,23.0
,Dak Prescott,DAL,NYG,21,33,250,2,0,5,25,0,23.0
,Derek Carr,OAK,@TEN,23,37,285,2,1,1,5,0,22.8
,Matt Ryan,ATL,@CHI,30,43,295,2,0,0,0,0,22.8
,Matthew Stafford,DET,ARI,23,35,265,2,1,4,15,0,22.8
,Eli Manning,NYG,@DAL,23,38,290,2,2,0,0,0,22.5
,Cam Newton,CAR,@SF,20,31,240,2,0,6,25,0,22.5
,DeShone Kizer,CLE,PIT,20,33,225,2,1,7,30,0,22.3
,Carson Palmer,ARI,@DET,26,43,285,2,1,0,0,0,22.3
,Sam Bradford,MIN,NO,23,37,275,2,0,0,0,0,21.8
,Kirk Cousins,WAS,PHI,22,36,265,2,1,1,5,0,21.8
,Trevor Siemian,DEN,LAC,21,35,255,2,1,1,5,0,21.3
,Joe Flacco,BAL,@CIN,21,36,245,2,1,2,5,0,20.8
,Alex Smith,KC,@NE,27,40,260,1,0,6,25,0,19.5
,Carson Wentz,PHI,@WAS,22,34,265,1,1,4,20,0,19.3
,Tyrod Taylor,BUF,NYJ,17,28,220,1,0,6,35,0,18.5
,Philip Rivers,LAC,@DEN,24,36,280,1,1,0,0,0,18.0
,Blake Bortles,JAC,@HOU,18,29,220,1,2,5,20,0,17.0
,Scott Tolzien,IND,@LAR,20,31,240,1,1,2,10,0,17.0
,Mike Glennon,CHI,ATL,20,34,235,1,1,2,10,0,16.8
,Jared Goff,LAR,IND,22,34,235,1,0,2,5,0,16.3
,Tom Savage,HOU,JAC,18,29,220,1,1,2,10,0,16.0
,Josh McCown,NYJ,@BUF,18,28,210,1,1,2,10,0,15.5
