Chg,"Player
Sort First: 



		Last:",Team,Opp,Att,Yard,TD,Rec,Yard,TD,FFPts
,Le'Veon Bell,PIT,TEN,24,105,1,3,30,0,19.5
,Todd Gurley,LAR,@MIN,20,95,1,6,40,0,19.5
,Kareem Hunt,KC,@NYG,23,95,1,5,35,0,19.0
,LeSean McCoy,BUF,@LAC,24,95,1,3,25,0,18.0
,Jerick McKinnon,MIN,LAR,15,70,1,5,40,0,17.0
,Mark Ingram,NO,WAS,19,85,1,3,20,0,16.5
,Melvin Gordon,LAC,BUF,20,80,1,3,20,0,16.0
,Alvin Kamara,NO,WAS,13,55,0,5,40,1,15.5
,Leonard Fournette,JAC,@CLE,19,75,1,2,15,0,15.0
,Jordan Howard,CHI,DET,20,80,1,1,10,0,15.0
,Adrian Peterson,ARI,@HOU,20,85,1,1,5,0,15.0
,Chris Thompson,WAS,@NO,9,35,1,6,50,0,14.5
,Jay Ajayi,PHI,@DAL,16,65,1,1,10,0,13.5
,Kenyan Drake,MIA,TB,11,45,1,4,30,0,13.5
,Jamaal Williams,GB,BAL,18,65,1,1,10,0,13.5
,Alex Collins,BAL,@GB,18,70,1,0,0,0,13.0
,Alfred Morris,DAL,PHI,18,70,1,0,0,0,13.0
,DeMarco Murray,TEN,@PIT,11,45,1,3,25,0,13.0
,Joe Mixon,CIN,@DEN,13,50,1,2,15,0,12.5
,Dion Lewis,NE,@OAK,13,50,1,0,0,0,11.0
,Tevin Coleman,ATL,@SEA,18,70,0,4,35,0,10.5
,Orleans Darkwa,NYG,KC,16,75,0,2,20,0,9.5
,Lamar Miller,HOU,ARI,16,65,0,3,25,0,9.0
,Isaiah Crowell,CLE,JAC,13,50,0,4,30,0,8.0
,Doug Martin,TB,@MIA,16,55,0,1,10,0,6.5
,C.J. Anderson,DEN,CIN,14,55,0,1,5,0,6.0
,Rex Burkhead,NE,@OAK,7,30,0,4,30,0,6.0
,T.J. Yeldon,JAC,@CLE,8,30,0,4,30,0,6.0
,Ameer Abdullah,DET,@CHI,11,45,0,1,10,0,5.5
,Austin Ekeler,LAC,BUF,8,30,0,3,25,0,5.5
,Duke Johnson,CLE,JAC,6,25,0,4,30,0,5.5
,Thomas Rawls,SEA,ATL,11,45,0,2,10,0,5.5
,Rod Smith,DAL,PHI,7,30,0,3,25,0,5.5
,Damien Williams,MIA,TB,9,35,0,2,20,0,5.5
,Giovani Bernard,CIN,@DEN,6,25,0,3,25,0,5.0
,Derrick Henry,TEN,@PIT,10,40,0,1,10,0,5.0
,Theo Riddick,DET,@CHI,5,20,0,4,30,0,5.0
,Devontae Booker,DEN,CIN,6,25,0,2,20,0,4.5
,J.D. McKissic,SEA,ATL,5,20,0,3,25,0,4.5
,Latavius Murray,MIN,LAR,9,35,0,1,10,0,4.5
,DeAndre Washington,OAK,NE,5,20,0,3,25,0,4.5
,Javorius Allen,BAL,@GB,6,25,0,2,15,0,4.0
,Wayne Gallman,NYG,KC,8,30,0,1,10,0,4.0
,Samaje Perine,WAS,@NO,10,40,0,0,0,0,4.0
,Jalen Richard,OAK,NE,5,20,0,2,20,0,4.0
,Danny Woodhead,BAL,@GB,3,10,0,5,30,0,4.0
,LeGarrette Blount,PHI,@DAL,9,35,0,0,0,0,3.5
,Jamaal Charles,DEN,CIN,5,20,0,2,15,0,3.5
,Tarik Cohen,CHI,DET,4,15,0,2,20,0,3.5
,Marshawn Lynch,OAK,NE,8,35,0,0,0,0,3.5
