Chg,"Player
Sort First: 



		Last:",Team,Opp,Rec,Yard,TD,FFPts
,Travis Kelce,KC,@OAK,6,75,1,13.5
,Zach Ertz,PHI,WAS,6,70,1,13.0
,Rob Gronkowski,NE,ATL,5,70,1,13.0
,Evan Engram,NYG,SEA,6,65,1,12.5
,Hunter Henry,LAC,DEN,7,65,1,12.5
,Jason Witten,DAL,@SF,5,55,1,11.5
,Cameron Brate,TB,@BUF,4,50,1,11.0
,Kyle Rudolph,MIN,BAL,4,50,1,11.0
,Austin Seferian-Jenkins,NYJ,@MIA,5,50,1,11.0
,Delanie Walker,TEN,@CLE,4,50,1,11.0
,Jack Doyle,IND,JAC,4,45,1,10.5
,Jimmy Graham,SEA,@NYG,4,40,1,10.0
,George Kittle,SF,DAL,4,50,0,5.0
,Tyler Kroft,CIN,@PIT,4,45,0,4.5
,Zach Miller,CHI,CAR,4,45,0,4.5
,Nick O'Leary,BUF,TB,4,45,0,4.5
,Ben Watson,BAL,@MIN,4,45,0,4.5
,Vernon Davis,WAS,@PHI,4,40,0,4.0
,Ed Dickson,CAR,@CHI,4,40,0,4.0
,Jordan Reed,WAS,@PHI,4,40,0,4.0
,Martellus Bennett,GB,NO,3,35,0,3.5
,Austin Hooper,ATL,@NE,3,35,0,3.5
,Jesse James,PIT,CIN,3,35,0,3.5
,Jared Cook,OAK,KC,4,30,0,3.0
,A.J. Derby,DEN,@LAC,3,30,0,3.0
,Coby Fleener,NO,@GB,3,30,0,3.0
,David Njoku,CLE,TEN,2,30,0,3.0
,Seth Devalve,CLE,TEN,2,25,0,2.5
,Julius Thomas,MIA,NYJ,2,25,0,2.5
,Gerald Everett,LAR,ARI,2,20,0,2.0
,Antonio Gates,LAC,DEN,2,20,0,2.0
,Jermaine Gresham,ARI,@LAR,2,20,0,2.0
,Marcedes Lewis,JAC,@IND,2,20,0,2.0
,Nick Boyle,BAL,@MIN,1,15,0,1.5
,Tyler Higbee,LAR,ARI,1,15,0,1.5
,Trey Burton,PHI,WAS,1,10,0,1.0
,Brent Celek,PHI,WAS,1,10,0,1.0
,Rhett Ellison,NYG,SEA,1,10,0,1.0
,Virgil Green,DEN,@LAC,1,10,0,1.0
,O.J. Howard,TB,@BUF,1,10,0,1.0
