Chg,"Player
Sort First: 



		Last:",Team,Opp,Rec,Yard,TD,FFPts
,Antonio Brown,PIT,MIN,8,110,1,17.0
,Amari Cooper,OAK,NYJ,8,100,1,16.0
,Mike Evans,TB,CHI,7,100,1,16.0
,Julio Jones,ATL,GB,7,100,1,16.0
,Brandin Cooks,NE,@NO,7,95,1,15.5
,Tyreek Hill,KC,PHI,6,80,0,15.5
,Michael Thomas,NO,NE,6,90,1,15.0
,Doug Baldwin,SEA,SF,7,85,1,14.5
,Larry Fitzgerald,ARI,@IND,8,85,1,14.5
,A.J. Green,CIN,HOU,6,85,1,14.5
,Keenan Allen,LAC,MIA,7,80,1,14.0
,Michael Crabtree,OAK,NYJ,6,80,1,14.0
,DeAndre Hopkins,HOU,@CIN,6,80,1,14.0
,Jordy Nelson,GB,@ATL,6,80,1,14.0
,DeVante Parker,MIA,@LAC,6,80,1,14.0
,Chris Hogan,NE,@NO,6,75,1,13.5
,Golden Tate,DET,@NYG,7,75,1,13.5
,Demaryius Thomas,DEN,DAL,6,75,1,13.5
,Mike Wallace,BAL,CLE,4,65,1,13.5
,Davante Adams,GB,@ATL,5,70,1,13.0
,Kelvin Benjamin,CAR,BUF,6,70,1,13.0
,Jarvis Landry,MIA,@LAC,6,70,1,13.0
,Emmanuel Sanders,DEN,DAL,5,70,1,13.0
,Odell Beckham Jr.,NYG,DET,4,65,1,12.5
,Sammy Watkins,LAR,WAS,4,65,1,12.5
,Martavis Bryant,PIT,MIN,4,60,1,12.0
,Cole Beasley,DAL,@DEN,5,55,1,11.5
,Corey Coleman,CLE,@BAL,4,55,1,11.5
,Kenny Golladay,DET,@NYG,4,55,1,11.5
,Jermaine Kearse,NYJ,@OAK,3,50,1,11.0
,Stefon Diggs,MIN,@PIT,7,85,0,8.5
,Jamison Crowder,WAS,@LAR,6,70,0,7.0
,Rishard Matthews,TEN,@JAC,5,70,0,7.0
,Dez Bryant,DAL,@DEN,5,65,0,6.5
,DeSean Jackson,TB,CHI,5,65,0,6.5
,Robby Anderson,NYJ,@OAK,4,60,0,6.0
,Ted Ginn Jr.,NO,NE,4,60,0,6.0
,T.Y. Hilton,IND,ARI,4,60,0,6.0
,Cooper Kupp,LAR,WAS,6,60,0,6.0
,Terrelle Pryor,WAS,@LAR,4,60,0,6.0
,Adam Thielen,MIN,@PIT,4,60,0,6.0
,Pierre Garcon,SF,@SEA,4,55,0,5.5
,Marqise Lee,JAC,TEN,4,55,0,5.5
,Jeremy Maclin,BAL,CLE,5,55,0,5.5
,Brandon Marshall,NYG,DET,4,55,0,5.5
,Jordan Matthews,BUF,@CAR,4,55,0,5.5
,Tyrell Williams,LAC,MIA,5,55,0,5.5
,Kendall Wright,CHI,@TB,4,55,0,5.5
,Randall Cobb,GB,@ATL,4,50,0,5.0
,Alshon Jeffery,PHI,@KC,5,50,0,5.0
