Name,,Opp,FPts,,Ast,Solo,INT,Sack,FF,FR,TD,,% Own
Darqueze Dennard DB CIN (6),,@BALW 31-27 ,14,,0,2,1,0,0,0,1,,19%
D.J. Swearinger DB WAS (5),,@NYGL 10-18 ,11,,2,9,0,0,1,0,0,,13%
Vonn Bell DB NO (5),,@TBL 24-31 ,11,,1,9,0,1,0,0,0,,31%
Marcus Williams DB NO (5),,@TBL 24-31 ,11,,1,7,2,0,0,0,0,,4%
Reshad Jones DB MIA (1),,BUFL 16-22 ,9,,1,7,0,1,0,0,0,,91%
E.J. Gaines DB BUF (6),,@MIAW 22-16 ,9,,1,7,0,0,1,0,0,,4%
Rontez Miles DB NYJ (11),,@NEL 6-26 ,8,,1,8,0,0,0,0,0,,0%
Byron Jones DB DAL (6),,@PHIW 6-0 ,8,,0,6,0,0,1,0,0,,26%
Bryce Callahan DB CHI (9),,@MINL 10-23 ,8,,0,2,0,0,0,0,0,,0%
Kevin Byard DB TEN (8),,JACW 15-10 ,8,,2,4,2,0,0,0,0,,54%
Kevin Peterson DB LA (8),,SFL 13-34 ,8,,4,4,2,0,0,0,0,,0%
Isaiah Johnson DB TB (1),,NOW 31-24 ,8,,0,1,0,0,0,1,1,,0%
Antonio Hamilton DB OAK (10),,@LACL 10-30 ,8,,0,8,0,0,0,0,0,,0%
Shaquill Griffin DB SEA (6),,ARIL 24-26 ,8,,0,6,1,0,0,0,0,,7%
Mike Adams DB CAR (11),,@ATLL 10-22 ,7,,0,5,0,0,1,0,0,,11%
Devin McCourty DB NE (9),,NYJW 26-6 ,7,,1,7,0,0,0,0,0,,74%
Jaylen Watkins DB PHI (10),,DALL 0-6 ,7,,0,7,0,0,0,0,0,,0%
Kenneth Acker DB KC (10),,@DENW 27-24 ,7,,0,7,0,0,0,0,0,,0%
Adrian Amos DB CHI (9),,@MINL 10-23 ,7,,4,7,0,0,0,0,0,,45%
Deshazor Everett DB WAS (5),,@NYGL 10-18 ,7,,3,7,0,0,0,0,0,,1%
Anthony Brown DB DAL (6),,@PHIW 6-0 ,7,,1,5,0,1,0,0,0,,2%
Maurice Canady DB BAL (10),,CINL 27-31 ,7,,1,7,0,0,0,0,0,,0%
Andrew Adams DB NYG (8),,WASW 18-10 ,7,,0,7,0,0,0,0,0,,0%
Adoree' Jackson DB TEN (8),,JACW 15-10 ,7,,0,5,0,0,1,0,0,,39%
Desmond King DB LAC (9),,OAKW 30-10 ,7,,2,7,0,0,0,0,0,,39%
Reggie Nelson DB OAK (10),,@LACL 10-30 ,6,,3,4,0,0,1,0,0,,20%
Sean Smith DB OAK (10),,@LACL 10-30 ,6,,0,6,0,0,0,0,0,,1%
Glover Quin DB DET (7),,GBW 35-11 ,6,,2,4,0,0,1,0,0,,61%
Barry Church DB JAC (8),,@TENL 10-15 ,6,,1,5,0,0.5,0,0,0,,63%
Eric Reid DB SF (11),,@LAW 34-13 ,6,,0,6,0,0,0,0,0,,21%
Jamar Taylor DB CLE (9),,@PITL 24-28 ,6,,0,6,0,0,0,0,0,,2%
Micah Hyde DB BUF (6),,@MIAW 22-16 ,6,,1,6,0,0,0,0,0,,46%
Tre Boston DB LAC (9),,OAKW 30-10 ,6,,3,4,1,0,0,0,0,,9%
Keith Reaser DB KC (10),,@DENW 27-24 ,6,,0,4,0,1,0,0,0,,0%
Keanu Neal DB ATL (5),,CARW 22-10 ,6,,1,4,1,0,0,0,0,,84%
Sean Davis DB PIT (9),,CLEW 28-24 ,6,,1,2,1,1,0,0,0,,42%
Jabrill Peppers DB CLE (9),,@PITL 24-28 ,6,,0,4,1,0,0,0,0,,32%
Ahkello Witherspoon DB SF (11),,@LAW 34-13 ,6,,0,4,0,0,1,0,0,,0%
Corey Graham DB PHI (10),,DALL 0-6 ,5,,0,5,0,0,0,0,0,,8%
Jason McCourty DB CLE (9),,@PITL 24-28 ,5,,2,5,0,0,0,0,0,,26%
Captain Munnerlyn DB CAR (11),,@ATLL 10-22 ,5,,0,5,0,0,0,0,0,,1%
Earl Thomas DB SEA (6),,ARIL 24-26 ,5,,1,5,0,0,0,0,0,,36%
Prince Amukamara DB CHI (9),,@MINL 10-23 ,5,,1,5,0,0,0,0,0,,3%
Buster Skrine DB NYJ (11),,@NEL 6-26 ,5,,3,5,0,0,0,0,0,,8%
T.J. McDonald DB MIA (1),,BUFL 16-22 ,5,,2,5,0,0,0,0,0,,11%
Tony Jefferson DB BAL (10),,CINL 27-31 ,5,,0,5,0,0,0,0,0,,42%
Dontae Johnson DB SF (11),,@LAW 34-13 ,5,,0,5,0,0,0,0,0,,6%
Terrance Mitchell DB KC (10),,@DENW 27-24 ,5,,0,3,1,0,0,0,0,,26%
Brandon Dixon DB NYG (8),,WASW 18-10 ,5,,2,5,0,0,0,0,0,,0%
Darian Thompson DB NYG (8),,WASW 18-10 ,5,,2,5,0,0,0,0,0,,5%
Daryl Worley DB CAR (11),,@ATLL 10-22 ,5,,2,5,0,0,0,0,0,,6%
Ryan Smith DB TB (1),,NOW 31-24 ,5,,0,5,0,0,0,0,0,,1%
Juston Burris DB NYJ (11),,@NEL 6-26 ,5,,0,5,0,0,0,0,0,,0%
Briean Boddy-Calhoun DB CLE (9),,@PITL 24-28 ,5,,0,5,0,0,0,0,0,,1%
Ken Crawley DB NO (5),,@TBL 24-31 ,5,,1,5,0,0,0,0,0,,3%
Jonathan Jones DB NE (9),,NYJW 26-6 ,5,,0,5,0,0,0,0,0,,0%
Tre'Davious White DB BUF (6),,@MIAW 22-16 ,5,,2,5,0,0,0,0,0,,41%
Eddie Jackson DB CHI (9),,@MINL 10-23 ,5,,6,5,0,0,0,0,0,,29%
Jamal Agnew DB DET (7),,GBW 35-11 ,5,,0,5,0,0,0,0,0,,6%
Adrian Colbert DB SF (11),,@LAW 34-13 ,5,,0,3,0,0,1,0,0,,1%
Marcus Rios DB DEN (5),,KCL 24-27 ,5,,0,5,0,0,0,0,0,,0%
William Gay DB PIT (9),,CLEW 28-24 ,4,,1,2,0,0,1,0,0,,1%
Morgan Burnett DB GB (8),,@DETL 11-35 ,4,,1,4,0,0,0,0,0,,41%
Rafael Bush DB NO (5),,@TBL 24-31 ,4,,1,4,0,0,0,0,0,,1%
Darian Stewart DB DEN (5),,KCL 24-27 ,4,,0,2,1,0,0,0,0,,5%
Patrick Peterson DB ARI (8),,@SEAW 26-24 ,4,,0,4,0,0,0,0,0,,12%
Marcus Gilchrist DB HOU (7),,@INDL 13-22 ,4,,2,4,0,0,0,0,0,,2%
Byron Maxwell DB SEA (6),,ARIL 24-26 ,4,,3,4,0,0,0,0,0,,2%
George Iloka DB CIN (6),,@BALW 31-27 ,4,,2,4,0,0,0,0,0,,4%
Josh Robinson DB TB (1),,NOW 31-24 ,4,,1,2,0,0,1,0,0,,0%
Harrison Smith DB MIN (9),,CHIW 23-10 ,4,,2,4,0,0,0,0,0,,80%
Keith Tandy DB TB (1),,NOW 31-24 ,4,,2,4,0,0,0,0,0,,6%
Tashaun Gipson DB JAC (8),,@TENL 10-15 ,4,,1,4,0,0,0,0,0,,15%
Tyrann Mathieu DB ARI (8),,@SEAW 26-24 ,4,,1,4,0,0,0,0,0,,62%
Robert Alford DB ATL (5),,CARW 22-10 ,4,,0,2,1,0,0,0,0,,10%
Ross Cockrell DB NYG (8),,WASW 18-10 ,4,,0,2,1,0,0,0,0,,0%
T.J. Carrie DB OAK (10),,@LACL 10-30 ,4,,2,4,0,0,0,0,0,,17%
K'Waun Williams DB SF (11),,@LAW 34-13 ,4,,1,3,0,0,0,1,0,,1%
P.J. Williams DB NO (5),,@TBL 24-31 ,4,,0,4,0,0,0,0,0,,3%
Harlan Miller DB ARI (8),,@SEAW 26-24 ,4,,2,4,0,0,0,0,0,,0%
Mike Hilton DB PIT (9),,CLEW 28-24 ,4,,1,4,0,0,0,0,0,,1%
QChidobe Awuzie DB DAL (6),,@PHIW 6-0 ,4,,0,2,1,0,0,0,0,,2%
John Johnson DB LA (8),,SFL 13-34 ,4,,0,4,0,0,0,0,0,,3%
Quincy Wilson DB IND (11),,HOUW 22-13 ,4,,0,2,1,0,0,0,0,,1%
Lenzy Pipkins DB GB (8),,@DETL 11-35 ,4,,1,4,0,0,0,0,0,,0%
Dymonte Thomas DB DEN (5),,KCL 24-27 ,4,,2,4,0,0,0,0,0,,0%
Darrelle Revis DB KC (10),,@DENW 27-24 ,3,,0,3,0,0,0,0,0,,2%
Brandon Carr DB BAL (10),,CINL 27-31 ,3,,0,3,0,0,0,0,0,,4%
Robert McClain DB TB (1),,NOW 31-24 ,3,,1,3,0,0,0,0,0,,2%
