Name,,Opp,FPts,,Ast,Solo,INT,Sack,FF,FR,TD,,% Own
Everson Griffen DL MIN (9),,BALW 24-16 ,11,,0,5,0,2,1,0,0,,78%
Jarran Reed DL SEA (6),,@NYGW 24-7 ,11,,0,7,0,1,1,0,0,,4%
Calais Campbell DL JAC (8),,@INDW 27-0 ,8,,2,2,0,2,1,0,0,,89%
Cameron Wake DL MIA (1),,NYJW 31-28 ,8,,1,3,0,2.5,0,0,0,,43%
Yannick Ngakoue DL JAC (8),,@INDW 27-0 ,8,,1,3,0,2.5,0,0,0,,48%
Malik Jackson DL JAC (8),,@INDW 27-0 ,7,,1,2,0,1.5,1,0,0,,22%
Ryan Davis DL BUF (6),,TBW 30-27 ,7,,0,3,0,1,1,0,0,,0%
Demarcus Lawrence DL DAL (6),,@SFW 40-10 ,7,,1,2,0,1,1,1,0,,82%
OUTDerek Barnett DL PHI (10),,WASW 34-24 ,7,,0,3,0,2,0,0,0,,21%
Domata Peko DL DEN (5),,@LACL 0-21 ,6,,0,4,0,1,0,0,0,,2%
Tyson Alualu DL PIT (9),,CINW 29-14 ,6,,0,4,0,1,0,0,0,,1%
OUTCameron Heyward DL PIT (9),,CINW 29-14 ,6,,0,4,0,1,0,0,0,,50%
Akiem Hicks DL CHI (9),,CARW 17-3 ,6,,1,4,0,1,0,0,0,,52%
Damon Harrison DL NYG (8),,SEAL 7-24 ,6,,1,6,0,0,0,0,0,,36%
Dante Fowler DL JAC (8),,@INDW 27-0 ,6,,1,3,0,1.5,0,0,0,,52%
Eddie Goldman DL CHI (9),,CARW 17-3 ,6,,1,5,0,0.5,0,0,0,,5%
IRHenry Anderson DL IND (11),,JACL 0-27 ,6,,1,2,0,1,1,0,0,,3%
Trey Flowers DL NE (9),,ATLW 23-7 ,6,,1,6,0,0,0,0,0,,44%
IRMatt Longacre DL LA (8),,ARIW 33-0 ,6,,0,2,0,1,1,0,0,,3%
OUTDavid Irving DL DAL (6),,@SFW 40-10 ,6,,1,2,0,1,1,0,0,,27%
Joey Bosa DL LAC (9),,DENW 21-0 ,6,,0,2,0,2,0,0,0,,88%
Mario Addison DL CAR (11),,@CHIL 3-17 ,5,,1,3,0,1,0,0,0,,33%
Tyrone Crawford DL DAL (6),,@SFW 40-10 ,5,,0,2,0,1,0,1,0,,6%
Melvin Ingram DL LAC (9),,DENW 21-0 ,5,,0,3,0,1,0,0,0,,81%
QBrandon Williams DL BAL (10),,@MINL 16-24 ,5,,0,5,0,0,0,0,0,,2%
Terrence Fede DL MIA (1),,NYJW 31-28 ,5,,0,4,0,0,0,1,0,,0%
QDeForest Buckner DL SF (11),,DALL 10-40 ,5,,0,5,0,0,0,0,0,,55%
Myles Garrett DL CLE (9),,TENL 9-12 ,5,,1,3,0,1,0,0,0,,52%
Pat Sims DL CIN (6),,@PITL 14-29 ,4,,4,4,0,0,0,0,0,,0%
Carlos Dunlap DL CIN (6),,@PITL 14-29 ,4,,1,4,0,0,0,0,0,,58%
Cameron Jordan DL NO (5),,@GBW 26-17 ,4,,1,2,0,0,1,0,0,,85%
OUTMuhammad Wilkerson DL NYJ (11),,@MIAL 28-31 ,4,,2,2,1,0,0,0,0,,39%
Kawann Short DL CAR (11),,@CHIL 3-17 ,4,,1,2,0,1,0,0,0,,34%
Bennie Logan DL KC (10),,@OAKL 30-31 ,4,,2,4,0,0,0,0,0,,10%
Aaron Donald DL LA (8),,ARIW 33-0 ,4,,0,2,0,1,0,0,0,,73%
Grady Jarrett DL ATL (5),,@NEL 7-23 ,4,,1,4,0,0,0,0,0,,10%
Sheldon Rankins DL NO (5),,@GBW 26-17 ,4,,1,2,0,0,1,0,0,,5%
OUTAvery Moss DL NYG (8),,SEAL 7-24 ,4,,2,2,0,0,1,0,0,,0%
OUTD.J. Jones DL SF (11),,DALL 10-40 ,4,,0,4,0,0,0,0,0,,0%
Adam Butler DL NE (9),,ATLW 23-7 ,4,,1,2,0,1,0,0,0,,0%
Tom Johnson DL MIN (9),,BALW 24-16 ,3,,1,1,0,1,0,0,0,,0%
Tony McDaniel DL SF (11),,DALL 10-40 ,3,,0,3,0,0,0,0,0,,0%
OUTRobert Ayers DL TB (1),,@BUFL 27-30 ,3,,1,1,0,1,0,0,0,,6%
Michael Johnson DL CIN (6),,@PITL 14-29 ,3,,2,3,0,0,0,0,0,,10%
Chris Baker DL TB (1),,@BUFL 27-30 ,3,,1,3,0,0,0,0,0,,4%
Jason Pierre-Paul DL NYG (8),,SEAL 7-24 ,3,,1,3,0,0,0,0,0,,79%
Kyle Love DL CAR (11),,@CHIL 3-17 ,3,,0,1,0,1,0,0,0,,0%
IRMitch Unrein DL CHI (9),,CARW 17-3 ,3,,1,2,0,0.5,0,0,0,,0%
Marcell Dareus DL BUF (6),,TBW 30-27 ,3,,2,3,0,0,0,0,0,,13%
Mike Daniels DL GB (8),,NOL 17-26 ,3,,0,3,0,0,0,0,0,,16%
Fletcher Cox DL PHI (10),,WASW 34-24 ,3,,0,1,0,1,0,0,0,,43%
QMichael Brockers DL LA (8),,ARIW 33-0 ,3,,1,3,0,0,0,0,0,,30%
Damion Square DL LAC (9),,DENW 21-0 ,3,,0,2,0,0,0,1,0,,0%
Khalil Mack DL OAK (10),,KCW 31-30 ,3,,3,2,0,0.5,0,0,0,,92%
Justin Ellis DL OAK (10),,KCW 31-30 ,3,,4,3,0,0,0,0,0,,2%
IRDaQuan Jones DL TEN (8),,@CLEW 12-9 ,3,,4,3,0,0,0,0,0,,1%
Ethan Westbrooks DL LA (8),,ARIW 33-0 ,3,,0,1,0,1,0,0,0,,1%
Denico Autry DL OAK (10),,KCW 31-30 ,3,,1,2,0,0.5,0,0,0,,1%
QJosh Mauro DL ARI (8),,@LAL 0-33 ,3,,0,3,0,0,0,0,0,,0%
Danielle Hunter DL MIN (9),,BALW 24-16 ,3,,1,1,0,1,0,0,0,,50%
Sheldon Day DL JAC (8),,@INDW 27-0 ,3,,0,1,0,1,0,0,0,,0%
Charles Harris DL MIA (1),,NYJW 31-28 ,3,,0,3,0,0,0,0,0,,5%
Julius Peppers DL CAR (11),,@CHIL 3-17 ,2,,0,2,0,0,0,0,0,,38%
Frostee Rucker DL ARI (8),,@LAL 0-33 ,2,,0,2,0,0,0,0,0,,1%
Chris Long DL PHI (10),,WASW 34-24 ,2,,0,2,0,0,0,0,0,,5%
Steve McLendon DL NYJ (11),,@MIAL 28-31 ,2,,0,2,0,0,0,0,0,,2%
Linval Joseph DL MIN (9),,BALW 24-16 ,2,,2,2,0,0,0,0,0,,34%
Al Woods DL IND (11),,JACL 0-27 ,2,,2,2,0,0,0,0,0,,1%
IRDerek Wolfe DL DEN (5),,@LACL 0-21 ,2,,1,2,0,0,0,0,0,,11%
Dontari Poe DL ATL (5),,@NEL 7-23 ,2,,2,2,0,0,0,0,0,,4%
OUTJohnathan Hankins DL IND (11),,JACL 0-27 ,2,,1,2,0,0,0,0,0,,4%
Quinton Dial DL GB (8),,NOL 17-26 ,2,,1,2,0,0,0,0,0,,0%
William Gholston DL TB (1),,@BUFL 27-30 ,2,,0,2,0,0,0,0,0,,7%
QJay Bromley DL NYG (8),,SEAL 7-24 ,2,,0,2,0,0,0,0,0,,0%
Shelby Harris DL DEN (5),,@LACL 0-21 ,2,,0,2,0,0,0,0,0,,1%
