Name,,Opp,FPts,,Solo,INT,Sack,FF,FR,TD,,Pts,Yd,,% Own
Jacksonville Jaguars D/ST JAC (8),,@PITW 30-9 ,28,,48,5,2,0,0,2,,9,371,,91%
Miami Dolphins D/ST MIA (1),,TENW 16-10 ,24,,46,0,6,2,2,1,,10,188,,11%
Baltimore Ravens D/ST BAL (10),,@OAKW 30-17 ,17,,34,0,3,1,1,1,,17,245,,88%
Carolina Panthers D/ST CAR (11),,@DETW 27-24 ,17,,37,0,6,2,1,0,,24,242,,73%
Los Angeles Chargers D/ST LAC (9),,@NYGW 27-22 ,17,,58,1,5,2,1,0,,22,335,,62%
Cincinnati Bengals D/ST CIN (6),,BUFW 20-16 ,16,,47,1,6,1,0,0,,16,221,,32%
Kansas City Chiefs D/ST KC (10),,@HOUW 42-34 ,15,,33,0,3,1,1,0,,34,392,,74%
Chicago Bears D/ST CHI (9),,MINL 17-20 ,14,,55,0,4,1,0,0,,20,300,,48%
Green Bay Packers D/ST GB (8),,@DALW 35-31 ,14,,47,1,1,1,2,1,,31,408,,29%
Seattle Seahawks D/ST SEA (6),,@LAW 16-10 ,14,,44,2,2,2,2,0,,10,375,,87%
San Francisco 49ers D/ST SF (11),,@INDL 23-26 ,14,,41,1,4,2,0,0,,26,447,,6%
Dallas Cowboys D/ST DAL (6),,GBL 31-35 ,11,,34,0,4,1,1,0,,35,342,,22%
Tampa Bay Buccaneers D/ST TB (1),,NEL 14-19 ,11,,58,1,3,1,1,0,,19,402,,14%
Cleveland Browns D/ST CLE (9),,NYJL 14-17 ,10,,42,1,3,1,0,0,,17,212,,4%
Los Angeles Rams D/ST LA (8),,SEAL 10-16 ,10,,49,2,3,0,0,0,,16,241,,87%
Buffalo Bills D/ST BUF (6),,@CINL 16-20 ,9,,37,2,1,1,1,0,,20,388,,33%
New York Jets D/ST NYJ (11),,@CLEW 17-14 ,9,,50,2,1,1,1,0,,14,419,,9%
Detroit Lions D/ST DET (7),,CARL 24-27 ,8,,51,0,3,1,0,0,,27,362,,57%
New York Giants D/ST NYG (8),,LACL 22-27 ,8,,51,1,0,1,0,0,,27,382,,36%
Minnesota Vikings D/ST MIN (9),,@CHIW 20-17 ,7,,46,1,1,1,1,0,,17,274,,81%
Tennessee Titans D/ST TEN (8),,@MIAL 10-16 ,7,,42,1,1,1,1,0,,16,178,,16%
Philadelphia Eagles D/ST PHI (10),,ARIW 34-7 ,6,,42,0,2,1,0,0,,7,307,,73%
Pittsburgh Steelers D/ST PIT (9),,JACL 9-30 ,6,,40,1,2,0,0,0,,30,313,,73%
Arizona Cardinals D/ST ARI (8),,@PHIL 7-34 ,4,,37,1,1,0,0,0,,34,419,,56%
Houston Texans D/ST HOU (7),,KCL 34-42 ,4,,53,0,1,1,0,0,,42,450,,73%
Indianapolis Colts D/ST IND (11),,SFW 26-23 ,4,,44,0,2,0,0,0,,23,402,,4%
New England Patriots D/ST NE (9),,@TBW 19-14 ,4,,50,0,2,0,0,0,,14,409,,68%
Oakland Raiders D/ST OAK (10),,BALL 17-30 ,2,,47,0,0,1,0,0,,30,365,,13%
