Name,,Opp,FPts,,FG,Att,%,XP,Att,%,,% Own
Ryan Succop K TEN (8),,INDW 36-22 ,21,,5,5,5/5,3,3,3/3,,62%
Aldrick Rosas K NYG (8),,@DENW 23-10 ,15,,3,4,3/4,2,2,2/2,,2%
Kai Forbath K MIN (9),,GBW 23-10 ,14,,3,3,3/3,2,2,2/2,,51%
Adam Vinatieri K IND (11),,@TENL 22-36 ,13,,3,3,3/3,1,2,1/2,,57%
Justin Tucker K BAL (10),,CHIL 24-27 ,13,,3,3,3/3,1,1,1/1,,88%
Graham Gano K CAR (11),,PHIL 23-28 ,12,,3,3,3/3,2,2,2/2,,35%
IRGreg Zuerlein K LA (8),,@JACW 27-17 ,12,,2,2,2/2,3,3,3/3,,60%
Jake Elliott K PHI (10),,@CARW 28-23 ,12,,2,2,2/2,2,2,2/2,,58%
Wil Lutz K NO (5),,DETW 52-38 ,11,,1,1,1/1,7,7,7/7,,83%
Connor Barth K CHI (9),,@BALW 27-24 ,10,,2,2,2/2,3,3,3/3,,2%
Robbie Gould K SF (11),,@WASL 24-26 ,9,,1,2,1/2,3,3,3/3,,38%
Matt Prater K DET (7),,@NOL 38-52 ,9,,1,2,1/2,5,5,5/5,,82%
Dustin Hopkins K WAS (5),,SFW 26-24 ,9,,2,2,2/2,2,3,2/3,,26%
Cody Parkey K MIA (1),,@ATLW 20-17 ,9,,2,2,2/2,2,2,2/2,,3%
Phil Dawson K ARI (8),,TBW 38-33 ,8,,1,1,1/1,5,5,5/5,,12%
Matt Bryant K ATL (5),,MIAL 17-20 ,8,,1,2,1/2,2,2,2/2,,83%
Harrison Butker K KC (10),,PITL 13-19 ,8,,2,2,2/2,1,1,1/1,,50%
Stephen Gostkowski K NE (9),,@NYJW 24-17 ,6,,1,2,1/2,3,3,3/3,,96%
Jason Myers K JAC (8),,LAL 17-27 ,6,,1,3,1/3,2,2,2/2,,2%
Ka'imi Fairbairn K HOU (7),,CLEW 33-17 ,6,,1,1,1/1,2,3,2/3,,10%
Zane Gonzalez K CLE (9),,@HOUL 17-33 ,6,,1,1,1/1,2,2,2/2,,2%
IRNick Novak K LAC (9),,@OAKW 17-16 ,5,,1,2,1/2,2,2,2/2,,4%
Giorgio Tavecchio K OAK (10),,LACL 16-17 ,5,,1,1,1/1,1,2,1/2,,15%
Chandler Catanzaro K NYJ (11),,NEL 17-24 ,5,,1,1,1/1,2,2,2/2,,18%
Chris Boswell K PIT (9),,@KCW 19-13 ,5,,1,1,1/1,2,2,2/2,,70%
Mason Crosby K GB (8),,@MINL 10-23 ,4,,1,1,1/1,1,1,1/1,,49%
Brandon McManus K DEN (5),,NYGL 10-23 ,4,,1,3,1/3,1,1,1/1,,28%
Patrick Murray K TB (1),,@ARIL 33-38 ,1,,0,0,0/0,1,1,1/1,,3%
Matt Bosher K ATL (5),,MIAL 17-20 ,0,,0,0,0/0,0,0,0/0,,0%
Rigoberto Sanchez K IND (11),,@TENL 22-36 ,0,,0,0,0/0,0,0,0/0,,0%
