Name,,Opp,FPts,,Cmp,Att,%,Yd,TD,INT,Rat,,Att,Yd,TD,,% Own
Kirk Cousins QB WAS (5),,SFW 26-24 ,34.1,,25,37,25/37,330,2,1,102.3,,4,26,1,,92%
IRJosh McCown QB NYJ (11),,NEL 17-24 ,26.8,,31,47,31/47,354,2,2,84.9,,3,21,0,,35%
IRDeshaun Watson QB HOU (7),,CLEW 33-17 ,25.55,,17,29,17/29,225,3,1-1,103.4,,6,23,0,,45%
Cam Newton QB CAR (11),,PHIL 23-28 ,25.05,,28,52,28/52,239,1,3,48.5,,11,71,1,,96%
Ryan Fitzpatrick QB TB (1),,@ARIL 33-38 ,23.7,,22,32,22/32,290,3,2,102.3,,2,12,0,,11%
IRCarson Wentz QB PHI (10),,@CARW 28-23 ,23.6,,16,30,16/30,222,3,0,110.7,,6,25,0,,77%
Matthew Stafford QB DET (7),,@NOL 38-52 ,23,,25,52,25/52,312,3,3-2,62.3,,2,4,0,,94%
IRCarson Palmer QB ARI (8),,TBW 38-33 ,22.75,,18,22,18/22,283,3,1,139.4,,5,-4,0,,41%
IRTrevor Siemian QB DEN (5),,NYGL 10-23 ,21.7,,29,50,29/50,376,1,2-1,71.8,,1,9,0,,18%
Marcus Mariota QB TEN (8),,INDW 36-22 ,20.3,,23,32,23/32,306,1,1-1,99.2,,2,0,0,,81%
Alex Smith QB KC (10),,PITL 13-19 ,19.6,,19,34,19/34,246,1,0,88.6,,4,13,0,,87%
Philip Rivers QB LAC (9),,@OAKW 17-16 ,19,,25,36,25/36,268,1,0,100.2,,2,-4,0,,93%
Tom Brady QB NE (9),,@NYJW 24-17 ,18.75,,20,38,20/38,257,2,1,80.7,,1,-1,0,,99%
C.J. Beathard QB SF (11),,@WASL 24-26 ,17.65,,19,36,19/36,245,1,1,72.1,,1,14,0,,8%
OUTBen Roethlisberger QB PIT (9),,@KCW 19-13 ,16.4,,17,25,17/25,252,1,1,97.4,,2,-2,0,,95%
Matt Ryan QB ATL (5),,MIAL 17-20 ,16.4,,24,35,24/35,248,1,1,86.4,,0,0,0,,95%
Jacoby Brissett QB IND (11),,@TENL 22-36 ,16.1,,21,37,21/37,212,1,0,82.3,,4,15,0,,30%
Case Keenum QB MIN (9),,GBW 23-10 ,15.45,,24,38,24/38,239,1,1,78.7,,2,15,0,,63%
Blake Bortles QB JAC (8),,LAL 17-27 ,13.95,,23,35,23/35,241,1,1,83.2,,2,19,0,,63%
Jay Cutler QB MIA (1),,@ATLW 20-17 ,13.45,,19,33,19/33,151,2,1,76.7,,1,-1,0,,32%
Drew Brees QB NO (5),,DETW 52-38 ,13.4,,20,30,20/30,186,2,2-1,77.9,,1,1,0,,98%
Jared Goff QB LA (8),,@JACW 27-17 ,11.1,,11,21,11/21,124,1,0,86.2,,4,9,0,,80%
Mitchell Trubisky QB CHI (9),,@BALW 27-24 ,9.85,,8,16,8/16,113,1,0,94,,4,32,0,,23%
Eli Manning QB NYG (8),,@DENW 23-10 ,9.4,,11,19,11/19,128,1,0,95.9,,1,0,0,,58%
Kevin Hogan QB CLE (9),,@HOUL 17-33 ,7.6,,20,37,20/37,140,1,3-1,38.1,,5,36,0,,1%
Derek Carr QB OAK (10),,LACL 16-17 ,7.55,,21,30,21/30,171,1,2,67.5,,1,0,0,,86%
Joe Flacco QB BAL (10),,CHIL 24-27 ,7.2,,24,41,24/41,180,0,2-1,48.8,,1,2,0,,43%
Brett Hundley QB GB (8),,@MINL 10-23 ,5.15,,18,33,18/33,157,1,3,39.6,,1,3,0,,15%
Jameis Winston QB TB (1),,@ARIL 33-38 ,3.05,,5,10,5/10,61,0,0,69.2,,0,0,0,,77%
Brian Hoyer QB SF (11),,@WASL 24-26 ,1.7,,4,11,4/11,34,0,0,45.3,,0,0,0,,8%
IRAaron Rodgers QB GB (8),,@MINL 10-23 ,0.9,,2,4,2/4,18,0,0,62.5,,0,0,0,,82%
Brock Osweiler QB DEN (5),,NYGL 10-23 ,0.8,,2,4,2/4,18,0,0,62.5,,1,-1,0,,8%
