Name,,Opp,FPts,,Att,Yd,TD,,Rec,Tar,Yd,TD,,Fum,TD,Yd,,% Own
Alvin Kamara RB NO (5),,CARW 31-21 ,24.6,,9,60,2,,5,6,66,0,,0,2,126,,89%
OUTLe'Veon Bell RB PIT (9),,@CINW 23-20 ,24.2,,18,76,0,,5,6,106,1,,0,1,182,,98%
OUTRex Burkhead RB NE (9),,@BUFW 23-3 ,22.3,,12,78,2,,3,4,25,0,,0,2,120,,62%
Kenyan Drake RB MIA (1),,DENW 35-9 ,22.1,,23,120,1,,3,5,21,0,,0,1,141,,67%
Alex Collins RB BAL (10),,DETW 44-20 ,21.8,,15,75,2,,2,2,23,0,,0,2,98,,72%
Marshawn Lynch RB OAK (10),,NYGW 24-17 ,20.1,,17,101,1,,2,3,20,0,,0,1,121,,91%
Alfred Morris RB DAL (6),,WASW 38-14 ,18.7,,27,127,1,,0,1,0,0,,0,1,127,,48%
Jamaal Williams RB GB (8),,TBW 26-20 ,18.3,,21,113,1,,2,3,10,0,,0,1,123,,74%
Mark Ingram RB NO (5),,CARW 31-21 ,18.2,,14,85,1,,6,7,37,0,,0,1,122,,97%
Derrick Henry RB TEN (8),,HOUW 24-13 ,17.9,,11,109,1,,0,0,0,0,,1,1,109,,79%
Todd Gurley RB LA (8),,@ARIW 32-16 ,15.8,,19,74,0,,6,7,84,0,,0,0,158,,97%
IRMatt Forte RB NYJ (11),,KCW 38-31 ,15.1,,15,58,0,,3,3,33,1,,0,1,91,,64%
Peyton Barber RB TB (1),,@GBL 20-26 ,14.3,,23,102,0,,4,4,41,0,,0,0,143,,23%
Leonard Fournette RB JAC (8),,INDW 30-10 ,13.9,,20,57,1,,3,4,22,0,,0,1,79,,92%
QTheo Riddick RB DET (7),,@BALL 20-44 ,12.2,,9,21,1,,5,5,41,0,,0,1,62,,65%
Jerick McKinnon RB MIN (9),,@ATLW 14-9 ,11.2,,9,24,0,,5,5,28,1,,0,1,52,,72%
Tion Green RB DET (7),,@BALL 20-44 ,11.1,,11,51,1,,0,0,0,0,,0,1,51,,5%
Bilal Powell RB NYJ (11),,KCW 38-31 ,11,,18,48,1,,2,3,2,0,,0,1,50,,75%
C.J. Anderson RB DEN (5),,@MIAL 9-35 ,11,,15,67,0,,4,7,43,0,,0,0,110,,88%
Christian McCaffrey RB CAR (11),,@NOL 21-31 ,10.9,,6,16,0,,5,6,33,1,,0,1,49,,91%
Melvin Gordon RB LAC (9),,CLEW 19-10 ,10.6,,19,77,0,,4,4,29,0,,0,0,106,,96%
Jonathan Stewart RB CAR (11),,@NOL 21-31 ,10.5,,11,45,1,,0,1,0,0,,0,1,45,,75%
Tarik Cohen RB CHI (9),,SFL 14-15 ,10.4,,2,5,0,,4,4,39,0,,0,1,114,,51%
LeSean McCoy RB BUF (6),,NEL 3-23 ,10.2,,15,93,0,,2,5,9,0,,0,0,102,,98%
Mike Davis RB SEA (6),,PHIW 24-10 ,10.1,,16,64,0,,4,4,37,0,,0,0,101,,27%
Kerwynn Williams RB ARI (8),,LAL 16-32 ,9.7,,16,97,0,,0,0,0,0,,0,0,97,,17%
Latavius Murray RB MIN (9),,@ATLW 14-9 ,9.7,,16,76,0,,3,3,21,0,,0,0,97,,82%
Giovani Bernard RB CIN (6),,PITL 20-23 ,9.6,,13,77,0,,2,3,19,0,,0,0,96,,58%
Lamar Miller RB HOU (7),,@TENL 13-24 ,9.4,,15,56,0,,4,4,38,0,,0,0,94,,96%
Dion Lewis RB NE (9),,@BUFW 23-3 ,9.2,,15,92,0,,0,0,0,0,,0,0,92,,76%
Orleans Darkwa RB NYG (8),,@OAKL 17-24 ,9.1,,14,32,1,,1,1,-1,0,,0,1,31,,45%
OUTRod Smith RB DAL (6),,WASW 38-14 ,8.7,,10,27,1,,0,1,0,0,,0,1,27,,20%
Devonta Freeman RB ATL (5),,MINL 9-14 ,8.1,,12,74,0,,1,2,7,0,,0,0,81,,97%
OUTAaron Jones RB GB (8),,TBW 26-20 ,8,,1,20,1,,0,0,0,0,,0,1,20,,39%
OUTDeMarco Murray RB TEN (8),,HOUW 24-13 ,7.9,,11,66,0,,2,2,13,0,,0,0,79,,95%
DeAndre Washington RB OAK (10),,NYGW 24-17 ,7.6,,6,16,1,,0,0,0,0,,0,1,45,,18%
J.D. McKissic RB SEA (6),,PHIW 24-10 ,7.4,,1,-1,0,,1,3,15,1,,0,1,14,,14%
QSamaje Perine RB WAS (5),,@DALL 14-38 ,6.9,,12,38,0,,3,3,31,0,,0,0,69,,74%
Carlos Hyde RB SF (11),,@CHIW 15-14 ,6.6,,17,54,0,,3,5,12,0,,0,0,66,,95%
Elijhaa Penny RB ARI (8),,LAL 16-32 ,6.4,,2,4,1,,0,0,0,0,,0,1,4,,2%
Kareem Hunt RB KC (10),,@NYJL 31-38 ,6.3,,9,40,0,,3,5,23,0,,0,0,63,,92%
Senorise Perry RB MIA (1),,DENW 35-9 ,6.2,,5,22,0,,0,0,0,0,,0,0,42,,0%
Marlon Mack RB IND (11),,@JACL 10-30 ,5.4,,6,46,0,,1,2,8,0,,0,0,54,,34%
