Name,,Opp,FPts,,Att,Yd,TD,,Rec,Tar,Yd,TD,,Fum,TD,Yd,,% Own
IRJulius Thomas TE MIA (1),,OAKL 24-27 ,14.4,,0,0,0,,6,8,84,1,,0,1,84,,45%
QTravis Kelce TE KC (10),,@DALL 17-28 ,13.3,,0,0,0,,7,9,73,1,,0,1,73,,97%
OUTEvan Engram TE NYG (8),,LAL 17-51 ,13,,0,0,0,,4,10,70,1,,0,1,70,,83%
Jared Cook TE OAK (10),,@MIAW 27-24 ,12.6,,0,0,0,,8,9,126,0,,0,0,126,,63%
Trey Burton TE PHI (10),,DENW 51-23 ,10.1,,0,0,0,,2,4,41,1,,0,1,41,,11%
OUTJermaine Gresham TE ARI (8),,@SFW 20-10 ,8.3,,0,0,0,,2,3,23,1,,0,1,23,,7%
Tyler Kroft TE CIN (6),,@JACL 7-23 ,7.9,,0,0,0,,2,2,79,0,,0,0,79,,39%
Luke Stocker TE TB (1),,@NOL 10-30 ,7.3,,0,0,0,,2,2,13,1,,0,1,13,,0%
Vernon Davis TE WAS (5),,@SEAW 17-14 ,7.2,,0,0,0,,6,9,72,0,,0,0,72,,49%
Delanie Walker TE TEN (8),,BALW 23-20 ,7.1,,0,0,0,,5,5,71,0,,0,0,71,,93%
Luke Willson TE SEA (6),,WASL 14-17 ,7,,0,0,0,,1,2,10,1,,0,1,10,,2%
Tyler Higbee TE LA (8),,@NYGW 51-17 ,6.8,,0,0,0,,1,2,8,1,,0,1,8,,7%
Jack Doyle TE IND (11),,@HOUW 20-14 ,6.3,,0,0,0,,8,9,63,0,,0,0,63,,79%
Jimmy Graham TE SEA (6),,WASL 14-17 ,5.9,,0,0,0,,5,8,59,0,,0,0,59,,96%
Gerald Everett TE LA (8),,@NYGW 51-17 ,5.7,,1,13,0,,1,2,44,0,,0,0,57,,11%
Marcedes Lewis TE JAC (8),,CINW 23-7 ,4.9,,0,0,0,,3,6,49,0,,0,0,49,,16%
IRCoby Fleener TE NO (5),,TBW 30-10 ,4.6,,0,0,0,,2,2,46,0,,0,0,46,,44%
Stephen Anderson TE HOU (7),,INDL 14-20 ,4.4,,0,0,0,,4,6,44,0,,0,0,44,,10%
Benjamin Watson TE BAL (10),,@TENL 20-23 ,4.1,,0,0,0,,7,10,41,0,,0,0,41,,28%
Brent Celek TE PHI (10),,DENW 51-23 ,3.9,,0,0,0,,3,4,39,0,,0,0,39,,2%
Austin Hooper TE ATL (5),,@CARL 17-20 ,3.6,,0,0,0,,3,6,36,0,,0,0,36,,68%
Eric Ebron TE DET (7),,@GBW 30-17 ,3.5,,0,0,0,,3,4,35,0,,0,0,35,,63%
Lance Kendricks TE GB (8),,DETL 17-30 ,3.2,,0,0,0,,2,3,32,0,,0,0,32,,4%
Nick O'Leary TE BUF (6),,@NYJL 21-34 ,3.1,,0,0,0,,4,5,51,0,,1-1,0,51,,2%
Maxx Williams TE BAL (10),,@TENL 20-23 ,2.9,,0,0,0,,3,3,29,0,,0,0,29,,3%
George Kittle TE SF (11),,ARIL 10-20 ,2.7,,0,0,0,,3,5,27,0,,0,0,27,,13%
Logan Thomas TE BUF (6),,@NYJL 21-34 ,2.5,,0,0,0,,2,3,25,0,,0,0,25,,0%
Rhett Ellison TE NYG (8),,LAL 17-51 ,2.1,,0,0,0,,2,2,21,0,,0,0,21,,0%
IRBrandon Williams TE IND (11),,@HOUW 20-14 ,2,,0,0,0,,2,2,20,0,,0,0,20,,0%
OUTAustin Seferian-Jenkins TE NYJ (11),,BUFW 34-21 ,2,,0,0,0,,2,2,20,0,,0,0,20,,40%
Troy Niklas TE ARI (8),,@SFW 20-10 ,1.6,,0,0,0,,1,3,16,0,,0,0,16,,0%
Garrett Celek TE SF (11),,ARIL 10-20 ,1.3,,0,0,0,,1,4,13,0,,0,0,13,,5%
A.J. Derby TE DEN (5),,@PHIL 23-51 ,1.1,,0,0,0,,1,3,11,0,,0,0,11,,4%
Darren Fells TE DET (7),,@GBW 30-17 ,1,,0,0,0,,1,1,10,0,,0,0,10,,4%
Anthony Fasano TE MIA (1),,OAKL 24-27 ,0.9,,0,0,0,,2,2,9,0,,0,0,9,,1%
Cameron Brate TE TB (1),,@NOL 10-30 ,0.9,,0,0,0,,1,4,9,0,,0,0,9,,76%
Levine Toilolo TE ATL (5),,@CARL 17-20 ,0.8,,0,0,0,,1,1,8,0,,0,0,8,,1%
James O'Shaughnessy TE JAC (8),,CINW 23-7 ,0.6,,0,0,0,,1,1,6,0,,0,0,6,,0%
Eric Tomlinson TE NYJ (11),,BUFW 34-21 ,0.6,,0,0,0,,1,2,6,0,,0,0,6,,0%
Jason Witten TE DAL (6),,KCW 28-17 ,0.5,,0,0,0,,1,1,5,0,,0,0,5,,86%
Derek Carrier TE LA (8),,@NYGW 51-17 ,0.5,,0,0,0,,1,1,5,0,,0,0,5,,0%
OUTRichard Rodgers TE GB (8),,DETL 17-30 ,0.5,,0,0,0,,1,2,5,0,,0,0,5,,3%
MarQueis Gray TE MIA (1),,OAKL 24-27 ,0.3,,1,3,0,,0,0,0,0,,0,0,3,,0%
Ross Travis TE KC (10),,@DALL 17-28 ,0.3,,0,0,0,,1,2,3,0,,0,0,3,,0%
Ed Dickson TE CAR (11),,ATLW 20-17 ,0,,0,0,0,,0,2,0,0,,0,0,0,,15%
James Hanna TE DAL (6),,KCW 28-17 ,0,,0,0,0,,0,1,0,0,,0,0,0,,0%
IRIfeanyi Momah TE ARI (8),,@SFW 20-10 ,0,,0,0,0,,0,0,0,0,,0,0,0,,0%
Demetrius Harris TE KC (10),,@DALL 17-28 ,0,,0,0,0,,0,1,0,0,,0,0,0,,1%
Jeff Heuerman TE DEN (5),,@PHIL 23-51 ,0,,0,0,0,,0,1,0,0,,0,0,0,,1%
C.J. Uzomah TE CIN (6),,@JACL 7-23 ,0,,0,0,0,,0,1,0,0,,0,0,0,,0%
Jonnu Smith TE TEN (8),,BALW 23-20 ,0,,0,0,0,,0,1,0,0,,0,0,0,,8%
Jeremy Sprinkle TE WAS (5),,@SEAW 17-14 ,0,,0,0,0,,0,1,0,0,,0,0,0,,1%
IRO.J. Howard TE TB (1),,@NOL 10-30 ,-1.4,,0,0,0,,1,2,6,0,,1-1,0,6,,38%
