Name,,Opp,FPts,,Att,Yd,TD,,Rec,Tar,Yd,TD,,Fum,TD,Yd,,% Own
Julio Jones WR ATL (5),,TBW 34-20 ,43.8,,1,15,0,,12,15,253,2,,0,2,268,,98%
OUTAntonio Brown WR PIT (9),,GBW 31-28 ,33.9,,0,0,0,,10,12,169,2,,0,2,178,,95%
QRobby Anderson WR NYJ (11),,CARL 27-35 ,28.6,,0,0,0,,6,10,146,2,,0,2,146,,79%
Keenan Allen WR LAC (9),,@DALW 28-6 ,28.2,,0,0,0,,11,14,172,1,,0,1,172,,95%
Marvin Jones WR DET (7),,MINL 23-30 ,24.9,,0,0,0,,6,9,109,2,,0,2,109,,91%
Jamison Crowder WR WAS (5),,NYGW 20-10 ,20.1,,0,0,0,,7,10,141,1,,0,1,161,,74%
Jermaine Kearse WR NYJ (11),,CARL 27-35 ,16.5,,0,0,0,,7,11,105,1,,0,1,105,,49%
OUTDavante Adams WR GB (8),,@PITL 28-31 ,16.2,,0,0,0,,5,8,82,1,,0,1,82,,91%
Brandin Cooks WR NE (9),,MIAW 35-17 ,15.4,,1,11,0,,6,7,83,1,,0,1,94,,97%
Nelson Agholor WR PHI (10),,CHIW 31-3 ,15.2,,0,0,0,,3,6,32,1,,0,2,32,,74%
Mohamed Sanu WR ATL (5),,TBW 34-20 ,14.95,,0,0,0,,8,9,64,0,,0,1,64,,57%
Sammy Watkins WR LA (8),,NOW 26-20 ,14.2,,0,0,0,,4,9,82,1,,0,1,82,,85%
Jaron Brown WR ARI (8),,JACW 27-24 ,13.2,,0,0,0,,1,1,52,1,,0,1,52,,11%
OUTDeAndre Hopkins WR HOU (7),,@BALL 16-23 ,12.5,,0,0,0,,7,10,125,0,,0,0,125,,97%
Randall Cobb WR GB (8),,@PITL 28-31 ,11.8,,0,0,0,,4,4,58,1,,0,1,58,,68%
Tyrell Williams WR LAC (9),,@DALW 28-6 ,11.8,,0,0,0,,2,3,58,1,,0,1,58,,54%
Cooper Kupp WR LA (8),,NOW 26-20 ,11.6,,0,0,0,,8,11,116,0,,0,0,116,,61%
Alshon Jeffery WR PHI (10),,CHIW 31-3 ,11.2,,0,0,0,,5,9,52,1,,0,1,52,,96%
OUTCody Latimer WR DEN (5),,@OAKL 14-21 ,10.8,,0,0,0,,3,4,48,1,,0,1,48,,3%
QDevin Funchess WR CAR (11),,@NYJW 35-27 ,10.8,,0,0,0,,7,12,108,0,,0,0,108,,82%
Martavis Bryant WR PIT (9),,GBW 31-28 ,10.1,,1,1,0,,4,6,40,1,,0,1,99,,73%
Josh Reynolds WR LA (8),,NOW 26-20 ,9.7,,0,0,0,,4,6,37,1,,0,1,37,,6%
Albert Wilson WR KC (10),,BUFL 10-16 ,9.6,,0,0,0,,3,7,36,1,,0,1,36,,6%
Bennie Fowler WR DEN (5),,@OAKL 14-21 ,9.3,,0,0,0,,3,4,33,1,,0,1,33,,7%
Zay Jones WR BUF (6),,@KCW 16-10 ,9.3,,0,0,0,,3,10,33,1,,0,1,33,,35%
Adam Thielen WR MIN (9),,@DETW 30-23 ,8.9,,0,0,0,,8,11,89,0,,0,0,89,,91%
Kaelin Clay WR CAR (11),,@NYJW 35-27 ,8.9,,1,29,0,,0,3,0,0,,0,1,102,,0%
Josh Doctson WR WAS (5),,NYGW 20-10 ,8.8,,0,0,0,,2,4,28,1,,0,1,28,,50%
QMarquise Goodwin WR SF (11),,SEAL 13-24 ,7.8,,0,0,0,,4,6,78,0,,0,0,78,,52%
Mike Evans WR TB (1),,@ATLL 20-34 ,7.8,,0,0,0,,6,12,78,0,,0,0,78,,96%
Tyler Boyd WR CIN (6),,CLEW 30-16 ,7.7,,0,0,0,,2,2,17,1,,0,1,17,,8%
Stefon Diggs WR MIN (9),,@DETW 30-23 ,7.5,,1,9,0,,5,7,66,0,,0,0,75,,92%
Louis Murphy WR SF (11),,SEAL 13-24 ,7.4,,0,0,0,,2,4,14,1,,0,1,14,,0%
Cordarrelle Patterson WR OAK (10),,DENW 21-14 ,7.2,,0,0,0,,3,4,72,0,,0,0,77,,11%
Ted Ginn WR NO (5),,@LAL 20-26 ,7.1,,0,0,0,,7,11,71,0,,0,0,71,,69%
Paul Richardson WR SEA (6),,@SFW 24-13 ,7,,0,0,0,,4,7,70,0,,0,0,70,,50%
Amari Cooper WR OAK (10),,DENW 21-14 ,6.9,,0,0,0,,1,1,9,1,,0,1,9,,89%
A.J. Green WR CIN (6),,CLEW 30-16 ,6.6,,0,0,0,,5,8,66,0,,0,0,66,,98%
Corey Coleman WR CLE (9),,@CINL 16-30 ,6.4,,0,0,0,,3,8,64,0,,0,0,64,,51%
Dontrelle Inman WR CHI (9),,@PHIL 3-31 ,6.4,,0,0,0,,4,9,64,0,,0,0,64,,12%
