Team,Opp,Sack,Int,Fum Rec,Saf,TD,Def 2pt Ret,TD,Pts Allow,Points
Minnesota Vikings DEF,TB,2.39,1.17,0.75,0.03,0.15,-,0.03,20.63,7.37
New England Patriots DEF,HOU,2.62,1.05,0.63,0.03,0.16,-,0.03,18.84,7.18
Cleveland Browns DEF,@IND,2.51,1.05,0.76,0.03,0.12,-,0.03,22.42,7.09
Denver Broncos DEF,@BUF,2.67,0.96,0.69,0.04,0.12,-,0.03,19.99,6.95
Pittsburgh Steelers DEF,@CHI,2.32,1.07,0.69,0.03,0.14,-,0.03,19.87,6.92
Indianapolis Colts DEF,CLE,2.62,1,0.61,0.03,0.13,-,0.03,20.7,6.86
Buffalo Bills DEF View Videos,DEN,2.74,0.99,0.6,0.03,0.12,-,0.02,21.26,6.82
Tampa Bay Buccaneers DEF,@MIN,2.6,1,0.64,0.03,0.11,-,0.03,20.24,6.78
New York Giants DEF,@PHI,2.12,1.11,0.66,0.03,0.13,-,0.03,21.41,6.68
New York Jets DEF,MIA,2.5,0.97,0.64,0.03,0.12,-,0.03,21.91,6.68
Baltimore Ravens DEF,@JAX,2.19,1.07,0.65,0.03,0.13,-,0.03,19.37,6.65
Kansas City Chiefs DEF View Videos,@LAC,2.37,0.97,0.64,0.04,0.13,-,0.03,21.27,6.63
San Francisco 49ers DEF,LA,2.34,0.97,0.69,0.03,0.11,-,0.04,20.7,6.62
Carolina Panthers DEF View Videos,NO,2.11,1.06,0.6,0.03,0.15,-,0.03,20.63,6.57
Miami Dolphins DEF,@NYJ,2.5,0.92,0.63,0.04,0.12,-,0.02,20.26,6.52
Atlanta Falcons DEF View Videos,@DET,2.06,1.02,0.71,0.04,0.11,-,0.04,22.71,6.50
Dallas Cowboys DEF,@ARI,2.35,0.93,0.69,0.03,0.11,-,0.03,21.55,6.49
Jacksonville Jaguars DEF View Videos,BAL,2.23,0.97,0.64,0.03,0.13,-,0.03,21.22,6.47
Green Bay Packers DEF,CIN,2.52,0.95,0.6,0.03,0.11,-,0.02,19.29,6.46
Philadelphia Eagles DEF,NYG,1.96,1.06,0.64,0.03,0.14,-,0.03,17.81,6.44
Tennessee Titans DEF View Videos,SEA,2.84,0.82,0.61,0.03,0.09,-,0.02,21.51,6.42
Seattle Seahawks DEF View Videos,@TEN,2.27,0.94,0.65,0.03,0.11,-,0.03,21.89,6.35
New Orleans Saints DEF View Videos,@CAR,2.41,0.93,0.61,0.03,0.1,-,0.03,21.92,6.33
Los Angeles Rams DEF View Videos,@SF,2.07,0.93,0.71,0.03,0.11,-,0.03,10.93,6.25
Arizona Cardinals DEF,DAL,2,0.86,0.72,0.03,0.1,-,0.03,22.46,6.00
Los Angeles Chargers DEF View Videos,KC,2.46,0.78,0.59,0.03,0.09,-,0.03,23.65,5.98
Detroit Lions DEF View Videos,ATL,1.99,0.94,0.69,0.03,0.08,-,0.03,24.77,5.97
Chicago Bears DEF,PIT,1.68,0.91,0.59,0.03,0.11,-,0.03,24.3,5.58
Cincinnati Bengals DEF,@GB,2.21,0.75,0.6,0.03,0.07,-,0.03,26.08,5.57
Oakland Raiders DEF,@WAS,1.73,0.89,0.64,0.03,0.1,-,0.02,22.08,5.57
Houston Texans DEF,@NE,1.92,0.79,0.6,0.03,0.07,-,0.03,26.04,5.36
Washington Redskins DEF,OAK,1.5,0.86,0.7,0.03,0.08,-,0.03,24.94,5.34
