Player,Opp,Made,0-19,20-29,30-39,40-49,50+,Points
Ryan Succop K - TEN View News View Videos,@HOU,2.55,0.07,0.48,0.72,0.47,-,7.77
Dan Bailey K - DAL View Videos,LA,2.9,0.07,0.52,0.52,0.49,-,7.70
Blair Walsh K - SEA View Videos,IND,2.77,0.04,0.6,0.53,0.44,-,7.60
Phil Dawson K - ARI View Videos,SF,2.75,0.04,0.57,0.5,0.49,-,7.55
Mason Crosby K - GB View Videos,CHI,2.91,0.06,0.52,0.54,0.41,-,7.50
Matt Bryant K - ATL View Videos,BUF,2.99,0.05,0.49,0.51,0.43,-,7.43
Brandon McManus K - DEN View Videos,OAK,2.4,0.07,0.56,0.59,0.44,-,7.38
Randy Bullock K - CIN View Videos,@CLE,2.7,0.07,0.53,0.5,0.43,-,7.29
Kai Forbath K - MIN,DET,2.5,0.08,0.55,0.54,0.42,-,7.27
Stephen Gostkowski K - NE,CAR,2.82,0.12,0.56,0.47,0.32,-,7.23
Cody Parkey K - MIA View Videos,NO,2.64,0.04,0.51,0.53,0.45,-,7.23
Harrison Butker K - KC View Videos,WAS,2.7,0.04,0.59,0.52,0.35,-,7.20
Wil Lutz K - NO View Videos,@MIA,2.94,0.04,0.5,0.49,0.35,-,7.08
Aldrick Rosas K - NYG View Videos,@TB,2.29,0.04,0.57,0.57,0.4,-,7.03
Chris Boswell K - PIT,@BAL,2.55,0.04,0.53,0.48,0.43,-,6.99
Jake Elliott K - PHI,@LAC,2.35,0.04,0.54,0.5,0.41,-,6.82
Jason Myers K,Bye,2.18,0.04,0.48,0.54,0.45,-,-
Nick Folk K - TB,NYG,2.3,0.05,0.48,0.49,0.4,-,6.56
Justin Tucker K - BAL View Videos,PIT,2.05,0.05,0.46,0.53,0.46,-,6.55
Younghoe Koo K,Bye,2.34,0.04,0.47,0.46,0.42,-,-
Stephen Hauschka K - BUF View Videos,@ATL,2.16,0.04,0.48,0.48,0.44,-,6.48
Matt Prater K - DET View News,@MIN,2.09,0.04,0.46,0.53,0.43,-,6.47
Chandler Catanzaro K - NYJ View Videos,JAX,1.89,0.04,0.47,0.51,0.47,-,6.36
Ka'imi Fairbairn K - HOU View Videos,TEN,1.72,0.06,0.49,0.47,0.5,-,6.28
Robbie Gould K - SF View News View Videos,@ARI,1.75,0.04,0.42,0.53,0.51,-,6.25
