Player,Opp,Yds,TD,Int,Yds,TD,Yds,TD,FumTD,2PT,Lost,Points
Dak Prescott QB - DAL,@SF,287.37,1.75,0.45,19.89,0.24,-,-,-,0.02,0.23,20.60
Matt Ryan QB - ATL View News View Videos,@NE,288.1,2.16,0.48,6.93,0.06,-,-,-,0.04,0.21,19.92
Tom Brady QB - NE View Videos,ATL,303.69,1.97,0.59,6.01,0.05,-,-,-,0.1,0.2,19.55
Drew Brees QB - NO View Videos,@GB,305.64,2.07,0.82,3.75,0.03,-,-,-,0.05,0.2,19.12
Russell Wilson QB - SEA View News View Videos,@NYG,273.6,1.64,0.95,22.27,0.16,-,-,-,0.14,0.24,18.59
Kirk Cousins QB - WAS View Videos,@PHI,285.19,1.69,0.87,13.43,0.13,-,-,-,0.01,0.23,18.11
Tyrod Taylor QB - BUF View Videos,TB,238.79,1.42,0.58,25.06,0.19,-,-,-,0.01,0.19,17.36
Marcus Mariota QB - TEN View News View Videos,@CLE,234.49,1.71,0.91,20.09,0.18,-,-,-,0.04,0.22,17.13
Cam Newton QB - CAR View Videos,@CHI,222.41,1.41,0.9,25.28,0.29,-,-,-,0.06,0.21,16.70
Ben Roethlisberger QB - PIT View Videos,CIN,286.49,1.52,0.94,6.82,0.06,-,-,-,0.18,0.2,16.66
Alex Smith QB - KC View News View Videos,@OAK,237.21,1.54,0.94,15.12,0.15,-,-,-,0.19,0.2,16.16
Carson Palmer QB - ARI,@LA,263.18,1.68,1.07,6.19,0.05,-,-,-,0.12,0.21,15.85
Jameis Winston QB - TB,@BUF,255.71,1.51,0.87,8.77,0.06,-,-,-,0.08,0.21,15.51
Carson Wentz QB - PHI View Videos,WAS,239.07,1.28,0.58,14.27,0.1,-,-,-,0.01,0.22,15.13
Philip Rivers QB - LAC View Videos,DEN,246.1,1.71,0.94,4.13,0.03,-,-,-,0.06,0.21,15.10
Derek Carr QB - OAK,KC,237.59,1.51,0.87,9.95,0.07,-,-,-,0.1,0.2,15.02
Blake Bortles QB - JAX View Videos,@IND,221.55,1.3,0.86,17.03,0.14,-,-,-,0.05,0.2,14.59
C.J. Beathard QB - SF,DAL,232.06,1.25,0.89,12.06,0.1,-,-,-,0.05,0.21,13.99
Case Keenum QB - MIN,BAL,225.61,1.31,0.87,11.41,0.1,-,-,-,0.03,0.2,13.93
Eli Manning QB - NYG,SEA,232.79,1.46,0.95,5.54,0.06,-,-,-,0.06,0.19,13.91
Jared Goff QB - LA View News View Videos,ARI,209.84,1.5,0.88,9.12,0.08,-,-,-,0.09,0.2,13.81
Andy Dalton QB - CIN View Videos,@PIT,228.08,1.13,0.87,9.73,0.09,-,-,-,0.04,0.2,13.10
Brett Hundley QB - GB,NO,229.44,1.11,1.14,13.38,0.11,-,-,-,0.02,0.2,12.98
