Player,Opp,Yds,TD,Int,Yds,TD,Yds,TD,FumTD,2PT,Lost,Points
Travis Kelce TE - KC,OAK,-,-,-,-,-,64.12,0.48,-,-,0.03,9.23
Delanie Walker TE - TEN,@ARI,-,-,-,-,-,55.85,0.35,-,0.01,0.03,7.65
Evan Engram TE - NYG,DAL,-,-,-,0.19,-,52.88,0.36,-,-,0.03,7.41
Jimmy Graham TE - SEA View Videos,@JAX,-,-,-,-,-,46.56,0.42,-,0.02,0.03,7.16
Zach Ertz TE - PHI,@LA,-,-,-,-,-,50.39,0.36,-,-,0.03,7.14
Stephen Anderson TE - HOU,SF,-,-,-,0.02,0.01,48.83,0.33,-,-,0.03,6.87
Kyle Rudolph TE - MIN View Videos,@CAR,-,-,-,-,-,46.49,0.37,-,-,0.03,6.81
Hunter Henry TE - LAC,WAS,-,-,-,-,-,45.18,0.34,-,-,0.03,6.50
Jared Cook TE - OAK View Videos,@KC,-,-,-,-,-,49.05,0.27,-,-,0.03,6.47
Jack Doyle TE - IND View Videos,@BUF,-,-,-,-,-,43.79,0.25,-,0.01,0.03,5.84
Eric Ebron TE - DET View News View Videos,@TB,-,-,-,0.04,-,40.74,0.25,-,0.01,0.03,5.54
Austin Seferian-Jenkins TE - NYJ,@DEN,-,-,-,-,-,40.37,0.24,-,-,0.03,5.42
Vernon Davis TE - WAS View Videos,@LAC,-,-,-,-,-,40.12,0.23,-,0.01,0.02,5.37
Cameron Brate TE - TB View News View Videos,DET,-,-,-,-,-,36.63,0.29,-,-,0.02,5.36
Jason Witten TE - DAL,@NYG,-,-,-,-,-,37.48,0.27,-,0.01,0.02,5.35
David Njoku TE - CLE View Videos,GB,-,-,-,0.46,-,35.71,0.26,-,0.01,0.02,5.16
Greg Olsen TE - CAR View Videos,MIN,-,-,-,-,-,37.73,0.22,-,0.02,0.02,5.09
Charles Clay TE - BUF View News View Videos,IND,-,-,-,-,-,34.39,0.22,-,0.01,0.02,4.74
Austin Hooper TE - ATL,NO,-,-,-,0.19,-,32.78,0.23,-,-,0.02,4.64
Julius Thomas TE - MIA,NE,-,-,-,-,-,30.98,0.24,-,-,0.02,4.50
Ricky Seals-Jones TE - ARI,TEN,-,-,-,0.07,0.01,27.97,0.22,-,0.01,0.02,4.16
Tyler Kroft TE - CIN View Videos,CHI,-,-,-,0.08,-,28.54,0.22,-,-,0.02,4.14
Benjamin Watson TE - BAL View Videos,@PIT,-,-,-,-,-,29.67,0.19,-,0.01,0.01,4.11
Jermaine Gresham TE - ARI View Videos,TEN,-,-,-,-,-,28.61,0.19,-,0.01,0.01,4.00
Marcedes Lewis TE - JAX View Videos,SEA,-,-,-,-,-,27.41,0.19,-,0.02,0.01,3.90
