Player,Opp,Yds,TD,Int,Yds,TD,Yds,TD,FumTD,2PT,Lost,Points
Antonio Brown WR - PIT,@DET,-,-,-,-,-,88.99,0.59,-,0.01,0.05,12.36
Julio Jones WR - ATL View News View Videos,@NYJ,-,-,-,-,-,81.35,0.48,-,0.01,0.04,10.96
A.J. Green WR - CIN,IND,-,-,-,-,-,79.14,0.5,-,-,0.04,10.83
Mike Evans WR - TB,CAR,-,-,-,-,-,72.14,0.52,-,0.02,0.04,10.29
DeAndre Hopkins WR - HOU View Videos,@SEA,-,-,-,-,-,72.72,0.5,-,0.01,0.04,10.21
Michael Thomas WR - NO,CHI,-,-,-,0.03,0.01,70.17,0.48,-,-,0.04,9.88
Dez Bryant WR - DAL,@WAS,-,-,-,-,-,66.2,0.48,-,0.01,0.03,9.46
Jarvis Landry WR - MIA,@BAL,-,-,-,0.44,-,68.55,0.38,-,0.01,0.04,9.12
Tyreek Hill WR - KC View News View Videos,DEN,-,-,-,4.58,0.03,62.26,0.38,-,0.01,0.04,9.08
Doug Baldwin WR - SEA,HOU,-,-,-,0.03,-,65.07,0.43,-,0.01,0.03,9.05
Keenan Allen WR - LAC,@NE,-,-,-,-,-,69.44,0.36,-,0.01,0.04,9.04
Brandin Cooks WR - NE,LAC,-,-,-,0.89,0.01,64.62,0.41,-,0.01,0.03,9.03
Amari Cooper WR - OAK,@BUF,-,-,-,0.41,-,66.4,0.38,-,0.01,0.04,8.90
T.Y. Hilton WR - IND,@CIN,-,-,-,-,-,65.29,0.36,-,0.01,0.03,8.65
Stefon Diggs WR - MIN,@CLE,-,-,-,1.15,-,58.55,0.41,-,-,0.04,8.35
Ted Ginn WR - NO,CHI,-,-,-,2.16,0.02,56.44,0.4,-,0.01,0.03,8.34
Michael Crabtree WR - OAK,@BUF,-,-,-,-,-,58.25,0.41,-,-,0.03,8.23
Kelvin Benjamin WR - BUF View Videos,OAK,-,-,-,-,-,59.3,0.37,-,-,0.03,8.09
Demaryius Thomas WR - DEN,@KC,-,-,-,-,-,60.35,0.32,-,-,0.03,7.90
Kenny Stills WR - MIA,@BAL,-,-,-,-,-,52.94,0.43,-,0.01,0.03,7.83
DeSean Jackson WR - TB,CAR,-,-,-,-,-,55.93,0.36,-,0.02,0.03,7.73
Alshon Jeffery WR - PHI,SF,-,-,-,-,-,56.12,0.33,-,0.01,0.03,7.55
Adam Thielen WR - MIN,@CLE,-,-,-,0.38,-,56.03,0.31,-,-,0.03,7.44
Golden Tate WR - DET,PIT,-,-,-,1.13,0.01,53.76,0.32,-,-,0.03,7.41
Pierre Garcon WR - SF,@PHI,-,-,-,-,-,56.22,0.29,-,-,0.03,7.30
Devin Funchess WR - CAR,@TB,-,-,-,0.06,-,52.43,0.34,-,0.01,0.03,7.25
Paul Richardson WR - SEA,HOU,-,-,-,-,-,48.16,0.39,-,0.01,0.03,7.12
Chris Hogan WR - NE,LAC,-,-,-,0.4,-,49.22,0.36,-,-,0.03,7.06
Emmanuel Sanders WR - DEN,@KC,-,-,-,-,-,52.35,0.31,-,-,0.03,7.04
Willie Snead WR - NO,CHI,-,-,-,-,-,48.77,0.28,-,-,0.03,6.50
Marvin Jones WR - DET,PIT,-,-,-,-,-,46.95,0.3,-,0.01,0.02,6.48
Mohamed Sanu WR - ATL View Videos,@NYJ,-,-,-,0.57,-,45.63,0.32,-,-,0.03,6.48
JuJu Smith-Schuster WR - PIT View Videos,@DET,-,-,-,0.87,0.01,43.25,0.33,-,0.01,0.03,6.41
Nelson Agholor WR - PHI,SF,-,-,-,0.6,-,44.42,0.32,-,0.01,0.03,6.38
Donte Moncrief WR - IND,@CIN,-,-,-,0.11,-,44.41,0.32,-,0.01,0.03,6.33
Tyler Lockett WR - SEA,HOU,-,-,-,3.85,0.03,43.51,0.25,-,-,0.05,6.32
Will Fuller WR - HOU,@SEA,-,-,-,1.5,0.01,40.26,0.34,-,0.01,0.03,6.24
Jordan Matthews WR - BUF,OAK,-,-,-,0.05,-,45.33,0.29,-,0.01,0.03,6.24
T.J. Jones WR - DET,PIT,-,-,-,0.17,0.01,45.63,0.24,-,0.03,0.03,6.08
Jermaine Kearse WR - NYJ,ATL,-,-,-,-,-,42.38,0.31,-,-,0.02,6.06
Taylor Gabriel WR - ATL,@NYJ,-,-,-,1.95,0.01,41.78,0.27,-,-,0.03,5.99
