PLAYER,,OPP,STATUS ET,,TD,INT,FR,SCK,SFTY,BLK,PA,,PTS
Rams ,,Ind,W 46-9,,2,2,1,4,1,0,9,,29
Jaguars ,,@Hou,W 29-7,,1,1,3,10,0,0,7,,29
Eagles ,,@Wsh,W 30-17,,1,1,3,4,0,0,11,,23
Ravens ,,@Cin,W 20-0,,0,4,1,5,0,0,0,,22
Steelers ,,@Cle,W 21-18,,1,1,0,7,0,1,18,,19
Lions ,,Ari,W 35-23,,1,3,1,1,0,0,17,,16
Panthers ,,@SF,W 23-3,,0,1,1,4,0,0,3,,14
Cowboys ,,NYG,W 19-3,,0,1,0,3,0,0,3,,11
Redskins ,,Phi,L 17-30,,1,1,1,2,0,0,24,,11
Bills ,,NYJ,W 21-12,,0,2,0,1,0,0,12,,10
Packers ,,Sea,W 17-9,,0,0,1,3,0,0,9,,10
Chargers ,,@Den,L 21-24,,0,1,1,4,0,0,24,,8
Broncos ,,LAC,W 24-21,,0,1,0,1,0,1,21,,7
Cardinals ,,@Det,L 23-35,,1,1,0,1,0,0,29,,7
49ers ,,Car,L 3-23,,0,1,1,0,0,0,23,,6
Seahawks ,,@GB,L 9-17,,0,1,0,4,0,0,17,,6
Falcons ,,@Chi,W 23-17,,0,0,0,4,0,0,17,,5
Bengals ,,Bal,L 0-20,,0,1,0,1,0,0,20,,5
Browns ,,Pit,L 18-21,,0,1,0,1,0,0,21,,5
Chiefs ,,@NE,W 42-27,,0,0,0,3,0,0,27,,2
Texans ,,Jax,L 7-29,,0,0,0,0,0,0,23,,2
Bears ,,Atl,L 17-23,,0,0,0,2,0,0,23,,1
Titans ,,Oak,L 16-26,,0,0,0,2,0,0,26,,1
Colts ,,@LAR,L 9-46,,0,0,1,1,0,0,32,,1
Raiders ,,@Ten,W 26-16,,0,0,0,1,0,0,16,,1
Vikings ,,NO,W 29-19,,0,0,0,1,0,0,19,,1
Jets ,,@Buf,L 12-21,,0,1,0,2,0,0,21,,1
Giants ,,@Dal,L 3-19,,0,0,0,1,0,0,19,,0
Patriots ,,KC,L 27-42,,0,0,1,3,0,0,42,,-4
Saints ,,@Min,L 19-29,,0,0,0,1,0,0,29,,-5
Dolphins ,,** BYE **,,--,--,--,--,--,--,--,,--
Buccaneers ,,** BYE **,,--,--,--,--,--,--,--,,--
