PLAYER,,OPP,STATUS ET,,C/A,YDS,TD,INT,,RUSH,YDS,TD,,REC,YDS,TD,TAR,,2PC,FUML,TD,,PTS
Robert Woods,,Hou,W 33-7,,0/0,0,0,0,,0,0,0,,8,171,2,10,,0,0,0,,37.1
Mark Ingram,,@Buf,W 47-10,,0/0,0,0,0,,21,131,3,,0,0,0,0,,0,0,0,,31.1
Adam Thielen,,@Wsh,W 38-30,,0/0,0,0,0,,0,0,0,,8,166,1,12,,0,0,0,,30.6
DeMarco Murray*,,Cin,W 24-20,,0/0,0,0,0,,14,42,2,,4,30,1,4,,0,0,0,,29.2
Austin Ekeler,,@Jax,L 17-20,,0/0,0,0,0,,10,42,0,,5,77,2,5,,0,1,0,,26.9
Devin Funchess,,Mia,W 45-21,,0/0,0,0,0,,0,0,0,,5,92,2,6,,0,0,0,,26.2
Sterling Shepard*,,@SF,L 21-31,,0/0,0,0,0,,0,0,0,,11,142,0,13,,0,0,0,,25.2
Alvin Kamara,,@Buf,W 47-10,,0/0,0,0,0,,12,106,1,,5,32,0,5,,0,0,0,,24.8
Chester Rogers,,Pit,L 17-20,,0/0,0,0,0,,1,3,0,,6,104,1,6,,0,0,0,,22.7
A.J. Green,,@Ten,L 20-24,,0/0,0,0,0,,0,0,0,,5,115,1,7,,0,0,0,,22.5
Golden Tate,,Cle,W 38-24,,0/0,0,0,0,,0,0,0,,6,97,1,7,,0,0,0,,21.7
Brandon LaFell,,@Ten,L 20-24,,0/0,0,0,0,,0,0,0,,6,95,1,10,,0,0,0,,21.5
Larry Fitzgerald,,Sea,L 16-22,,0/0,0,0,0,,0,0,0,,10,113,0,14,,0,0,0,,21.3
Michael Thomas,,@Buf,W 47-10,,0/0,0,0,0,,0,0,0,,9,117,0,10,,0,0,0,,20.7
JuJu Smith-Schuster,,@Ind,W 20-17,,0/0,0,0,0,,0,0,0,,5,97,1,7,,0,0,0,,20.7
Jimmy Graham,,@Ari,W 22-16,,0/0,0,0,0,,0,0,0,,6,27,2,9,,0,0,0,,20.7
Davante Adams*,,@Chi,W 23-16,,0/0,0,0,0,,0,0,0,,5,90,1,8,,0,0,0,,20
Christian McCaffrey,,Mia,W 45-21,,0/0,0,0,0,,5,23,1,,3,27,1,7,,0,0,0,,20
Emmanuel Sanders*,,NE,L 16-41,,0/0,0,0,0,,0,0,0,,6,137,0,11,,0,0,0,,19.7
Todd Gurley II,,Hou,W 33-7,,0/0,0,0,0,,11,68,0,,6,68,0,7,,0,0,0,,19.6
Marqise Lee*,,LAC,W 20-17,,0/0,0,0,0,,0,0,0,,6,55,1,11,,1,0,0,,19.5
Robby Anderson,,@TB,L 10-15,,0/0,0,0,0,,0,0,0,,4,85,1,7,,0,0,0,,18.5
DeAndre Hopkins*,,@LAR,L 7-33,,0/0,0,0,0,,0,0,0,,7,111,0,14,,0,0,0,,18.1
Stefon Diggs,,@Wsh,W 38-30,,0/0,0,0,0,,0,0,0,,4,78,1,5,,0,0,0,,17.8
Dion Lewis,,@Den,W 41-16,,0/0,0,0,0,,14,55,1,,0,0,0,0,,0,0,1,,17.5
Jermaine Gresham,,Sea,L 16-22,,0/0,0,0,0,,0,0,0,,5,64,1,7,,0,0,0,,17.4
Kenyan Drake,,@Car,L 21-45,,0/0,0,0,0,,7,82,1,,2,10,0,2,,0,0,0,,17.2
Marquise Goodwin,,NYG,W 31-21,,0/0,0,0,0,,1,18,0,,1,83,1,2,,0,0,0,,17.1
Austin Hooper,,Dal,W 27-7,,0/0,0,0,0,,0,0,0,,6,49,1,6,,0,0,0,,16.9
Garrett Celek,,NYG,W 31-21,,0/0,0,0,0,,0,0,0,,4,67,1,6,,0,0,0,,16.7
Isaiah Crowell,,@Det,L 24-38,,0/0,0,0,0,,16,90,1,,1,5,0,2,,0,0,0,,16.5
Le'Veon Bell*,,@Ind,W 20-17,,0/0,0,0,0,,26,80,0,,5,32,0,6,,0,0,0,,16.2
Tevin Coleman,,Dal,W 27-7,,0/0,0,0,0,,20,83,1,,1,5,0,1,,0,0,0,,15.8
Demaryius Thomas,,NE,L 16-41,,0/0,0,0,0,,0,0,0,,5,44,1,8,,0,0,0,,15.4
Rex Burkhead*,,@Den,W 41-16,,0/0,0,0,0,,10,36,0,,3,27,1,3,,0,0,0,,15.3
Jarvis Landry,,@Car,L 21-45,,0/0,0,0,0,,0,0,0,,5,42,1,9,,0,0,0,,15.2
Evan Engram*,,@SF,L 21-31,,0/0,0,0,0,,0,0,0,,6,31,1,9,,0,0,0,,15.1
Dontrelle Inman,,GB,L 16-23,,0/0,0,0,0,,0,0,0,,6,88,0,8,,0,0,0,,14.8
Ty Montgomery*,,@Chi,W 23-16,,0/0,0,0,0,,6,54,1,,2,14,0,2,,0,0,0,,14.8
Duke Johnson Jr.,,@Det,L 24-38,,0/0,0,0,0,,10,54,0,,6,34,0,6,,0,0,0,,14.8
Vernon Davis,,Min,L 30-38,,0/0,0,0,0,,0,0,0,,7,76,0,11,,0,0,0,,14.6
Doug Baldwin,,@Ari,W 22-16,,0/0,0,0,0,,0,0,0,,5,95,0,6,,0,0,0,,14.5
DeSean Jackson*,,NYJ,W 15-10,,0/0,0,0,0,,0,0,0,,6,82,0,10,,0,0,0,,14.2
Bruce Ellington*,,@LAR,L 7-33,,0/0,0,0,0,,0,0,0,,4,41,1,8,,0,0,0,,14.1
Allen Hurns,,LAC,W 20-17,,0/0,0,0,0,,0,0,0,,7,70,0,9,,0,0,0,,14
Joshua Bellamy,,GB,L 16-23,,0/0,0,0,0,,0,0,0,,2,57,1,7,,0,0,0,,13.7
Theo Riddick,,Cle,W 38-24,,0/0,0,0,0,,4,35,0,,3,12,1,3,,0,0,0,,13.7
