PLAYER,,OPP,STATUS ET,,1-39,40-49,50+,TOT,XP,,PTS
Harrison Butker,,Den,W 29-19,,2/2,2/2,1/1,5/5,2/2,,21
Matt Prater,,Pit,L 15-20,,3/3,1/1,1/1,5/5,0/0,,18
Kai Forbath,,@Cle,W 33-16,,2/2,1/1,1/1,4/4,1/2,,16
Mike Nugent,,@NO,L 12-20,,3/3,1/2,0/0,4/5,3/3,,15
Matt Bryant,,@NYJ,W 25-20,,3/3,1/1,0/0,4/4,1/1,,14
Stephen Gostkowski,,LAC,W 21-13,,3/3,1/3,0/0,4/6,1/1,,12
Justin Tucker,,Mia,W 40-0,,0/0,1/2,1/1,2/3,4/4,,12
Adam Vinatieri,,@Cin,L 23-24,,3/3,0/0,0/0,3/3,2/2,,11
Stephen Hauschka,,Oak,W 34-14,,1/1,1/1,0/0,2/2,4/4,,11
Blair Walsh,,Hou,W 41-38,,2/2,0/0,0/0,2/2,5/5,,11
Wil Lutz,,Chi,W 20-12,,0/0,2/2,0/0,2/2,2/2,,10
Jake Elliott,,SF,W 33-10,,0/0,1/1,1/1,2/2,1/3,,10
Chandler Catanzaro,,Atl,L 20-25,,0/0,2/4,0/0,2/4,2/2,,8
Chris Boswell,,@Det,W 20-15,,2/2,0/0,0/0,2/2,2/2,,8
Ka'imi Fairbairn,,@Sea,L 38-41,,1/1,0/0,0/0,1/1,5/5,,8
Brandon McManus,,@KC,L 19-29,,2/2,0/0,0/0,2/2,1/1,,7
Nick Rose,,@NE,L 13-21,,1/2,1/1,0/0,2/3,1/2,,7
Connor Barth,,@NO,L 12-20,,1/1,1/2,0/0,2/3,0/0,,6
Robbie Gould,,@Phi,L 10-33,,0/1,0/0,1/1,1/2,1/1,,5
Graham Gano,,@TB,W 17-3,,1/1,0/0,0/0,1/1,2/2,,5
Randy Bullock,,Ind,W 24-23,,1/2,0/0,0/0,1/2,3/3,,5
Patrick Murray,,Car,L 3-17,,0/0,1/1,0/0,1/1,0/0,,4
Zane Gonzalez,,Min,L 16-33,,1/2,0/0,0/0,1/2,1/2,,3
Giorgio Tavecchio,,@Buf,L 14-34,,0/0,0/0,0/0,0/0,2/2,,2
Sebastian Janikowski*,,@Buf,L 14-34,,0/0,0/0,0/0,0/0,0/0,,0
Shayne Graham,,@NYJ,W 25-20,,0/0,0/0,0/0,0/0,0/0,,0
Billy Cundiff,,Min,L 16-33,,0/0,0/0,0/0,0/0,0/0,,0
Josh Scobee,,Chi,W 20-12,,0/0,0/0,0/0,0/0,0/0,,0
Nick Novak*,,@NE,L 13-21,,0/0,0/0,0/1,0/1,1/1,,0
Shaun Suisham,,@Det,W 20-15,,0/0,0/0,0/0,0/0,0/0,,0
Nick Folk*,,Car,L 3-17,,0/0,0/0,0/0,0/0,0/0,,0
Garrett Hartley,,@Det,W 20-15,,0/0,0/0,0/0,0/0,0/0,,0
Dan Carpenter,,Oak,W 34-14,,0/0,0/0,0/0,0/0,0/0,,0
Dan Bailey,,@Wsh,W 33-19,,0/0,0/0,0/0,0/0,0/0,,0
Brandon Bogotay,,Car,L 3-17,,0/0,0/0,0/0,0/0,0/0,,0
Caleb Sturgis*,,SF,W 33-10,,0/0,0/0,0/0,0/0,0/0,,0
Dustin Hopkins,,Dal,L 19-33,,0/0,0/0,0/0,0/0,0/0,,0
Zach Hocker,,Car,L 3-17,,0/0,0/0,0/0,0/0,0/0,,0
Cairo Santos*,,@NO,L 12-20,,0/0,0/0,0/0,0/0,0/0,,0
Kasey Redfern*,,Pit,L 15-20,,0/0,0/0,0/0,0/0,0/0,,0
Kyle Brindza,,Atl,L 20-25,,0/0,0/0,0/0,0/0,0/0,,0
Andrew Franks,,@Bal,L 0-40,,0/0,0/0,0/0,0/0,0/0,,0
Roberto Aguayo,,@NO,L 12-20,,0/0,0/0,0/0,0/0,0/0,,0
Younghoe Koo,,@NE,L 13-21,,0/0,0/0,0/0,0/0,0/0,,0
Cody Parkey,,@Bal,L 0-40,,0/0,0/0,0/1,0/1,0/0,,-1
Phil Dawson,,** BYE **,,--/--,--/--,--/--,--/--,--/--,,--
Josh Brown,,** BYE **,,--/--,--/--,--/--,--/--,--/--,,--
Mason Crosby,,** BYE **,,--/--,--/--,--/--,--/--,--/--,,--
Ryan Succop,,** BYE **,,--/--,--/--,--/--,--/--,--/--,,--
Greg Zuerlein*,,** BYE **,,--/--,--/--,--/--,--/--,--/--,,--
Travis Coons,,@NE,L 13-21,,--/--,--/--,--/--,--/--,--/--,,--
Jordan Gay,,** BYE **,,--/--,--/--,--/--,--/--,--/--,,--
Jason Myers,,Hou,W 41-38,,--/--,--/--,--/--,--/--,--/--,,--
Josh Lambo,,** BYE **,,--/--,--/--,--/--,--/--,--/--,,--
Aldrick Rosas,,** BYE **,,--/--,--/--,--/--,--/--,--/--,,--
Sam Ficken,,** BYE **,,--/--,--/--,--/--,--/--,--/--,,--
