PLAYER,,OPP,STATUS ET,,C/A,YDS,TD,INT,,RUSH,YDS,TD,,REC,YDS,TD,TAR,,2PC,FUML,TD,,PTS
Tyler Kroft,,@Cle,W 31-7,,0/0,0,0,0,,0,0,0,,6,68,2,7,,0,0,0,,24.8
Travis Kelce,,Wsh,W 29-20,,0/0,0,0,0,,1,3,0,,7,111,1,8,,0,0,0,,24.4
Cameron Brate,,NYG,W 25-23,,0/0,0,0,0,,0,0,0,,4,80,1,6,,0,0,0,,18
A.J. Derby,,NO,L 0-20,,0/0,0,0,0,,0,0,0,,4,75,1,6,,0,0,0,,17.5
Charles Clay,,@Atl,W 23-17,,0/0,0,0,0,,0,0,0,,5,112,0,7,,0,0,0,,16.2
O.J. Howard*,,NYG,W 25-23,,0/0,0,0,0,,0,0,0,,2,63,1,4,,0,0,0,,14.3
Zach Ertz,,@LAC,W 26-24,,0/0,0,0,0,,0,0,0,,5,81,0,8,,0,0,0,,13.1
Evan Engram*,,@TB,L 23-25,,0/0,0,0,0,,0,0,0,,6,62,0,11,,0,0,0,,12.2
Rob Gronkowski,,Car,L 30-33,,0/0,0,0,0,,0,0,0,,4,80,0,5,,0,0,0,,12
Vernon Davis,,@KC,L 20-29,,0/0,0,0,0,,0,0,0,,2,89,0,3,,0,0,0,,10.9
Jimmy Graham,,Ind,W 46-18,,0/0,0,0,0,,0,0,0,,4,61,0,6,,0,0,0,,10.1
Austin Hooper,,Buf,L 17-23,,0/0,0,0,0,,0,0,0,,5,50,0,7,,0,0,0,,10
Martellus Bennett*,,Car,L 30-33,,0/0,0,0,0,,0,0,0,,6,39,0,7,,0,0,0,,9.9
James Hanna,,LAR,L 30-35,,0/0,0,0,0,,0,0,0,,1,28,1,1,,0,0,0,,9.8
Hunter Henry*,,Phi,L 24-26,,0/0,0,0,0,,0,0,0,,2,16,1,3,,0,0,0,,9.6
Benjamin Watson,,Pit,L 9-26,,0/0,0,0,0,,0,0,0,,5,43,0,6,,0,0,0,,9.3
Ed Dickson,,@NE,W 33-30,,0/0,0,0,0,,0,0,0,,3,62,0,4,,0,0,0,,9.2
Rhett Ellison,,@TB,L 23-25,,0/0,0,0,0,,0,0,0,,2,11,1,2,,0,0,0,,9.1
Austin Seferian-Jenkins*,,Jax,W 23-20,,0/0,0,0,0,,0,0,0,,4,46,0,4,,0,0,0,,8.6
Nick Boyle,,Pit,L 9-26,,0/0,0,0,0,,0,0,0,,5,36,0,5,,0,0,0,,8.6
Delanie Walker,,@Hou,L 14-57,,0/0,0,0,0,,0,0,0,,3,51,0,7,,0,0,0,,8.1
Darren Fells,,@Min,W 14-7,,0/0,0,0,0,,0,0,0,,4,40,0,5,,0,0,0,,8
Jack Doyle,,@Sea,L 18-46,,0/0,0,0,0,,0,0,0,,5,27,0,7,,0,0,0,,7.7
Tyler Higbee,,@Dal,W 35-30,,0/0,0,0,0,,0,0,0,,3,47,0,6,,0,0,0,,7.7
Jared Cook,,@Den,L 10-16,,0/0,0,0,0,,0,0,0,,3,46,0,8,,0,0,0,,7.6
Luke Willson,,Ind,W 46-18,,0/0,0,0,0,,0,0,0,,1,6,1,1,,0,0,0,,7.6
Jesse James,,@Bal,W 26-9,,0/0,0,0,0,,0,0,0,,3,40,0,3,,0,0,0,,7
Zach Miller*,,@GB,L 14-35,,0/0,0,0,0,,0,0,0,,2,45,0,2,,0,0,0,,6.5
George Kittle,,@Ari,L 15-18,,0/0,0,0,0,,0,0,0,,2,35,0,3,,0,0,0,,5.5
Kyle Rudolph,,Det,L 7-14,,0/0,0,0,0,,0,0,0,,2,34,0,4,,0,0,0,,5.4
Jordan Reed*,,@KC,L 20-29,,0/0,0,0,0,,0,0,0,,3,21,0,5,,0,0,0,,5.1
Levine Toilolo*,,Buf,L 17-23,,0/0,0,0,0,,0,0,0,,3,21,0,3,,0,0,0,,5.1
Julius Thomas*,,NO,L 0-20,,0/0,0,0,0,,0,0,0,,2,29,0,4,,0,0,0,,4.9
Stephen Anderson,,Ten,W 57-14,,0/0,0,0,0,,0,0,0,,2,28,0,2,,0,0,0,,4.8
Antonio Gates,,Phi,L 24-26,,0/0,0,0,0,,0,0,0,,3,18,0,5,,0,0,0,,4.8
Eric Ebron,,@Min,W 14-7,,0/0,0,0,0,,0,0,0,,2,27,0,4,,0,0,0,,4.7
Brandon Williams*,,@Sea,L 18-46,,0/0,0,0,0,,0,0,0,,1,32,0,2,,0,0,0,,4.2
Coby Fleener*,,@Mia,W 20-0,,0/0,0,0,0,,0,0,0,,2,21,0,4,,0,0,0,,4.1
Lee Smith,,@Den,L 10-16,,0/0,0,0,0,,0,0,0,,2,15,0,2,,0,0,0,,3.5
Ryan Griffin*,,Ten,W 57-14,,0/0,0,0,0,,0,0,0,,2,13,0,5,,0,0,0,,3.3
Jermaine Gresham,,SF,W 18-15,,0/0,0,0,0,,0,0,0,,2,12,0,3,,0,0,0,,3.2
David Njoku,,Cin,L 7-31,,0/0,0,0,0,,0,0,0,,2,11,0,2,,0,0,0,,3.1
Michael Roberts,,@Min,W 14-7,,0/0,0,0,0,,0,0,0,,1,15,0,1,,0,0,0,,2.5
Michael Hoomanawanui*,,@Mia,W 20-0,,0/0,0,0,0,,0,0,0,,1,13,0,2,,0,0,0,,2.3
Blake Bell*,,Det,L 7-14,,0/0,0,0,0,,0,0,0,,1,12,0,1,,0,0,0,,2.2
C.J. Uzomah,,@Cle,W 31-7,,0/0,0,0,0,,0,0,0,,1,11,0,1,,0,0,0,,2.1
Jason Witten,,LAR,L 30-35,,0/0,0,0,0,,0,0,0,,1,9,0,2,,0,0,0,,1.9
Dion Sims,,@GB,L 14-35,,0/0,0,0,0,,0,0,0,,1,8,0,1,,0,0,0,,1.8
Gerald Everett,,@Dal,W 35-30,,0/0,0,0,0,,0,0,0,,1,8,0,3,,0,0,0,,1.8
Seth DeValve,,Cin,L 7-31,,0/0,0,0,0,,0,0,0,,1,2,0,4,,0,0,0,,1.2
Lance Kendricks,,Chi,W 35-14,,0/0,0,0,0,,0,0,0,,1,0,0,1,,0,0,0,,1
Kellen Winslow,,Jax,W 23-20,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Alex Smith,,@KC,L 20-29,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Marcedes Lewis,,@NYJ,L 20-23,,0/0,0,0,0,,0,0,0,,0,0,0,4,,0,0,0,,0
Anthony Fasano,,NO,L 0-20,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Owen Daniels,,Oak,W 16-10,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Daniel Fells,,@TB,L 23-25,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Greg Olsen,,@NE,W 33-30,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Matt Spaeth,,@Bal,W 26-9,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Scott Chandler*,,Car,L 30-33,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Brent Celek,,@LAC,W 26-24,,0/0,0,0,0,,0,0,0,,0,0,0,1,,0,0,0,,0
Clark Harris,,@Cle,W 31-7,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Fred Davis,,@KC,L 20-29,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Craig Stevens,,@Hou,L 14-57,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Gary Barnidge,,Cin,L 7-31,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
