FN,LN,Owner,GP*,Bye,Fan Pts,% Owned,Proj,Actual,Yds,TD,Int,Att*,Yds,TD,Tgt*,Rec,Yds,TD,TD,2PT,Lost
Russell,Wilson,Shen Sucks YoungHoe!,1.0,6,19.09,100%,2,2,270,1.9,0.7,5.4,25.5,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.1
Tom,Brady,Shen and the Pencils,1.0,9,19.03,100%,3,3,308,2.2,0.5,1.5,3.4,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0
Carson,Wentz,W (Jan 10),1.0,10,16.91,98%,4,4,244,2.0,0.6,2.4,12.4,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.2
Kirk,Cousins,Give Me Your Pencil,1.0,5,16.71,97%,5,5,280,1.6,0.6,2.5,8.8,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.1
Philip,Rivers,Playoffs!!??,1.0,9,16.12,93%,9,9,278,2.2,0.9,0.9,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2
Dak,Prescott,Fantasy What Now?,1.0,6,16.04,93%,11,11,203,1.4,0.6,3.4,25.2,0.4,0.0,0.0,0.0,0.0,0.0,0.1,0.1
Drew,Brees,Natty Lights,1.0,5,15.98,100%,12,12,270,1.8,0.5,2.0,1.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0
Cam,Newton,Fantasy What Now?,1.0,11,15.60,97%,13,13,189,1.2,0.8,6.2,36.2,0.4,0.0,0.0,0.0,0.0,0.0,0.1,0.0
Matt,Ryan,Flacc-o'-lantern,1.0,5,15.46,98%,15,15,279,1.7,0.7,1.9,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1
Jared,Goff,BigmouthBilly Bajema,1.0,8,15.26,93%,17,17,260,1.7,0.5,1.8,7.3,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.2
Ben,Roethlisberger,Flacc-o'-lantern,1.0,9,15.25,95%,18,18,269,1.9,0.9,1.9,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1
Tyrod,Taylor,Pedialyte Powered,1.0,6,15.19,51%,19,19,220,1.5,0.6,6.6,27.3,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1
Case,Keenum,I AM the danger!!!,1.0,9,15.17,65%,20,20,247,2.0,0.8,1.8,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1
Alex,Smith,Shen and the Pencils,1.0,10,14.78,88%,24,24,223,1.5,0.4,3.7,15.2,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1
Marcus,Mariota,BigmouthBilly Bajema,1.0,8,14.76,86%,26,26,229,1.4,0.6,3.7,22.4,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.3
Jameis,Winston,Flacc-o'-lantern,1.0,1,14.56,49%,27,27,268,1.6,0.9,3.9,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.3
Derek,Carr,Give Me Your Pencil,1.0,10,14.39,87%,31,31,251,1.8,0.8,1.5,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1
Josh,McCown,W (Jan 10),1.0,11,14.36,41%,32,32,229,1.7,0.7,2.4,6.9,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.2
Matthew,Stafford,Shen Sucks YoungHoe!,1.0,7,13.84,92%,38,38,232,1.7,0.7,2.2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
Andy,Dalton,I AM the danger!!!,1.0,6,12.60,54%,47,47,213,1.6,0.8,2.7,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1
Brett,Hundley,W (Jan 10),1.0,8,12.47,12%,50,50,167,1.4,0.9,5.1,22.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blake,Bortles,Pedialyte Powered,1.0,8,12.05,34%,55,55,225,1.2,1.0,3.3,12.6,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.3
Trevor,Siemian,Playoffs!!??,1.0,5,11.41,8%,64,64,213,1.4,0.8,1.6,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jimmy,Garoppolo,Fantasy What Now?,1.0,11,11.22,16%,67,67,226,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jacoby,Brissett,Natty Lights,1.0,11,11.11,16%,69,69,156,1.0,0.5,3.0,14.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jay,Cutler,W (Jan 10),1.0,1,11.03,14%,71,71,219,1.3,0.9,0.6,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Geno,Smith,W (Jan 10),1.0,8,11.02,1%,72,72,180,1.0,0.9,3.7,17.5,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.2
Mitchell,Trubisky,Pedialyte Powered,1.0,9,10.08,5%,87,87,191,0.9,0.6,1.9,8.7,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1
Joe,Flacco,Natty Lights,1.0,10,9.78,13%,105,105,199,1.1,0.9,1.0,3.2,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1
Blaine,Gabbert,W (Jan 10),1.0,8,9.71,4%,107,107,223,1.4,1.4,1.4,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
DeShone,Kizer,Pedialyte Powered,1.0,9,8.18,4%,151,151,152,0.8,1.3,3.4,17.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
Tom,Savage,W (Jan 10),1.0,7,7.45,2%,178,178,183,1.0,1.1,0.9,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
Drew,Stanton,W (Jan 10),1.0,8,0.00,1%,402,402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dylan,Thompson,W (Jan 10),0.0,8,0.00,0%,405,405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taylor,Heinicke,W (Jan 10),0.0,7,0.00,0%,412,412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christian,Ponder,W (Jan 10),0.0,11,0.00,0%,420,420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colin,Kaepernick,W (Jan 10),0.0,11,0.00,0%,421,421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan,Mallett,W (Jan 10),1.0,10,0.00,0%,430,430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt,Moore,W (Jan 10),1.0,1,0.00,1%,447,447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T.J.,Yates,W (Jan 10),1.0,7,0.00,0%,449,449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jake,Heaps,W (Jan 10),0.0,6,0.00,0%,460,460,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paxton,Lynch,W (Jan 10),1.0,5,0.00,1%,480,480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scott,Tolzien,W (Jan 10),1.0,11,0.00,0%,482,482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christian,Hackenberg,W (Jan 10),1.0,11,0.00,0%,485,485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chad,Henne,W (Jan 10),1.0,8,0.00,0%,487,487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cody,Kessler,W (Jan 10),1.0,9,0.00,0%,490,490,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Connor,Cook,W (Jan 10),1.0,10,0.00,0%,493,493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cardale,Jones,W (Jan 10),1.0,9,0.00,0%,497,497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kevin,Hogan,W (Jan 10),1.0,9,0.00,0%,505,505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh,Johnson,W (Jan 10),0.0,7,0.00,0%,515,515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nate,Sudfeld,W (Jan 10),1.0,10,0.00,0%,516,516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jake,Rudock,W (Jan 10),1.0,7,0.00,0%,517,517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon,Allen,W (Jan 10),1.0,8,0.00,0%,521,521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jeff,Driskel,W (Jan 10),1.0,6,0.00,0%,523,523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon,Doughty,W (Jan 10),0.0,1,0.00,0%,528,528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mike,Bercovici,W (Jan 10),0.0,8,0.00,0%,552,552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joel,Stave,W (Jan 10),0.0,11,0.00,0%,561,561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe,Callahan,W (Jan 10),1.0,8,0.00,0%,595,595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mark,Sanchez,W (Jan 10),1.0,9,0.00,0%,601,601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew,Luck,W (Jan 10),1.0,11,0.00,16%,612,612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robert,Griffin,W (Jan 10),0.0,9,0.00,0%,613,613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trevone,Boykin,W (Jan 10),0.0,6,0.00,0%,615,615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan,Tannehill,W (Jan 10),1.0,1,0.00,0%,616,616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon,Weeden,W (Jan 10),1.0,8,0.00,0%,620,620,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brock,Osweiler,W (Jan 10),1.0,5,0.00,2%,630,630,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh,Woodrum,W (Jan 10),0.0,10,0.00,0%,635,635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nick,Foles,I AM the danger!!!,1.0,10,0.00,0%,645,645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
