FN,LN,Owner,GP*,Bye,Fan Pts,% Owned,Proj,Actual,Yds,TD,Int,Att*,Yds,TD,Tgt*,Rec,Yds,TD,TD,2PT,Lost
Le'Veon,Bell,Flacc-o'-lantern,1.0,9,22.08,100%,1,1,0.0,0.0,0.0,18.2,94.5,0.7,7.4,5.5,43.3,0.2,0.0,0.1,0.1
Alvin,Kamara,Natty Lights,1.0,5,19.75,97%,2,2,0.0,0.0,0.0,9.7,54.9,0.4,9.2,7.2,61.9,0.3,0.0,0.1,0.0
Todd,Gurley,Shen Sucks YoungHoe!,1.0,8,18.88,100%,3,3,0.0,0.0,0.0,19.1,84.9,0.8,2.9,3.4,31.6,0.1,0.0,0.0,0.1
Ezekiel,Elliott,Give Me Your Pencil,1.0,6,17.75,99%,7,7,0.0,0.0,0.0,17.5,84.1,0.8,3.0,2.5,16.4,0.3,0.0,0.1,0.1
Mark,Ingram,Natty Lights,1.0,5,17.33,99%,8,8,0.0,0.0,0.0,15.4,79.4,0.8,4.3,3.6,25.3,0.1,0.0,0.0,0.1
Melvin,Gordon,Shen and the Pencils,1.0,9,16.71,100%,10,10,0.0,0.0,0.0,18.9,80.6,0.6,4.2,3.7,30.1,0.1,0.0,0.0,0.1
Christian,McCaffrey,Give Me Your Pencil,1.0,11,14.90,98%,21,21,0.0,0.0,0.0,8.1,30.9,0.3,9.6,7.0,47.3,0.3,0.0,0.0,0.1
Kareem,Hunt,I AM the danger!!!,1.0,10,14.68,99%,24,24,0.0,0.0,0.0,15.5,72.8,0.4,3.8,2.9,29.8,0.1,0.0,0.0,0.1
LeSean,McCoy,Pedialyte Powered,1.0,6,14.57,100%,25,25,0.0,0.0,0.0,15.7,69.0,0.6,2.6,3.4,22.6,0.1,0.0,0.1,0.1
Leonard,Fournette,Shen Sucks YoungHoe!,1.0,8,14.56,100%,26,26,0.0,0.0,0.0,18.0,78.8,0.6,2.8,2.2,15.8,0.1,0.0,0.0,0.1
Devonta,Freeman,Natty Lights,1.0,5,13.12,99%,37,37,0.0,0.0,0.0,14.2,61.6,0.5,3.1,2.8,26.3,0.1,0.0,0.0,0.1
Jordan,Howard,Playoffs!!??,1.0,9,12.89,99%,40,40,0.0,0.0,0.0,15.7,71.9,0.6,2.4,1.6,14.1,0.0,0.0,0.0,0.1
Dion,Lewis,Playoffs!!??,1.0,9,12.68,90%,44,44,0.0,0.0,0.0,13.0,60.8,0.4,5.4,2.5,18.8,0.1,0.0,0.0,0.0
Alex,Collins,BigmouthBilly Bajema,1.0,10,12.17,87%,48,48,0.0,0.0,0.0,12.7,68.5,0.5,2.6,1.9,14.0,0.0,0.0,0.0,0.1
Jay,Ajayi,Pedialyte Powered,1.0,10,12.03,97%,51,51,0.0,0.0,0.0,12.9,69.6,0.4,2.8,2.3,18.6,0.0,0.0,0.0,0.1
Latavius,Murray,W (Jan 10),1.0,9,11.85,88%,53,53,0.0,0.0,0.0,13.5,54.8,0.7,2.4,1.7,14.7,0.0,0.0,0.0,0.1
Kenyan,Drake,Give Me Your Pencil,1.0,1,11.81,89%,54,54,0.0,0.0,0.0,14.3,49.5,0.3,4.4,3.8,26.7,0.1,0.0,0.0,0.0
Carlos,Hyde,Playoffs!!??,1.0,11,11.37,97%,60,60,0.0,0.0,0.0,12.7,49.8,0.3,4.6,3.5,24.5,0.1,0.0,0.0,0.1
Theo,Riddick,W (Jan 10),1.0,7,11.35,58%,61,61,0.0,0.0,0.0,7.4,25.6,0.1,8.1,5.2,42.3,0.2,0.0,0.0,0.0
Duke,Johnson,Fantasy What Now?,1.0,9,11.35,75%,62,62,0.0,0.0,0.0,7.4,26.6,0.1,7.2,5.3,46.6,0.2,0.0,0.0,0.0
C.J.,Anderson,Pedialyte Powered,1.0,5,11.26,85%,64,64,0.0,0.0,0.0,18.0,67.4,0.3,2.7,1.7,13.7,0.1,0.0,0.0,0.1
Jerick,McKinnon,Fantasy What Now?,1.0,9,10.54,83%,77,77,0.0,0.0,0.0,9.9,37.3,0.2,3.3,3.9,29.2,0.1,0.0,0.0,0.0
DeMarco,Murray,Flacc-o'-lantern,1.0,8,10.43,96%,80,80,0.0,0.0,0.0,12.2,43.9,0.4,3.5,2.9,19.5,0.1,0.0,0.0,0.1
Lamar,Miller,Shen Sucks YoungHoe!,1.0,7,10.11,97%,84,84,0.0,0.0,0.0,13.8,53.8,0.3,3.2,2.5,15.9,0.1,0.0,0.0,0.1
Joe,Mixon,I AM the danger!!!,1.0,6,10.01,87%,87,87,0.0,0.0,0.0,11.7,46.0,0.4,3.0,2.0,16.9,0.1,0.0,0.0,0.1
Mike,Davis,Flacc-o'-lantern,1.0,6,9.94,46%,89,89,0.0,0.0,0.0,15.2,55.7,0.4,2.4,1.9,12.1,0.0,0.0,0.0,0.0
Marshawn,Lynch,Flacc-o'-lantern,1.0,10,9.71,94%,95,95,0.0,0.0,0.0,15.5,54.4,0.4,2.1,1.7,12.3,0.0,0.0,0.0,0.1
Jonathan,Stewart,Shen and the Pencils,1.0,11,9.49,55%,105,105,0.0,0.0,0.0,13.8,66.4,0.4,0.7,0.6,2.8,0.0,0.0,0.0,0.1
J.D.,McKissic,W (Jan 10),1.0,6,9.14,18%,116,116,0.0,0.0,0.0,3.8,20.7,0.2,5.3,4.5,27.2,0.1,0.0,0.0,0.0
Danny,Woodhead,W (Jan 10),1.0,10,8.94,35%,125,125,0.0,0.0,0.0,4.1,19.0,0.1,5.1,4.4,37.3,0.1,0.0,0.0,0.0
Kapri,Bibbs,W (Jan 10),1.0,5,8.88,6%,128,128,0.0,0.0,0.0,8.5,36.4,0.2,3.4,3.1,26.6,0.0,0.0,0.0,0.0
Frank,Gore,Shen and the Pencils,1.0,11,8.79,70%,132,132,0.0,0.0,0.0,15.7,49.2,0.3,2.0,1.8,11.3,0.0,0.0,0.0,0.1
Jamaal,Williams,Fantasy What Now?,1.0,8,8.71,75%,135,135,0.0,0.0,0.0,11.9,42.0,0.4,0.5,1.1,12.5,0.1,0.0,0.0,0.0
Wayne,Gallman,W (Jan 10),1.0,8,8.51,10%,141,141,0.0,0.0,0.0,11.9,44.0,0.3,2.2,1.5,16.3,0.0,0.0,0.0,0.0
Peyton,Barber,Shen and the Pencils,1.0,1,8.46,32%,144,144,0.0,0.0,0.0,12.2,41.5,0.6,1.0,0.6,3.1,0.0,0.0,0.0,0.0
Tevin,Coleman,Natty Lights,1.0,5,8.44,82%,145,145,0.0,0.0,0.0,8.8,39.9,0.3,2.6,1.5,14.3,0.1,0.0,0.0,0.1
Bilal,Powell,W (Jan 10),1.0,11,8.28,59%,150,150,0.0,0.0,0.0,10.5,38.0,0.2,4.4,3.0,22.0,0.0,0.0,0.0,0.1
Tarik,Cohen,W (Jan 10),1.0,9,8.22,44%,151,151,0.0,0.0,0.0,5.0,25.2,0.1,5.2,3.6,31.7,0.1,0.0,0.0,0.0
Derrick,Henry,Give Me Your Pencil,1.0,8,7.84,71%,161,161,0.0,0.0,0.0,10.2,44.1,0.3,1.3,1.1,9.8,0.1,0.0,0.0,0.1
Aaron,Jones,W (Jan 10),1.0,8,7.79,26%,164,164,0.0,0.0,0.0,10.3,40.0,0.2,3.8,1.7,13.4,0.1,0.0,0.0,0.1
Isaiah,Crowell,W (Jan 10),1.0,9,7.76,78%,166,166,0.0,0.0,0.0,14.3,49.8,0.2,2.1,1.6,8.7,0.0,0.0,0.0,0.1
Devontae,Booker,W (Jan 10),1.0,5,7.68,16%,168,168,0.0,0.0,0.0,6.6,29.5,0.2,2.3,2.6,20.4,0.1,0.0,0.0,0.0
Kerwynn,Williams,Shen Sucks YoungHoe!,1.0,8,7.65,32%,170,170,0.0,0.0,0.0,11.1,43.0,0.2,1.5,1.7,11.9,0.0,0.0,0.0,0.0
Tion,Green,W (Jan 10),1.0,7,7.56,5%,173,173,0.0,0.0,0.0,9.0,35.8,0.4,2.5,1.9,10.1,0.0,0.0,0.0,0.2
Matt,Breida,W (Jan 10),1.0,11,6.94,4%,191,191,0.0,0.0,0.0,6.5,32.5,0.1,2.0,1.6,16.3,0.1,0.0,0.0,0.0
Samaje,Perine,BigmouthBilly Bajema,1.0,5,6.79,73%,201,201,0.0,0.0,0.0,9.9,37.6,0.2,1.2,1.3,10.3,0.0,0.0,0.0,0.0
Corey,Clement,W (Jan 10),1.0,10,6.66,10%,204,204,0.0,0.0,0.0,5.5,24.9,0.4,0.7,0.5,6.7,0.2,0.0,0.0,0.0
Branden,Oliver,W (Jan 10),1.0,9,6.44,0%,208,208,0.0,0.0,0.0,4.7,20.6,0.0,3.9,3.3,27.3,0.0,0.0,0.0,0.0
Matt,Forte,I AM the danger!!!,1.0,11,6.36,34%,211,211,0.0,0.0,0.0,8.5,31.2,0.1,1.9,1.2,14.8,0.1,0.0,0.0,0.0
D.J.,Foster,W (Jan 10),1.0,8,6.02,1%,222,222,0.0,0.0,0.0,1.9,6.8,0.0,4.9,3.7,27.6,0.1,0.0,0.0,0.0
Marlon,Mack,W (Jan 10),1.0,11,5.93,19%,225,225,0.0,0.0,0.0,7.7,24.3,0.2,1.5,1.6,11.3,0.1,0.0,0.0,0.0
Chris,Ivory,W (Jan 10),1.0,8,5.70,21%,230,230,0.0,0.0,0.0,5.0,20.3,0.2,0.6,2.0,14.4,0.1,0.0,0.0,0.0
Orleans,Darkwa,W (Jan 10),1.0,8,5.53,53%,237,237,0.0,0.0,0.0,7.7,29.1,0.2,1.6,1.1,7.8,0.0,0.0,0.0,0.0
Elijah,McGuire,W (Jan 10),1.0,11,5.35,3%,243,243,0.0,0.0,0.0,7.0,28.6,0.2,1.2,1.0,8.5,0.0,0.0,0.0,0.0
Giovani,Bernard,Flacc-o'-lantern,1.0,6,5.08,45%,252,252,0.0,0.0,0.0,5.3,21.3,0.1,1.6,1.4,13.0,0.0,0.0,0.0,0.0
Shane,Vereen,W (Jan 10),1.0,8,4.87,4%,257,257,0.0,0.0,0.0,2.5,10.4,0.0,2.4,2.2,18.8,0.1,0.0,0.0,0.0
Mike,Gillislee,W (Jan 10),1.0,9,4.71,31%,260,260,0.0,0.0,0.0,6.3,27.2,0.3,0.3,0.2,1.2,0.0,0.0,0.0,0.0
DeAndre,Washington,W (Jan 10),1.0,10,4.69,6%,261,261,0.0,0.0,0.0,4.0,17.3,0.1,1.7,1.4,14.1,0.0,0.0,0.0,0.0
Travaris,Cadet,W (Jan 10),1.0,6,4.45,0%,266,266,0.0,0.0,0.0,2.5,9.9,0.0,3.0,2.5,22.1,0.0,0.0,0.0,0.0
Charles,Sims,W (Jan 10),1.0,1,4.37,1%,267,267,0.0,0.0,0.0,3.7,14.4,0.1,2.1,1.5,14.7,0.0,0.0,0.0,0.0
LeGarrette,Blount,W (Jan 10),1.0,10,4.27,63%,269,269,0.0,0.0,0.0,6.5,28.2,0.2,0.2,0.3,1.7,0.0,0.0,0.0,0.0
Doug,Martin,Shen and the Pencils,1.0,1,4.11,53%,273,273,0.0,0.0,0.0,7.0,25.7,0.2,1.0,0.4,3.5,0.0,0.0,0.0,0.0
Andre,Ellington,W (Jan 10),1.0,7,3.76,9%,278,278,0.0,0.0,0.0,1.8,7.0,0.0,2.8,2.1,16.8,0.1,0.0,0.0,0.0
Elijhaa,Penny,W (Jan 10),1.0,8,3.73,7%,280,280,0.0,0.0,0.0,5.5,20.0,0.1,1.1,0.8,5.3,0.0,0.0,0.0,0.0
Jalen,Richard,W (Jan 10),1.0,10,3.68,9%,281,281,0.0,0.0,0.0,3.3,13.9,0.1,1.4,1.1,10.5,0.0,0.0,0.0,0.0
Rod,Smith,Fantasy What Now?,1.0,6,3.66,18%,282,282,0.0,0.0,0.0,3.7,15.9,0.1,1.2,0.9,5.6,0.1,0.0,0.0,0.0
Charcandrick,West,W (Jan 10),1.0,10,3.53,2%,284,284,0.0,0.0,0.0,3.0,14.0,0.1,1.6,1.2,9.7,0.0,0.0,0.0,0.0
Benny,Cunningham,W (Jan 10),1.0,9,3.24,0%,289,289,0.0,0.0,0.0,2.0,8.6,0.0,1.8,1.7,15.3,0.0,0.0,0.0,0.0
