FN,LN,Owner,GP*,Bye,Fan Pts,% Owned,Proj,Actual,Yds,TD,Int,Att*,Yds,TD,Tgt*,Rec,Yds,TD,TD,2PT,Lost
Theo,Riddick,W (Jan 10),1.0,7,12.49,59%,34,34,0.0,0.0,0.0,7.6,28.2,0.1,9.0,5.7,46.6,0.2,0.0,0.0,0.0
Duke,Johnson,Fantasy What Now?,1.0,9,12.36,75%,37,37,0.0,0.0,0.0,7.9,29.0,0.1,7.9,5.8,50.8,0.2,0.0,0.0,0.0
Jamaal,Williams,Fantasy What Now?,1.0,8,11.53,75%,43,43,0.0,0.0,0.0,15.9,55.6,0.5,0.7,1.5,16.6,0.1,0.0,0.0,0.0
Latavius,Murray,W (Jan 10),1.0,9,11.25,88%,49,49,0.0,0.0,0.0,12.0,52.0,0.7,2.3,1.6,13.9,0.0,0.0,0.0,0.1
Jerick,McKinnon,Fantasy What Now?,1.0,9,11.02,83%,56,56,0.0,0.0,0.0,9.7,39.0,0.2,3.5,4.1,30.5,0.1,0.0,0.0,0.0
Bilal,Powell,W (Jan 10),1.0,11,10.68,59%,60,60,0.0,0.0,0.0,14.7,49.1,0.2,5.7,3.9,28.4,0.0,0.0,0.0,0.1
Wayne,Gallman,W (Jan 10),1.0,8,9.65,11%,85,85,0.0,0.0,0.0,13.5,49.9,0.3,2.5,1.7,18.4,0.0,0.0,0.0,0.0
Devontae,Booker,W (Jan 10),1.0,5,9.58,16%,87,87,0.0,0.0,0.0,7.9,36.8,0.2,2.8,3.3,25.5,0.1,0.0,0.0,0.0
Malcolm,Brown,W (Jan 10),1.0,8,9.57,4%,88,88,0.0,0.0,0.0,14.5,51.3,0.3,2.7,2.1,13.7,0.0,0.0,0.0,0.0
Isaiah,Crowell,W (Jan 10),1.0,9,9.41,78%,96,96,0.0,0.0,0.0,17.0,60.4,0.3,2.5,1.9,10.5,0.0,0.0,0.0,0.1
Stevan,Ridley,W (Jan 10),1.0,9,9.36,1%,100,100,0.0,0.0,0.0,16.5,60.5,0.4,1.2,0.8,4.8,0.0,0.0,0.0,0.0
Tion,Green,W (Jan 10),1.0,7,8.76,5%,126,126,0.0,0.0,0.0,9.7,41.3,0.5,2.9,2.1,11.6,0.0,0.0,0.0,0.2
Matt,Breida,W (Jan 10),1.0,11,8.75,5%,127,127,0.0,0.0,0.0,7.5,41.0,0.2,2.5,2.0,20.6,0.1,0.0,0.0,0.0
Wendell,Smallwood,W (Jan 10),1.0,10,8.41,4%,142,142,0.0,0.0,0.0,7.0,28.6,0.1,4.2,3.3,25.8,0.1,0.0,0.0,0.0
Danny,Woodhead,W (Jan 10),1.0,10,8.34,35%,145,145,0.0,0.0,0.0,4.0,17.7,0.1,4.7,4.1,34.8,0.1,0.0,0.0,0.0
Lance,Dunbar,W (Jan 10),1.0,8,7.96,0%,158,158,0.0,0.0,0.0,4.1,16.0,0.1,4.7,3.4,31.8,0.1,0.0,0.0,0.0
T.J.,Yeldon,W (Jan 10),1.0,8,7.25,12%,181,181,0.0,0.0,0.0,6.4,23.9,0.1,3.9,3.0,20.2,0.1,0.0,0.0,0.0
