FN,LN,Owner,GP*,Bye,Fan Pts,% Owned,Proj,Actual,Yds,TD,Int,Att*,Yds,TD,Tgt*,Rec,Yds,TD,TD,2PT,Lost
Rob,Gronkowski,I AM the danger!!!,1.0,9,15.73,100%,12,12,0.0,0.0,0.0,0.0,0.0,0.0,7.5,5.8,78.4,0.8,0.0,0.1,0.1
Travis,Kelce,Natty Lights,1.0,10,14.13,100%,20,20,0.0,0.0,0.0,0.0,0.0,0.0,8.1,6.0,78.2,0.6,0.0,0.0,0.1
Zach,Ertz,Playoffs!!??,1.0,10,13.31,99%,30,30,0.0,0.0,0.0,0.0,0.0,0.0,8.2,6.0,65.6,0.6,0.0,0.1,0.1
Evan,Engram,Shen Sucks YoungHoe!,1.0,8,12.63,95%,34,34,0.0,0.0,0.0,0.0,0.0,0.0,9.7,6.2,67.9,0.5,0.0,0.1,0.1
Jimmy,Graham,Fantasy What Now?,1.0,6,11.39,99%,44,44,0.0,0.0,0.0,0.0,0.0,0.0,7.5,5.2,55.7,0.6,0.0,0.0,0.1
Vernon,Davis,W (Jan 10),1.0,5,11.25,70%,46,46,0.0,0.0,0.0,0.0,0.0,0.0,7.4,5.4,60.8,0.4,0.0,0.0,0.0
Delanie,Walker,Flacc-o'-lantern,1.0,8,10.29,92%,72,72,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.8,59.7,0.4,0.0,0.0,0.1
Jared,Cook,Pedialyte Powered,1.0,10,10.01,83%,76,76,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.5,50.6,0.4,0.0,0.1,0.0
Kyle,Rudolph,Shen Sucks YoungHoe!,1.0,9,9.48,93%,84,84,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.3,46.3,0.5,0.0,0.0,0.0
Austin,Hooper,W (Jan 10),1.0,5,8.80,76%,106,106,0.0,0.0,0.0,0.0,0.0,0.0,6.1,3.6,47.8,0.4,0.0,0.0,0.0
C.J.,Fiedorowicz,W (Jan 10),1.0,7,8.10,26%,132,132,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.5,43.0,0.3,0.0,0.0,0.1
Jason,Witten,Give Me Your Pencil,1.0,6,8.03,85%,133,133,0.0,0.0,0.0,0.0,0.0,0.0,6.2,4.7,43.5,0.2,0.0,0.0,0.0
Cameron,Brate,W (Jan 10),1.0,1,7.88,86%,140,140,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.1,43.4,0.3,0.0,0.0,0.0
Hunter,Henry,Give Me Your Pencil,1.0,9,7.35,71%,148,148,0.0,0.0,0.0,0.0,0.0,0.0,4.3,3.1,38.9,0.3,0.0,0.1,0.1
Julius,Thomas,W (Jan 10),1.0,1,7.10,31%,158,158,0.0,0.0,0.0,0.0,0.0,0.0,5.5,3.4,37.6,0.3,0.0,0.0,0.1
Coby,Fleener,W (Jan 10),1.0,5,7.08,20%,160,160,0.0,0.0,0.0,0.0,0.0,0.0,4.8,3.9,38.6,0.2,0.0,0.0,0.0
Charles,Clay,W (Jan 10),1.0,6,6.93,33%,168,168,0.0,0.0,0.0,0.0,0.0,0.0,5.3,3.2,37.6,0.3,0.0,0.0,0.1
Benjamin,Watson,W (Jan 10),1.0,10,6.66,13%,181,181,0.0,0.0,0.0,0.0,0.0,0.0,5.5,3.4,34.8,0.2,0.0,0.0,0.0
Tyler,Kroft,W (Jan 10),1.0,6,6.53,45%,188,188,0.0,0.0,0.0,0.0,0.0,0.0,4.9,3.2,30.7,0.3,0.0,0.0,0.0
O.J.,Howard,W (Jan 10),1.0,1,6.49,22%,193,193,0.0,0.0,0.0,0.0,0.0,0.0,5.3,3.8,31.7,0.2,0.0,0.1,0.1
Jesse,James,W (Jan 10),1.0,9,5.81,12%,210,210,0.0,0.0,0.0,0.0,0.0,0.0,3.8,2.8,27.9,0.3,0.0,0.0,0.0
Martellus,Bennett,W (Jan 10),1.0,9,5.70,35%,216,216,0.0,0.0,0.0,0.0,0.0,0.0,3.4,2.9,29.1,0.2,0.0,0.0,0.0
David,Njoku,W (Jan 10),1.0,9,5.65,6%,217,217,0.0,0.0,0.0,0.0,0.0,0.0,4.9,2.7,30.6,0.3,0.0,0.0,0.1
Seth,DeValve,W (Jan 10),1.0,9,5.41,0%,221,221,0.0,0.0,0.0,0.0,0.0,0.0,4.5,2.6,27.8,0.2,0.0,0.0,0.0
Tyler,Higbee,W (Jan 10),1.0,8,5.13,2%,228,228,0.0,0.0,0.0,0.0,0.0,0.0,3.7,2.7,25.3,0.2,0.0,0.0,0.0
Eric,Ebron,BigmouthBilly Bajema,1.0,7,5.00,32%,232,232,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.7,25.9,0.2,0.0,0.0,0.0
Antonio,Gates,W (Jan 10),1.0,9,4.82,14%,238,238,0.0,0.0,0.0,0.0,0.0,0.0,3.9,2.8,23.2,0.2,0.0,0.1,0.0
Jermaine,Gresham,W (Jan 10),1.0,8,4.66,11%,244,244,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.7,21.4,0.2,0.0,0.0,0.0
Darren,Fells,W (Jan 10),1.0,7,4.35,1%,249,249,0.0,0.0,0.0,0.0,0.0,0.0,3.4,2.4,24.4,0.1,0.0,0.0,0.0
Lance,Kendricks,W (Jan 10),1.0,8,4.28,0%,253,253,0.0,0.0,0.0,0.0,0.0,0.0,3.2,2.2,21.8,0.2,0.0,0.0,0.0
Marcedes,Lewis,W (Jan 10),1.0,8,3.90,4%,258,258,0.0,0.0,0.0,0.0,0.0,0.0,3.6,2.4,20.8,0.1,0.0,0.0,0.0
Richard,Rodgers,W (Jan 10),1.0,8,3.70,0%,260,260,0.0,0.0,0.0,0.0,0.0,0.0,3.4,2.2,21.2,0.1,0.0,0.0,0.0
Adam,Shaheen,W (Jan 10),1.0,9,3.67,0%,261,261,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.7,19.8,0.1,0.0,0.0,0.0
Nick,Boyle,W (Jan 10),1.0,10,3.63,0%,263,263,0.0,0.0,0.0,0.0,0.0,0.0,3.2,1.9,20.3,0.1,0.0,0.0,0.0
