FN,LN,Owner,GP*,Bye,Fan Pts,% Owned,Proj,Actual,Yds,TD,Int,Att*,Yds,TD,Tgt*,Rec,Yds,TD,TD,2PT,Lost
Jimmy,Graham,Fantasy What Now?,1.0,6,10.93,99%,62,62,0.0,0.0,0.0,0.0,0.0,0.0,7.5,4.6,43.9,0.7,0.0,0.0,0.1
Stephen,Anderson,W (Jan 10),1.0,7,8.47,33%,131,131,0.0,0.0,0.0,0.0,0.0,0.0,7.2,4.9,39.6,0.3,0.0,0.0,0.0
Tyler,Kroft,W (Jan 10),1.0,6,7.64,40%,169,169,0.0,0.0,0.0,0.0,0.0,0.0,5.2,3.8,35.8,0.4,0.0,0.0,0.0
Charles,Clay,W (Jan 10),1.0,6,7.52,34%,171,171,0.0,0.0,0.0,0.0,0.0,0.0,5.2,3.7,42.8,0.3,0.0,0.0,0.1
Austin,Seferian-Jenkins,W (Jan 10),1.0,11,7.46,54%,174,174,0.0,0.0,0.0,0.0,0.0,0.0,5.7,3.3,38.8,0.3,0.0,0.1,0.0
Austin,Hooper,W (Jan 10),1.0,5,7.39,61%,177,177,0.0,0.0,0.0,0.0,0.0,0.0,4.7,3.0,40.1,0.3,0.0,0.0,0.0
Cameron,Brate,W (Jan 10),1.0,1,7.28,73%,182,182,0.0,0.0,0.0,0.0,0.0,0.0,5.4,3.8,40.1,0.2,0.0,0.0,0.0
Julius,Thomas,W (Jan 10),1.0,1,7.27,32%,183,183,0.0,0.0,0.0,0.0,0.0,0.0,5.9,3.5,38.5,0.3,0.0,0.0,0.1
David,Njoku,W (Jan 10),1.0,9,7.24,9%,185,185,0.0,0.0,0.0,0.0,0.0,0.0,5.9,3.4,39.1,0.3,0.0,0.0,0.2
Vernon,Davis,W (Jan 10),1.0,5,6.88,49%,195,195,0.0,0.0,0.0,0.0,0.0,0.0,4.8,3.3,36.7,0.3,0.0,0.0,0.0
Jesse,James,W (Jan 10),1.0,9,6.71,12%,201,201,0.0,0.0,0.0,0.0,0.0,0.0,4.5,3.2,32.3,0.3,0.0,0.0,0.0
O.J.,Howard,W (Jan 10),1.0,1,6.54,23%,208,208,0.0,0.0,0.0,0.0,0.0,0.0,5.2,3.8,31.9,0.2,0.0,0.1,0.1
Marcedes,Lewis,W (Jan 10),1.0,8,5.95,5%,233,233,0.0,0.0,0.0,0.0,0.0,0.0,4.3,2.8,24.0,0.4,0.0,0.0,0.0
Benjamin,Watson,W (Jan 10),1.0,10,5.64,12%,243,243,0.0,0.0,0.0,0.0,0.0,0.0,4.5,2.9,29.4,0.2,0.0,0.0,0.0
Trey,Burton,W (Jan 10),1.0,10,5.22,8%,254,254,0.0,0.0,0.0,0.0,0.0,0.0,4.3,2.9,27.4,0.2,0.0,0.0,0.0
Seth,DeValve,W (Jan 10),1.0,9,5.10,0%,258,258,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.5,26.2,0.2,0.0,0.0,0.0
Garrett,Celek,W (Jan 10),1.0,11,5.10,0%,259,259,0.0,0.0,0.0,0.0,0.0,0.0,4.2,2.4,29.5,0.2,0.0,0.0,0.0
Austin,Traylor,W (Jan 10),1.0,5,5.02,0%,260,260,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.8,26.4,0.2,0.0,0.0,0.0
Antonio,Gates,W (Jan 10),1.0,9,5.00,14%,261,261,0.0,0.0,0.0,0.0,0.0,0.0,3.9,2.9,24.1,0.2,0.0,0.1,0.0
Dwayne,Allen,W (Jan 10),1.0,9,4.79,3%,265,265,0.0,0.0,0.0,0.0,0.0,0.0,2.8,2.0,22.4,0.3,0.0,0.0,0.0
Tyler,Higbee,W (Jan 10),1.0,8,4.55,1%,268,268,0.0,0.0,0.0,0.0,0.0,0.0,3.3,2.4,22.5,0.2,0.0,0.0,0.0
George,Kittle,W (Jan 10),1.0,11,4.33,3%,276,276,0.0,0.0,0.0,0.0,0.0,0.0,3.4,2.3,23.4,0.1,0.0,0.0,0.0
Jermaine,Gresham,W (Jan 10),1.0,8,3.96,3%,284,284,0.0,0.0,0.0,0.0,0.0,0.0,3.2,2.3,18.2,0.2,0.0,0.0,0.0
Vance,McDonald,W (Jan 10),1.0,9,3.71,0%,290,290,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.6,18.1,0.2,0.0,0.0,0.0
Lance,Kendricks,W (Jan 10),1.0,8,3.67,0%,291,291,0.0,0.0,0.0,0.0,0.0,0.0,2.8,1.9,18.7,0.1,0.0,0.0,0.0
Richard,Rodgers,W (Jan 10),1.0,8,3.64,0%,292,292,0.0,0.0,0.0,0.0,0.0,0.0,3.4,2.1,20.8,0.1,0.0,0.0,0.0
Jonnu,Smith,W (Jan 10),1.0,8,3.59,0%,294,294,0.0,0.0,0.0,0.0,0.0,0.0,2.9,1.6,20.7,0.1,0.0,0.0,0.0
Nick,O'Leary,W (Jan 10),1.0,6,3.14,0%,300,300,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1.4,17.3,0.1,0.0,0.0,0.0
Clive,Walford,W (Jan 10),1.0,10,3.13,0%,301,301,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.7,17.9,0.1,0.0,0.0,0.0
Nick,Boyle,W (Jan 10),1.0,10,2.81,0%,308,308,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1.5,15.7,0.1,0.0,0.0,0.0
Josh,Hill,W (Jan 10),1.0,5,2.78,0%,310,310,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.3,13.5,0.1,0.0,0.0,0.0
Darren,Fells,W (Jan 10),1.0,7,2.78,1%,311,311,0.0,0.0,0.0,0.0,0.0,0.0,2.2,1.6,15.6,0.1,0.0,0.0,0.0
Gerald,Everett,W (Jan 10),1.0,8,2.77,0%,312,312,0.0,0.0,0.0,0.0,0.0,0.0,2.1,1.4,14.6,0.1,0.0,0.0,0.0
Jeff,Heuerman,W (Jan 10),1.0,5,2.73,0%,315,315,0.0,0.0,0.0,0.0,0.0,0.0,2.2,1.5,16.3,0.1,0.0,0.0,0.0
Ed,Dickson,W (Jan 10),1.0,11,2.68,14%,316,316,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.2,13.8,0.1,0.0,0.0,0.0
Virgil,Green,W (Jan 10),1.0,5,2.59,0%,317,317,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1.5,15.4,0.1,0.0,0.0,0.0
Niles,Paul,W (Jan 10),1.0,5,2.56,0%,319,319,0.0,0.0,0.0,0.0,0.0,0.0,2.8,1.9,16.0,0.0,0.0,0.0,0.0
Luke,Willson,W (Jan 10),1.0,6,2.36,0%,324,324,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.2,14.0,0.1,0.0,0.0,0.0
Levine,Toilolo,W (Jan 10),1.0,5,2.16,0%,331,331,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.8,10.3,0.1,0.0,0.0,0.0
Adam,Shaheen,W (Jan 10),1.0,9,2.12,1%,333,333,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,11.5,0.1,0.0,0.0,0.0
Jacob,Hollister,W (Jan 10),1.0,9,1.95,0%,338,338,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.0,10.8,0.1,0.0,0.0,0.0
Xavier,Grimble,W (Jan 10),1.0,9,1.80,0%,342,342,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.5,7.4,0.1,0.0,0.0,0.0
Maxx,Williams,W (Jan 10),1.0,10,1.70,0%,347,347,0.0,0.0,0.0,0.0,0.0,0.0,1.7,1.2,8.9,0.0,0.0,0.0,0.0
Anthony,Fasano,W (Jan 10),1.0,1,1.70,0%,348,348,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.8,10.2,0.0,0.0,0.0,0.0
Brent,Celek,W (Jan 10),1.0,10,1.54,0%,349,349,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.8,8.9,0.0,0.0,0.0,0.0
C.J.,Uzomah,W (Jan 10),1.0,6,1.50,0%,350,350,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.7,8.1,0.1,0.0,0.0,0.0
Dion,Sims,W (Jan 10),1.0,9,1.43,0%,351,351,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.7,7.5,0.1,0.0,0.0,0.0
Rhett,Ellison,W (Jan 10),1.0,8,0.89,0%,362,362,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.8,5.1,0.0,0.0,0.0,0.0
Randall,Telfer,W (Jan 10),1.0,9,0.43,0%,376,376,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,2.6,0.0,0.0,0.0,0.0
Jerell,Adams,W (Jan 10),1.0,8,0.20,0%,383,383,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,1.1,0.0,0.0,0.0,0.0
Michael,Roberts,W (Jan 10),1.0,7,0.12,0%,389,389,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.7,0.0,0.0,0.0,0.0
Ben,Braunecker,W (Jan 10),1.0,9,0.10,0%,390,390,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.7,0.0,0.0,0.0,0.0
Jeremy,Sprinkle,W (Jan 10),1.0,5,0.09,0%,391,391,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.6,0.0,0.0,0.0,0.0
Brian,Parker,W (Jan 10),0.0,5,0.00,0%,393,393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brian,Vogler,W (Jan 10),0.0,5,0.00,0%,395,395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
