FN,LN,Owner,GP*,Bye,Fan Pts,% Owned,Proj,Actual,Yds,TD,Int,Att*,Yds,TD,Tgt*,Rec,Yds,TD,TD,2PT,Lost
Michael,Thomas,Fantasy What Now?,1.0,5,14.38,100%,29,29,0.0,0.0,0.0,0.0,0.0,0.0,9.6,7.0,82.1,0.4,0.0,0.0,0.0
A.J.,Green,Fantasy What Now?,1.0,6,13.73,100%,39,39,0.0,0.0,0.0,0.0,0.0,0.0,9.7,6.1,74.2,0.5,0.0,0.0,0.0
DeSean,Jackson,Fantasy What Now?,1.0,1,10.03,88%,86,86,0.0,0.0,0.0,0.2,1.3,0.0,7.8,4.3,59.9,0.3,0.0,0.0,0.1
Josh,Doctson,W (Jan 10),1.0,5,9.90,47%,95,95,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.3,55.7,0.4,0.0,0.0,0.0
Cordarrelle,Patterson,W (Jan 10),1.0,10,9.61,14%,108,108,0.0,0.0,0.0,1.8,11.3,0.1,5.9,4.2,41.3,0.2,0.1,0.0,0.0
Dontrelle,Inman,W (Jan 10),1.0,9,9.58,17%,109,109,0.0,0.0,0.0,0.0,0.0,0.0,7.6,4.8,62.2,0.2,0.0,0.0,0.0
Seth,Roberts,W (Jan 10),1.0,10,9.35,11%,115,115,0.0,0.0,0.0,0.0,0.0,0.0,7.2,4.3,49.7,0.4,0.0,0.0,0.0
JuJu,Smith-Schuster,Fantasy What Now?,1.0,9,9.29,89%,117,117,0.0,0.0,0.0,0.0,0.0,0.0,5.8,4.5,55.4,0.3,0.0,0.0,0.0
Kenny,Stills,W (Jan 10),1.0,1,9.24,55%,120,120,0.0,0.0,0.0,0.0,0.0,0.0,6.3,3.4,54.8,0.3,0.0,0.0,0.0
Jeremy,Maclin,W (Jan 10),1.0,10,9.06,61%,125,125,0.0,0.0,0.0,0.2,1.1,0.0,6.1,4.1,44.9,0.4,0.0,0.0,0.0
Zay,Jones,W (Jan 10),1.0,6,8.95,19%,127,127,0.0,0.0,0.0,0.0,0.0,0.0,6.8,4.2,51.9,0.3,0.0,0.0,0.0
Martavis,Bryant,Fantasy What Now?,1.0,9,8.65,61%,139,139,0.0,0.0,0.0,0.0,0.0,0.0,6.3,3.8,47.9,0.3,0.0,0.0,0.0
Tyler,Lockett,W (Jan 10),1.0,6,8.54,40%,144,144,0.0,0.0,0.0,0.3,4.1,0.0,4.7,3.4,49.2,0.3,0.0,0.0,0.0
Johnny,Holton,W (Jan 10),1.0,10,8.21,1%,150,150,0.0,0.0,0.0,0.0,0.0,0.0,6.1,3.2,53.3,0.2,0.0,0.0,0.0
Tyrell,Williams,W (Jan 10),1.0,9,7.85,36%,160,160,0.0,0.0,0.0,0.0,0.0,0.0,4.9,3.3,47.3,0.3,0.0,0.0,0.0
Kenny,Golladay,W (Jan 10),1.0,7,7.77,10%,163,163,0.0,0.0,0.0,0.0,0.0,0.0,5.8,3.4,42.2,0.3,0.0,0.0,0.0
Bruce,Ellington,W (Jan 10),1.0,7,7.59,5%,169,169,0.0,0.0,0.0,0.0,0.0,0.0,7.1,3.9,42.4,0.2,0.0,0.0,0.0
Terrance,Williams,W (Jan 10),1.0,6,7.47,15%,176,176,0.0,0.0,0.0,0.0,0.0,0.0,4.7,3.1,43.0,0.3,0.0,0.0,0.0
Brandon,LaFell,W (Jan 10),1.0,6,7.45,8%,177,177,0.0,0.0,0.0,0.0,0.0,0.0,5.9,3.7,40.8,0.3,0.0,0.0,0.0
Cole,Beasley,W (Jan 10),1.0,6,7.18,17%,188,188,0.0,0.0,0.0,0.1,0.2,0.0,5.1,3.9,42.0,0.2,0.0,0.0,0.0
Kendall,Wright,W (Jan 10),1.0,9,7.07,4%,193,193,0.0,0.0,0.0,0.2,1.3,0.0,5.6,3.6,41.1,0.2,0.0,0.0,0.0
Ryan,Grant,W (Jan 10),1.0,5,6.95,2%,198,198,0.0,0.0,0.0,0.0,0.0,0.0,4.1,3.4,37.9,0.2,0.0,0.0,0.0
Ricardo,Louis,W (Jan 10),1.0,9,6.88,1%,205,205,0.0,0.0,0.0,0.0,0.0,0.0,6.3,3.3,40.3,0.2,0.0,0.0,0.0
Travis,Benjamin,W (Jan 10),1.0,9,6.83,14%,207,207,0.0,0.0,0.0,0.1,0.8,0.0,4.3,2.5,41.4,0.2,0.0,0.0,0.0
Donte,Moncrief,W (Jan 10),1.0,11,6.70,25%,209,209,0.0,0.0,0.0,0.0,0.0,0.0,4.4,2.5,34.9,0.3,0.0,0.0,0.0
Adam,Humphries,W (Jan 10),1.0,1,6.45,4%,215,215,0.0,0.0,0.0,0.1,0.6,0.0,5.8,3.5,36.5,0.2,0.0,0.0,0.0
Jordan,Matthews,W (Jan 10),1.0,6,6.43,19%,216,216,0.0,0.0,0.0,0.0,0.0,0.0,5.7,3.2,40.6,0.1,0.0,0.0,0.0
J.J.,Nelson,W (Jan 10),1.0,8,6.35,11%,219,219,0.0,0.0,0.0,0.4,2.8,0.0,4.1,2.1,38.4,0.2,0.0,0.0,0.0
Torrey,Smith,W (Jan 10),1.0,10,6.17,5%,228,228,0.0,0.0,0.0,0.0,0.0,0.0,4.7,2.6,36.8,0.2,0.0,0.0,0.0
Taylor,Gabriel,W (Jan 10),1.0,5,6.17,11%,229,229,0.0,0.0,0.0,1.1,5.3,0.1,4.0,2.8,31.9,0.1,0.0,0.0,0.0
Albert,Wilson,W (Jan 10),1.0,10,6.01,1%,234,234,0.0,0.0,0.0,0.7,2.8,0.0,5.5,3.4,33.7,0.1,0.0,0.0,0.0
Eric,Decker,W (Jan 10),1.0,8,5.84,27%,240,240,0.0,0.0,0.0,0.0,0.0,0.0,3.7,2.4,31.7,0.2,0.0,0.0,0.0
Brandon,Coleman,W (Jan 10),1.0,5,5.83,4%,242,242,0.0,0.0,0.0,0.0,0.0,0.0,3.4,2.4,31.2,0.3,0.0,0.0,0.0
Braxton,Miller,W (Jan 10),1.0,7,5.74,0%,245,245,0.0,0.0,0.0,0.0,0.0,0.0,4.5,2.5,31.7,0.2,0.0,0.0,0.0
